ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvH,glaciers,2100,fixed,2000,11.22238109828817,11.24054886214033,8.826676725445708,13.774181581837192,4.947504856391484,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2100,joint,2000,10.98109028039405,11.20500032764412,8.086221187029174,15.161878058508448,7.075656871479273,1.430146523724684,0.9784991424029498,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,fixed,2000,17.514360365011697,17.575028175448214,14.052550912599237,21.210185165807843,7.157634253208606,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2150,joint,2000,17.079600712226046,17.36695348394824,12.687951545580455,22.949459160902183,10.261507615321728,1.4336451475879373,0.9751769608638311,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,fixed,2000,25.94139437949464,26.048154739442115,20.888430411972365,31.22063688027569,10.332206468303326,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,glaciers,2300,joint,2000,25.259500458987603,25.42840718749792,19.39772044711541,31.56703768515734,12.16931723804193,1.1778043030183736,0.9737140606040037,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,fixed,2000,10.001386900650004,10.025779556303693,8.664787216983278,11.416709011949271,2.751921794965993,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2100,joint,2000,9.703048167446529,10.165854504946779,7.569313036785376,14.222786474795146,6.653473438009771,2.417755275669813,0.9701702637677094,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,fixed,2000,18.70890439940733,18.789547877138833,15.652980322150121,22.16415562983104,6.511175307680919,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2150,joint,2000,17.93663864495874,19.283963668184615,12.620315746414946,31.045865646356244,18.4255498999413,2.8298347117463676,0.9587220214523596,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvH,gis,2300,fixed,2000,63.31144411166216,63.92164393841695,54.66442081191516,74.79624132843516,20.13182051652,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvH | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
