ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvHL,glaciers,2100,fixed,2000,11.228248278189877,11.243225713733034,8.838366876106981,13.756375826884637,4.918008950777656,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2100,joint,2000,10.93454323238793,11.198010281954842,7.894997278763048,15.47886818974453,7.5838709109814815,1.542061225769483,0.9738423092787813,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,fixed,2000,13.903622754665264,13.926629439524463,10.990191885815873,16.85893779856093,5.868745912745057,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2150,joint,2000,13.411129406275629,13.808710106819667,9.636337438975414,19.38733455017541,9.750997111199997,1.6615129119875371,0.9645780558722091,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,fixed,2000,14.980611269044331,15.016333738245503,11.759504077543832,18.26981136913983,6.510307291595998,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,glaciers,2300,joint,2000,14.488294878560318,14.868694718861258,10.263194690660901,21.051055712075417,10.787861021414516,1.657043291234549,0.9671364284379151,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,fixed,2000,9.875482639731814,9.900204175038652,8.560616024553982,11.2628844002941,2.7022683757401182,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2100,joint,2000,9.601055325684484,10.117938754020397,7.261553799759363,14.654908100490163,7.3933543007308,2.735980766050245,0.9722112504209939,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,fixed,2000,12.24096263889966,12.280870670751886,10.37472880021232,14.338961287955055,3.964232487742734,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2150,joint,2000,11.800901834072452,12.569999086547456,8.477621658100873,19.2373247463159,10.759703088215026,2.714195779759044,0.9640501472140132,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,fixed,2000,10.918706208215916,11.097512521113499,8.659751667162274,14.173155750910178,5.513404083747904,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,gis,2300,joint,2000,10.438617844281014,11.275946562221433,6.29139531184529,18.144716317817377,11.853321005972088,2.14990971565328,0.9560306546600134,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2100,fixed,2000,31.071371141423228,30.9153283530407,5.067307812284499,67.65182326172497,62.584515449440474,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvHL,ais,2100,joint,2000,27.447434410446576,29.500893259977303,4.3529665100386,74.03848214250982,69.68551563247122,1.1134625734822117,0.8833673379110923,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvHL | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
