stages,V_m,tau_yr,onset_K,inert2100,r2300_2150,r2300_2150_in,x2300_2150,x2300_2150_in,our2300,lvl2300_in,rate_r2300,rate_in,psi_eff,all_pass
2,2.0,400,4.69,True,36.09802951220925,True,53.907098896817864,False,98.40212872147784,True,36.80281726598878,True,35.99303082153513,False
2,2.0,800,4.69,True,30.36445145028764,True,47.61259313037449,True,66.17570057063237,True,16.53984787793391,True,13.519064835920524,True
2,2.0,1600,4.69,True,28.743164719282454,True,45.82976096831992,True,54.662035636114545,True,7.230170525995121,False,4.143607482927619,False
2,2.0,2200,4.69,True,28.474390402317926,True,45.53398744563662,True,52.54486248955277,True,5.346929486379111,False,2.316960271443139,False
2,2.0,2700,4.69,True,28.371273747940734,True,45.42048651350885,True,51.70618666737513,True,4.579711002252793,False,1.5811090535563181,False
2,2.0,3200,4.69,True,28.312051257311385,True,45.35529186919309,True,51.21595027417277,True,4.124394753396885,False,1.1470670066598967,False
2,2.73,400,4.69,True,38.99424909335076,True,57.08833970466184,False,116.09011100697842,True,49.17471165193868,False,49.13048707139545,False
2,2.73,800,4.69,True,31.167915038827765,True,48.496339333466636,True,72.10103658107435,True,21.515758437243775,True,18.453523501031516,True
2,2.73,1600,4.69,True,28.954858651005683,True,46.06277343226215,True,56.38488394545752,True,8.808048851847332,False,5.656024214196199,False
2,2.73,2200,4.69,True,28.587981708349105,True,45.65904257379945,True,53.494942600400705,True,6.237424832771495,False,3.1626507705198854,False
2,2.73,2700,4.69,True,28.447227475124237,True,45.50411380144504,True,52.350150103128215,True,5.1901716019390705,False,2.1582138581043746,False
2,2.73,3200,4.69,True,28.366388775415174,True,45.415123111954024,True,51.680977426407,True,4.568664922250747,False,1.565746464090759,False
2,3.0,400,4.69,True,40.06545359596474,True,58.264963017152084,False,122.63224144134165,True,53.75061779468729,False,53.9895462323027,False
2,3.0,800,4.69,True,31.46508650308233,True,48.823204367487016,True,74.29259921507344,True,23.356163712604967,True,20.278597253880783,True
2,3.0,1600,4.69,True,29.033156406574548,True,46.14895612440516,True,57.0221018132967,True,9.391647684696778,False,6.215411224391428,False
2,3.0,2200,4.69,True,28.629994931127758,True,45.70529584038022,True,53.84634209345405,True,6.566786125272785,False,3.4754404071647085,False
2,3.0,2700,4.69,True,28.47531994956197,True,45.53504444218856,True,52.588328360187575,True,5.4159583990833084,False,2.3716635803344777,False
2,3.0,3200,4.69,True,28.38648621361795,True,45.43725247571492,True,51.85297377038404,True,4.732984025799425,False,1.7206005099898452,False
2,4.5,400,4.69,True,46.01658972159798,True,64.80175919765341,False,158.97741052113736,False,79.17231858773502,False,80.98431934845405,False
2,4.5,800,4.69,True,33.11603908227437,True,50.63912122315581,True,86.46794718173504,True,33.580637464611556,True,30.417895880821177,True
2,4.5,1600,4.69,True,29.468143937512693,True,46.627748858533025,True,60.562201079069936,True,12.633863422749272,True,9.323116836587142,True
2,4.5,2200,4.69,True,28.86340172434251,True,45.96225843249561,True,55.798561499305954,True,8.396571083613267,False,5.213160610747063,False
2,4.5,2700,4.69,True,28.631389251993827,True,45.706881335208124,True,53.91154089940625,True,6.670329494329053,False,3.5574953705017154,False
2,4.5,3200,4.69,True,28.49813864807779,True,45.56019338549766,True,52.80850901470095,True,5.645867934403256,False,2.5809007649847677,False
2,6.0,400,4.69,True,51.96772584723123,False,71.33855537815472,False,195.32257960093307,False,104.5940193807827,False,107.9790924646054,False
2,6.0,800,4.69,True,34.7669916614664,True,52.4550380788246,True,98.64329514839665,True,43.805111216618144,False,40.557194507761565,False
2,6.0,1600,4.69,True,29.90313146845084,True,47.10654159266089,True,64.10230034484317,True,15.876079160801766,True,12.430822448782855,True
2,6.0,2200,4.69,True,29.096808517557257,True,46.219221024610995,True,57.75078090515786,True,10.226356041953764,True,6.950880814329417,True
2,6.0,2700,4.69,True,28.787458554425683,True,45.87871822822769,True,55.23475343862492,True,7.9247005895747975,False,4.743327160668955,False
2,6.0,3200,4.69,True,28.609791082537637,True,45.683134295280404,True,53.76404425901786,True,6.558751843007073,False,3.4412010199796903,False
2,7.42,400,4.69,True,57.60146804616403,False,77.52672242902932,False,229.72933966313965,False,128.6598961315346,False,133.5341443478953,False
2,7.42,800,4.69,True,36.32989343643486,True,54.174106035524396,False,110.16929122350297,True,53.48427970185106,False,50.15573054126514,False
2,7.42,1600,4.69,True,30.314919664405615,True,47.559798714301934,True,67.45359431644184,True,18.94537672615813,True,15.372783761661465,True
2,7.42,2200,4.69,True,29.31776694846722,True,46.4624789451469,True,59.598881942697666,True,11.958552469182763,True,8.595922607054046,True
2,7.42,2700,4.69,True,28.935204160727842,True,46.04139048695287,True,56.4873946424186,True,9.11217189307412,False,5.86591458869394,False
2,7.42,3200,4.69,True,28.715488720492957,True,45.799518356541405,True,54.668617623637864,True,7.42294860981869,False,4.255618594708217,False
3,2.0,400,4.69,True,30.630791281409866,True,47.93192326517633,True,83.68008469052829,True,36.71187199776858,True,32.859353082043,True
3,2.0,800,4.69,True,28.530092369049246,True,45.599984295760706,True,56.85711851840437,True,11.53102486457378,True,7.575878178351254,True
3,2.0,1600,4.69,True,28.213234967551113,True,45.247192422934496,True,51.057034369878686,True,4.4473011078970615,False,1.286731404239914,False
3,2.0,2200,4.69,True,28.182901597792565,True,45.21337208464095,True,50.40208927405649,True,3.5601887760609117,False,0.5381658952425241,False
3,2.0,2700,4.69,True,28.17397634090984,True,45.20341672583442,True,50.199673727539924,True,3.27784615867796,False,0.30341746906212347,False
3,2.0,3200,4.69,True,28.169718590457215,True,45.198666506384825,True,50.10049914230478,True,3.137322966539571,False,0.18750912063210343,False
3,2.73,400,4.69,True,31.531468908309606,True,48.93222496747115,True,95.99452090473228,True,49.05057136081808,False,44.8530169569887,False
3,2.73,800,4.69,True,28.664014892937356,True,45.749128274218826,True,59.381172079783134,True,14.678715024007206,True,10.341073713449463,True
3,2.73,1600,4.69,True,28.231504539892402,True,45.26756736781104,True,51.46405721704557,True,5.00943209614347,False,1.7563883667874831,False
3,2.73,2200,4.69,True,28.19009949017199,True,45.22140260604036,True,50.570057161248286,True,3.7985237631871347,False,0.7345964470060453,False
3,2.73,2700,4.69,True,28.177916514527066,True,45.20781354126945,True,50.29375994025316,True,3.4131260904594285,False,0.4141648452697985,False
3,2.73,3200,4.69,True,28.172104685159237,True,45.20132949172075,True,50.15838663140718,True,3.2213119331905062,False,0.25594994966282114,False
3,3.0,400,4.69,True,31.864596249765672,True,49.30219956968978,True,100.54917539491731,True,53.614199892356964,False,49.2890296230645,False
3,3.0,800,4.69,True,28.713547881224738,True,45.80429111556634,True,60.314726136731444,True,15.842929192564768,True,11.36381726752688,True
3,3.0,1600,4.69,True,28.238261778977538,True,45.275103306327026,True,51.61459991394291,True,5.2173435575496825,False,1.9300971063598718,False
3,3.0,2200,4.69,True,28.192761724339718,True,45.22437279888671,True,50.63218227020963,True,3.886675059795465,False,0.8072488428637861,False
3,3.0,2700,4.69,True,28.17937383901563,True,45.20943976067692,True,50.32855895043477,True,3.4631611337210586,False,0.4551262035931852,False
3,3.0,3200,4.69,True,28.172987213336697,True,45.20231443150253,True,50.17979707258205,True,3.25237634551344,False,0.2812636809481551,False
3,4.5,400,4.69,True,33.71530370229938,True,51.357614026459956,True,125.85281145150087,True,78.96769173423951,False,73.93354443459675,False
3,4.5,800,4.69,True,28.988731149487975,True,46.11075134527481,True,65.50113756422205,True,22.310785684551263,True,17.045725901290325,True
3,4.5,1600,4.69,True,28.275801996117178,True,45.31696963141582,True,52.45094823003925,True,6.372407232028636,False,2.8951456595398075,False
3,4.5,2200,4.69,True,28.207551914160447,True,45.24087387025535,True,50.97732176443933,True,4.376404485397302,False,1.210873264295679,False
3,4.5,2700,4.69,True,28.18747008617431,True,45.21847431294067,True,50.52188678477704,True,3.741133596285678,False,0.6826893053897778,False
3,4.5,3200,4.69,True,28.177890147655912,True,45.20778631917907,True,50.29874396799796,True,3.424956413974286,False,0.42189552142223274,False
3,6.0,400,4.69,True,35.566011154833085,True,53.41302848323013,False,151.1564475080844,False,104.32118357612208,False,98.578059246129,False
3,6.0,800,4.69,True,29.263914417751216,True,46.41721157498326,True,70.68754899171266,True,28.778642176537744,True,22.72763453505376,True
3,6.0,1600,4.69,True,28.313342213256817,True,45.35883595650462,True,53.28729654613559,True,7.527470906507588,False,3.8601942127197435,False
3,6.0,2200,4.69,True,28.222342103981177,True,45.257374941623986,True,51.32246125866903,True,4.866133910999153,False,1.6144976857275721,False
3,6.0,2700,4.69,True,28.195566333332994,True,45.22750886520441,True,50.71521461911931,True,4.019106058850312,False,0.9102524071863703,False
3,6.0,3200,4.69,True,28.18279308197513,True,45.21325820685562,True,50.41769086341387,True,3.5975364824351175,False,0.5625273618963103,False
3,7.42,400,4.69,True,37.31801420989833,True,55.35882083563923,False,175.11055630831686,False,128.3224891864376,False,121.90819993437955,False
3,7.42,800,4.69,True,29.524421245040415,True,46.70732725910727,True,75.59735180973709,True,34.90154632228497,True,28.106508041683153,True
3,7.42,1600,4.69,True,28.348880285482345,True,45.39846941092202,True,54.079039618706794,True,8.620931185014314,False,4.773773509730081,False
