ssp,year,n,basis,n_groups,groups,p05,p17,p50,p83,p95
SSP1-2.6,2100,150,rel 2015,4,IGE+IMAU+NORCE+VUB,1.7069699888903322,2.3158427171858884,3.179134708462694,5.316003215332537,6.251915399345841
SSP1-2.6,2150,16,rel 2015,1,NORCE,3.7312735208622883,4.128923242294413,5.548013827925313,9.414531703298005,10.0014147790624
SSP1-2.6,2200,16,rel 2015,1,NORCE,4.723053516930986,5.139190719842994,7.089326275767105,11.492366581523807,12.197935315288655
SSP1-2.6,2300,16,rel 2015,1,NORCE,6.38580645776623,6.826515817442189,9.77337256752615,14.871822550220557,15.611536027454932
SSP2-4.5,2100,124,rel 2015,3,IMAU+NORCE+VUB,2.3941950595252637,3.332769745401831,4.716168234907991,7.19697084230536,11.032722979844246
SSP2-4.5,2150,15,rel 2015,1,NORCE,6.080380035755972,6.670502837031613,9.367242432008904,12.033960117401591,12.612551559160687
SSP2-4.5,2200,15,rel 2015,1,NORCE,7.899808083417108,8.50383640925741,11.74576087658279,15.377058543406012,15.999937158083926
SSP2-4.5,2300,15,rel 2015,1,NORCE,10.582843340811472,11.234699752955821,15.423759309402563,20.78881126547769,21.497216235170054
SSP5-8.5,2100,853,rel 2015,4,IGE+IMAU+NORCE+VUB,4.487876294080753,6.573446164772086,11.180766970341693,17.277815239524063,21.20112554942793
SSP5-8.5,2150,58,rel 2015,1,NORCE,14.191912284862527,22.351998278479307,39.65240422964182,46.18244537830266,50.92705843262094
SSP5-8.5,2200,58,rel 2015,1,NORCE,19.56837433757215,31.92199359778067,58.84382069827732,98.06328251030027,110.25376268177972
SSP5-8.5,2300,58,rel 2015,1,NORCE,29.308108828109543,48.95163242413369,95.54234332881418,232.2938320970296,296.9160480074479
