marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm
LN,CH4,1.0,glaciers,2100,2000,7.835276501908689,7.930735997849197,0.10260432499974037,0.09545949594050818,0.10601000710413887,0.06545546534561382,0.15708731196540898,0.10260432499974037
LN,CH4,1.0,glaciers,2150,2000,9.124292651512985,9.204931391964585,0.08471669872949761,0.08063874045160091,0.08701506089868152,0.05468618454650383,0.1279831363892221,0.08471669872949761
LN,CH4,1.0,glaciers,2300,2000,9.302628202786446,9.371290935363106,0.06975505578989516,0.06866273257666045,0.07176106425456182,0.045490233736086606,0.10584404895500513,0.06975505578989516
LN,CH4,1.0,gis,2100,2000,6.490541852469972,6.578552951837379,0.08825683163643738,0.08801109936740659,0.09408341540815639,0.05660931011446122,0.14692391871901922,0.08825683163643738
LN,CH4,1.0,gis,2150,2000,7.294758670897773,7.356877529135619,0.06527538307235936,0.06211885823784602,0.07043005889625212,0.04107309772441923,0.11461306276138224,0.06527538307235936
LN,CH4,1.0,gis,2300,2000,4.497334844058241,4.534151365202975,0.039429247873761675,0.03681652114473444,0.043098260954039944,0.022614960171134513,0.07735775748806209,0.039429247873761675
LN,CH4,1.0,ais,2100,2000,4.5489702694066265,4.60078612210668,0.051014411002525684,0.05181585270005318,0.5406008946419834,0.021113898643506525,3.1651690733873177,0.051014411002525684
LN,CH4,1.0,ais,2150,2000,6.663162795819419,6.721196043262145,0.0570800702675065,0.058033247442725866,0.6222410243465315,0.02316901674253127,4.023124332952396,0.0570800702675065
LN,CH4,1.0,ais,2300,2000,8.733415949680467,8.817235936193903,0.06623580340410307,0.08381998651343636,0.6212428513305048,0.024618685636891555,3.8694024989838542,0.06623580340410307
LN,CH4,1.0,te,2100,2000,15.50236154918962,15.681420650122849,0.17921930281631404,0.17905910093322852,0.18471465376750779,0.11633975960469013,0.27264344528850054,0.17921930281631404
LN,CH4,1.0,te,2150,2000,17.30643475558272,17.451521092246725,0.1437546729493846,0.14508633666400428,0.14955470312857444,0.08696597785776757,0.2341373403278373,0.1437546729493846
LN,CH4,1.0,te,2300,2000,8.0558191884932,8.130846101282142,0.0770990966682783,0.07502691278894247,0.08060170303977779,0.02801346236309747,0.14836604988783414,0.0770990966682783
LN,CH4,1.0,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0
LN,CH4,1.0,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0
LN,CH4,1.0,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0
LN,CH4,1.0,total,2100,2000,37.191242949329045,37.63039325340744,0.42538440503268404,0.43915030407839595,0.9254089709217863,0.2993499027508957,3.6856237959371634,0.42538440503268404
LN,CH4,1.0,total,2150,2000,44.92575725085544,45.2957426037391,0.3553960833003096,0.36998535288365986,0.9292408472700397,0.24598371227991292,4.349864095937202,0.3553960833003096
LN,CH4,1.0,total,2300,2000,39.44977052053457,39.72498153063107,0.2567333370059046,0.2752110100964984,0.8167038795788846,0.16291224517966754,4.139427660238076,0.2567333370059046
