dataset,baseline,block,window,amp,n_years
HadCRUT5,1850-1900,R19,1901-2024,0.6149,124
HadCRUT5,1850-1900,R19,1970-2024,0.6487,55
HadCRUT5,1850-1900,SLOWP,1901-2024,2.4840,124
HadCRUT5,1850-1900,SLOWP,1970-2024,2.3859,55
HadCRUT5,1850-1900,FAST,1901-2024,1.4036,124
HadCRUT5,1850-1900,FAST,1970-2024,1.3838,55
HadCRUT5,1850-1900,AGG,1901-2024,1.5949,124
HadCRUT5,1850-1900,AGG,1970-2024,1.5605,55
BerkeleyEarth,1850-1900,R19,1901-2024,0.8468,124
BerkeleyEarth,1850-1900,R19,1970-2024,0.8632,55
BerkeleyEarth,1850-1900,SLOWP,1901-2024,1.8229,124
BerkeleyEarth,1850-1900,SLOWP,1970-2024,1.8140,55
BerkeleyEarth,1850-1900,FAST,1901-2024,1.3366,124
BerkeleyEarth,1850-1900,FAST,1970-2024,1.3253,55
BerkeleyEarth,1850-1900,AGG,1901-2024,1.3947,124
BerkeleyEarth,1850-1900,AGG,1970-2024,1.3900,55
GISTEMP1200,1880-1900,R19,1901-2024,0.5799,124
GISTEMP1200,1880-1900,R19,1970-2024,0.6083,55
GISTEMP1200,1880-1900,SLOWP,1901-2024,3.4638,124
GISTEMP1200,1880-1900,SLOWP,1970-2024,3.3273,55
GISTEMP1200,1880-1900,FAST,1901-2024,1.8203,124
GISTEMP1200,1880-1900,FAST,1970-2024,1.7633,55
GISTEMP1200,1880-1900,AGG,1901-2024,2.1029,124
GISTEMP1200,1880-1900,AGG,1970-2024,2.0375,55
BerkeleyE_5deg,1850-1900,R19,1901-2024,0.8389,124
BerkeleyE_5deg,1850-1900,R19,1970-2024,0.8548,55
BerkeleyE_5deg,1850-1900,SLOWP,1901-2024,1.8040,124
BerkeleyE_5deg,1850-1900,SLOWP,1970-2024,1.7950,55
BerkeleyE_5deg,1850-1900,FAST,1901-2024,1.3393,124
BerkeleyE_5deg,1850-1900,FAST,1970-2024,1.3277,55
BerkeleyE_5deg,1850-1900,AGG,1901-2024,1.3881,124
BerkeleyE_5deg,1850-1900,AGG,1970-2024,1.3831,55
HadCRUT5,1880-1900,R19,1901-2024,0.5910,124
HadCRUT5,1880-1900,R19,1970-2024,0.6318,55
HadCRUT5,1880-1900,SLOWP,1901-2024,2.5565,124
HadCRUT5,1880-1900,SLOWP,1970-2024,2.4403,55
HadCRUT5,1880-1900,FAST,1901-2024,1.3861,124
HadCRUT5,1880-1900,FAST,1970-2024,1.3663,55
HadCRUT5,1880-1900,AGG,1901-2024,1.6057,124
HadCRUT5,1880-1900,AGG,1970-2024,1.5668,55
BerkeleyEarth,1880-1900,R19,1901-2024,0.8599,124
BerkeleyEarth,1880-1900,R19,1970-2024,0.8764,55
BerkeleyEarth,1880-1900,SLOWP,1901-2024,1.9249,124
BerkeleyEarth,1880-1900,SLOWP,1970-2024,1.8990,55
BerkeleyEarth,1880-1900,FAST,1901-2024,1.3281,124
BerkeleyEarth,1880-1900,FAST,1970-2024,1.3167,55
BerkeleyEarth,1880-1900,AGG,1901-2024,1.4270,124
BerkeleyEarth,1880-1900,AGG,1970-2024,1.4166,55
BerkeleyE_5deg,1880-1900,R19,1901-2024,0.8566,124
BerkeleyE_5deg,1880-1900,R19,1970-2024,0.8721,55
BerkeleyE_5deg,1880-1900,SLOWP,1901-2024,1.9140,124
BerkeleyE_5deg,1880-1900,SLOWP,1970-2024,1.8872,55
BerkeleyE_5deg,1880-1900,FAST,1901-2024,1.3299,124
BerkeleyE_5deg,1880-1900,FAST,1970-2024,1.3183,55
BerkeleyE_5deg,1880-1900,AGG,1901-2024,1.4236,124
BerkeleyE_5deg,1880-1900,AGG,1970-2024,1.4126,55
