marker,peak_K,peak_year,gmst_2050,gmst_2100,gmst_2300,marker_label,width_ratio_total_2300
vvVL,1.75811440362603,2072,1.7441862212359711,1.6400162425784677,1.196765215994935,Very Low,0.8939176377258304
vvLN,1.9004009461292408,2072,1.8165518462642092,1.721499089429655,0.2855277427599316,Low-to-Neg,0.8410326060450005
vvL,1.8843209714075615,2073,1.7618652998075826,1.817394645776238,1.2359078212456092,Low,0.8234653178517407
vvML,2.371393180497709,2095,1.8569570353751697,2.3479696888168196,0.5450231545211994,Medium-to-Low,0.9338609094048506
vvM,4.287123927274732,2300,1.885025126791388,2.8848476646565033,4.287123927274732,Medium,1.2384749819025185
vvHL,2.957285370568162,2084,2.026805597639269,2.858358074329704,1.3760713472157415,High-to-Low,0.9866019969868394
vvH,6.65823171491672,2300,1.977530793623399,3.317160272924965,6.65823171491672,High,1.0066774408437433
