weighting,form,n_par,rmse_m,rmse_rel,railed,params
absolute,pchip,17,2.220446049250313e-16,3.0014455359908505e-17,,"anchored at (0.0, 0.0)"
absolute,linear,2,0.532360133382329,0.4923273976846689,,a=4.89973; b=-7.66638
absolute,saturating,3,0.42194296951713384,0.5002557773259761,,a=7.26764; b=3.84769; T_off=2.11364
absolute,logistic2,5,0.5246980928894326,0.336026001486019,f1|w1|w2,f1=0.02; T1=2.31663; w1=0.4202; T2=2.31659; w2=0.4202
relative,pchip,17,2.220446049250313e-16,3.0014455359908505e-17,,"anchored at (0.0, 0.0)"
relative,linear,2,1.397676721561016,0.3562776699507847,,a=1.73232; b=-1.42511
relative,saturating,3,1.5342030191225662,0.37216340499194867,a,a=20; b=0.0934703; T_off=0.830566
relative,logistic2,5,0.6775838072820625,0.18991114082290753,w1|w2,f1=0.0503392; T1=1.9897; w1=0.4202; T2=2.55899; w2=0.4202
