tune,temperature_K,s_eq_mm,unit,monotone
SLR_GL_PARAMS_MPIESMLR.IN,0.0,27.6432493,mm,True
SLR_GL_PARAMS_MPIESMLR.IN,1.0,161.019992,mm,True
SLR_GL_PARAMS_MPIESMLR.IN,2.0,227.405114,mm,True
SLR_GL_PARAMS_MPIESMLR.IN,3.0,277.795529,mm,True
SLR_GL_PARAMS_MPIESMLR.IN,10.3,355.93575,mm,True
SLR_GL_PARAMS_BCCCSM11.IN,0.0,30.6151755,mm,True
SLR_GL_PARAMS_BCCCSM11.IN,1.0,163.2041,mm,True
SLR_GL_PARAMS_BCCCSM11.IN,2.0,259.923446,mm,True
SLR_GL_PARAMS_BCCCSM11.IN,3.0,317.204194,mm,True
SLR_GL_PARAMS_BCCCSM11.IN,10.3,425.561871,mm,True
SLR_GL_PARAMS_CCSM4.IN,0.0,38.2093264,mm,True
SLR_GL_PARAMS_CCSM4.IN,1.0,173.940689,mm,True
SLR_GL_PARAMS_CCSM4.IN,2.0,242.496079,mm,True
SLR_GL_PARAMS_CCSM4.IN,3.0,290.501251,mm,True
SLR_GL_PARAMS_CCSM4.IN,10.3,384.577324,mm,True
SLR_GL_PARAMS_MIROCESM.IN,0.0,56.0987373,mm,True
SLR_GL_PARAMS_MIROCESM.IN,1.0,175.375143,mm,True
SLR_GL_PARAMS_MIROCESM.IN,2.0,262.165188,mm,True
SLR_GL_PARAMS_MIROCESM.IN,3.0,315.944026,mm,True
SLR_GL_PARAMS_MIROCESM.IN,10.3,401.209414,mm,True
(no xtraparams key),0.0,56.5157061,mm,False
(no xtraparams key),1.0,156.116886,mm,False
(no xtraparams key),2.0,190.211618,mm,False
(no xtraparams key),3.0,240.125788,mm,False
(no xtraparams key),10.3,366.488772,mm,False
SLR_GL_PARAMS_GISSE2R.IN,0.0,69.9062956,mm,True
SLR_GL_PARAMS_GISSE2R.IN,1.0,184.582394,mm,True
SLR_GL_PARAMS_GISSE2R.IN,2.0,259.408873,mm,True
SLR_GL_PARAMS_GISSE2R.IN,3.0,304.327499,mm,True
SLR_GL_PARAMS_GISSE2R.IN,10.3,362.183055,mm,True
SLR_GL_PARAMS_MRICGCM3.IN,0.0,71.8638079,mm,True
SLR_GL_PARAMS_MRICGCM3.IN,1.0,191.441263,mm,True
SLR_GL_PARAMS_MRICGCM3.IN,2.0,256.690498,mm,True
SLR_GL_PARAMS_MRICGCM3.IN,3.0,306.342985,mm,True
SLR_GL_PARAMS_MRICGCM3.IN,10.3,370.130371,mm,True
SLR_GL_PARAMS_IPSLCM5ALR.IN,0.0,84.3287626,mm,True
SLR_GL_PARAMS_IPSLCM5ALR.IN,1.0,206.74023,mm,True
SLR_GL_PARAMS_IPSLCM5ALR.IN,2.0,297.180039,mm,True
SLR_GL_PARAMS_IPSLCM5ALR.IN,3.0,355.039287,mm,True
SLR_GL_PARAMS_IPSLCM5ALR.IN,10.3,431.043728,mm,True
SLR_GL_PARAMS_NORESM1M.IN,0.0,90.8841569,mm,True
SLR_GL_PARAMS_NORESM1M.IN,1.0,233.491023,mm,True
SLR_GL_PARAMS_NORESM1M.IN,2.0,310.752029,mm,True
SLR_GL_PARAMS_NORESM1M.IN,3.0,362.188362,mm,True
SLR_GL_PARAMS_NORESM1M.IN,10.3,428.677722,mm,True
SLR_GL_PARAMS_MIROC5.IN,0.0,103.393375,mm,True
SLR_GL_PARAMS_MIROC5.IN,1.0,238.724179,mm,True
SLR_GL_PARAMS_MIROC5.IN,2.0,317.448021,mm,True
SLR_GL_PARAMS_MIROC5.IN,3.0,366.414026,mm,True
SLR_GL_PARAMS_MIROC5.IN,10.3,428.218605,mm,True
SLR_GL_PARAMS_CNRMCM5.IN,0.0,103.943867,mm,True
SLR_GL_PARAMS_CNRMCM5.IN,1.0,235.23782,mm,True
SLR_GL_PARAMS_CNRMCM5.IN,2.0,309.461221,mm,True
SLR_GL_PARAMS_CNRMCM5.IN,3.0,355.576165,mm,True
SLR_GL_PARAMS_CNRMCM5.IN,10.3,444.533593,mm,True
SLR_GL_PARAMS_CANESM2.IN,0.0,112.334459,mm,True
SLR_GL_PARAMS_CANESM2.IN,1.0,231.458664,mm,True
SLR_GL_PARAMS_CANESM2.IN,2.0,307.408944,mm,True
SLR_GL_PARAMS_CANESM2.IN,3.0,344.567259,mm,True
SLR_GL_PARAMS_CANESM2.IN,10.3,439.564854,mm,True
SLR_GL_PARAMS_GFDLCM3.IN,0.0,116.869453,mm,True
SLR_GL_PARAMS_GFDLCM3.IN,1.0,251.822319,mm,True
SLR_GL_PARAMS_GFDLCM3.IN,2.0,324.202969,mm,True
SLR_GL_PARAMS_GFDLCM3.IN,3.0,360.697754,mm,True
SLR_GL_PARAMS_GFDLCM3.IN,10.3,425.58725,mm,True
SLR_GL_PARAMS_CSIROMK360.IN,0.0,119.531503,mm,True
SLR_GL_PARAMS_CSIROMK360.IN,1.0,200.408415,mm,True
SLR_GL_PARAMS_CSIROMK360.IN,2.0,249.597612,mm,True
SLR_GL_PARAMS_CSIROMK360.IN,3.0,302.833096,mm,True
SLR_GL_PARAMS_CSIROMK360.IN,10.3,450.574194,mm,True
SLR_GL_PARAMS_HADGEM2ES.IN,0.0,135.916226,mm,True
SLR_GL_PARAMS_HADGEM2ES.IN,1.0,261.334425,mm,True
SLR_GL_PARAMS_HADGEM2ES.IN,2.0,318.966645,mm,True
SLR_GL_PARAMS_HADGEM2ES.IN,3.0,361.292944,mm,True
SLR_GL_PARAMS_HADGEM2ES.IN,10.3,438.325477,mm,True
