com12_pct,solved,b,T_off,kappa,rate_modern_mm_yr,com1p2,com1p5,com2p0,com3p0,ladder_pass,spread_cm,spread_pass,S2020_mm,S1900_mm
11.8000,False,,,,,,,,,,,,,
20.0000,True,0.2390,-0.3904,0.0090,1.5134,34.7195,42.6244,53.7299,69.9083,True,9.7218,True,64.0911,5.8936
28.0000,True,0.2567,-0.6418,0.0071,1.4456,39.3758,47.2239,58.1120,73.6128,True,8.9238,True,75.2817,11.4069
37.4000,True,0.2816,-0.9132,0.0053,1.3600,45.6546,53.3203,63.7698,78.1750,True,7.9571,True,86.3643,17.4659
