year,ssp,component,gmst,med,p05,p17,p83,p95,n_finite
1990,SSP1-2.6,glaciers,0.5557397132233756,-0.6686446152992924,-0.8880436247439387,-0.785998441149627,-0.5597876126741875,-0.4825785022947732,2000
1991,SSP1-2.6,glaciers,0.5885637306361448,-0.6384778731379737,-0.8444339133530698,-0.7504901433127248,-0.5352832397740119,-0.4606865450392498,2000
1992,SSP1-2.6,glaciers,0.5090689778394178,-0.6041203413045699,-0.7999201954986122,-0.7094055554646144,-0.5064174303208975,-0.43678513323315316,2000
1993,SSP1-2.6,glaciers,0.3084522979487564,-0.5874652315949611,-0.7751256713669097,-0.6892107105726476,-0.4924158850247097,-0.42572526645570985,2000
1994,SSP1-2.6,glaciers,0.332676813580452,-0.5509159969572908,-0.725630734990002,-0.6456665997225102,-0.46099885160249104,-0.3991620062953058,2000
1995,SSP1-2.6,glaciers,0.4547856293863089,-0.517370754971958,-0.6813227096822848,-0.6059634082619947,-0.4334465972252817,-0.3749383212056597,2000
1996,SSP1-2.6,glaciers,0.5463394857269461,-0.4731330766408699,-0.622924267496303,-0.554817339148757,-0.39624185961961234,-0.3423830670795265,2000
1997,SSP1-2.6,glaciers,0.600043540445978,-0.4346030567133108,-0.5727866724921885,-0.5098656526985086,-0.3650198245508827,-0.31480695361380884,2000
1998,SSP1-2.6,glaciers,0.6466075693928761,-0.39005049585734053,-0.5129259067919747,-0.4578117384048256,-0.32730787916360177,-0.2823642589562119,2000
1999,SSP1-2.6,glaciers,0.686007840655961,-0.3157927359586792,-0.415143088137112,-0.37045271453879086,-0.2651146479170227,-0.22930670785845925,2000
2000,SSP1-2.6,glaciers,0.7295563669080296,-0.27577480219298867,-0.36238010104935003,-0.3233088393943126,-0.23115989651658864,-0.20032036046322882,2000
2001,SSP1-2.6,glaciers,0.7655239205849365,-0.22876192254209937,-0.3001673886964752,-0.2689707708600933,-0.1920027915172732,-0.16708195645374727,2000
2002,SSP1-2.6,glaciers,0.7999498588212678,-0.17138683402461652,-0.22366491012614192,-0.20130582511876663,-0.14398219896849707,-0.12523815142850753,2000
2003,SSP1-2.6,glaciers,0.8301407393993533,-0.11014595403714678,-0.14419918295658332,-0.1295412368550996,-0.09297978223223143,-0.08074472812795724,2000
2004,SSP1-2.6,glaciers,0.8359312010698448,-0.049509538992864144,-0.06588156071075485,-0.05842624561784299,-0.04119530806922964,-0.03652993262122162,2000
2005,SSP1-2.6,glaciers,0.843916603443868,2.3821609397955967e-5,-0.010606731538646951,-0.005927612978335706,0.00586929188865563,0.009211761023862983,2000
2006,SSP1-2.6,glaciers,0.8516506513236204,0.07015965478144559,0.04769525653252449,0.05700888887171173,0.08470303616994654,0.09560222667427402,2000
2007,SSP1-2.6,glaciers,0.8597675192449368,0.15064269367477623,0.10715482781964676,0.12593961208963708,0.17724917680463917,0.19882235660410214,2000
