tag,ssp,component,horizon,chain_med_min,chain_med_max,range_cm,sd_of_medians_cm,pooled_med_cm,mean_within_sd_cm,rhat
L24,ssp245,glaciers,2100,9.716080922203831,9.997567095159054,0.2814861729552227,0.12236967456749251,9.82256773699813,1.3953246019294894,0.9992567951680364
L24,ssp245,glaciers,2150,13.581159793020044,13.93900895773021,0.35784916471016537,0.16218987233615448,13.719874336755584,1.8371603261505667,0.9997887275120658
L24,ssp245,glaciers,2300,18.661055524874797,19.172804727280372,0.511749202405575,0.2692472833592248,18.971789915556663,2.4300771703232407,1.0007699189313854
L24,ssp245,gis,2100,8.38495653211028,8.529522674880191,0.14456614276991075,0.0613496935300241,8.463838232423377,0.6700242849123164,1.00010548455984
L24,ssp245,gis,2150,12.265368965095085,12.685776120012125,0.42040715491704006,0.17742463123931634,12.466551337992414,1.2016261342693637,1.0031884552627257
L24,ssp245,gis,2300,18.09812701433918,19.31917779637041,1.2210507820312309,0.5003784462949443,18.695387362060657,2.536743078780251,1.0215161419544858
L24,ssp245,ais,2100,6.565262703782619,14.06977900607178,7.5045163022891614,3.522010566075038,9.954332580568103,18.470082211293093,1.0009264172806944
L24,ssp245,ais,2150,47.51557755980097,58.4965106938705,10.98093313406953,5.1238296832675445,51.5035690758517,39.98631569690693,1.0039468904608662
L24,ssp245,ais,2300,177.02163841204998,200.9636556045299,23.94201719247991,11.492146631839178,189.17505873908493,99.47473953213196,1.0053632225973321
L24,ssp245,te,2100,20.593646073841207,20.710396310014893,0.11675023617368652,0.047731646859567226,20.659132840742934,1.0923389333281446,0.999061130246166
L24,ssp245,te,2150,30.341811819509946,30.51382670619703,0.17201488668708365,0.07032580057244318,30.438297267054086,1.6094062333268369,0.999061130246166
L24,ssp245,te,2300,47.4876608672254,47.75687961565417,0.26921874842877,0.1100661947172392,47.638669259171586,2.5188653156394736,0.999061130246166
L24,ssp245,total,2100,49.859657018349495,55.34003392300933,5.480376904659835,2.4914144359279518,52.110618921130595,18.532158177857436,1.0007137750706447
L24,ssp245,total,2150,107.62832690949303,119.02233321686211,11.394006307369082,5.096991654842858,112.12155792262327,40.06195452953336,1.00359984438391
L24,ssp245,total,2300,271.1364177992922,294.990365471494,23.853947672201798,11.80242927399311,283.30681890133417,99.65648086743906,1.0049077897518328
L24,ssp245,sens_ais_gmst_amp,2100,NaN,NaN,NaN,NaN,67.2907875916799,0.6222276189848097,9.454355656631027
L24,ssp245,sens_ais_gmst_amp,2150,NaN,NaN,NaN,NaN,146.152347180749,0.6234232240582523,20.534404778895237
L24,ssp245,sens_ais_gmst_amp,2300,NaN,NaN,NaN,NaN,322.7471780567971,0.5529193960207064,45.34597851698
L24,ssp245,sens_ais_runoff_Ton,2100,NaN,NaN,NaN,NaN,70.80539624306759,0.4730519421360359,5.664431699445408
L24,ssp245,sens_ais_runoff_Ton,2150,NaN,NaN,NaN,NaN,149.25483168668134,0.4599963448583016,11.940386534934508
L24,ssp245,sens_ais_runoff_Ton,2300,NaN,NaN,NaN,NaN,325.1508347710726,0.4024695646760678,26.012066781685807
L24,ssp245,sens_ais_iceflow0,2100,NaN,NaN,NaN,NaN,-6.896106805487777,-0.059238546670374315,-0.666853528090668
L24,ssp245,sens_ais_iceflow0,2150,NaN,NaN,NaN,NaN,-13.085552078493114,-0.051853249275947956,-1.265372885990284
L24,ssp245,sens_ais_iceflow0,2300,NaN,NaN,NaN,NaN,-4.763122643391578,-0.007580500461636274,-0.4605939596159656
L24,ssp245,sens_ais_slope,2100,NaN,NaN,NaN,NaN,-17122.122739968094,-0.017864695941613832,0.2653929024695055
L24,ssp245,sens_ais_slope,2150,NaN,NaN,NaN,NaN,-17552.45405843476,-0.008448106446398995,0.27206303790573877
L24,ssp245,sens_ais_slope,2300,NaN,NaN,NaN,NaN,-182921.69753299866,-0.035359730335806125,2.8352863117614793
