block,window,y0,y1,amp,se,n,rms_gmst,prior_mu,prior_sd,z,diff_over_prior_sd,verdict
R19,full,1901.0,2024.0,0.6148560152407081,0.03173564104039652,124.0,0.5747602148708513,0.72,0.15,,,
R19,early,1901.0,1960.0,0.22722526418394043,0.11793399922091058,60.0,0.23692054389604966,0.72,0.15,,,
R19,modern,1961.0,2024.0,0.6495808207901623,0.027255365312891217,64.0,0.7664389359543754,0.72,0.15,,,
SLOWP,full,1901.0,2024.0,2.4840065397681075,0.0830162733083012,124.0,0.5747602148708513,2.5,0.45,,,
SLOWP,early,1901.0,1960.0,3.6246907646414757,0.2716734255819191,60.0,0.23692054389604966,2.5,0.45,,,
SLOWP,modern,1961.0,2024.0,2.3818215665840343,0.08032877927018814,64.0,0.7664389359543754,2.5,0.45,,,
FAST,full,1901.0,2024.0,1.4035600996144828,0.03239176140300397,124.0,0.5747602148708513,1.45,0.15,,,
FAST,early,1901.0,1960.0,1.5804542297739714,0.10372277157240345,60.0,0.23692054389604966,1.45,0.15,,,
FAST,modern,1961.0,2024.0,1.3877135387936963,0.035790305614418386,64.0,0.7664389359543754,1.45,0.15,,,
R19,modern-early,,,0.4223555566062219,0.12104248473398459,,,0.72,0.15,3.489316643940629,2.815703710708146,NON-STATIONARY (resolved AND material)
SLOWP,modern-early,,,-1.2428691980574413,0.2833004817264756,,,2.5,0.45,-4.387105840707401,-2.7619315512387583,NON-STATIONARY (resolved AND material)
FAST,modern-early,,,-0.19274069098027513,0.10972401432063289,,,1.45,0.15,-1.7565953285035023,-1.284937939868501,MATERIAL but NOT resolved — low power
R19,modern-early_WITH_INTERCEPT,,,-0.11020802103770522,,,,,0.15,,-0.7347201402513681,"the raw shift was the INTERCEPT, not the slope"
SLOWP,modern-early_WITH_INTERCEPT,,,-0.11923988190628032,,,,,0.45,,-0.2649775153472896,"the raw shift was the INTERCEPT, not the slope"
FAST,modern-early_WITH_INTERCEPT,,,0.110278387895544,,,,,0.15,,0.7351892526369601,survives the intercept
