k,rate_s,r2300_2100,r2300_2100_in,r2300_2150,r2300_2150_in,r2300_2200,r2300_2200_in,r2300_2300,r2300_2300_in,x2300_2100,x2300_2100_in,x2300_2150,x2300_2150_in,x2300_2200,x2300_2200_in,x2300_2300,x2300_2300_in,n_in_band,n_horizons,tau_slow_yr
0.5,999.9999999999999,18.239645071883082,True,15.955600440401366,True,15.955600440401366,False,15.955600440401366,False,18.90846037041824,False,31.095491585727316,False,39.73090729008129,False,45.83768142186551,False,2,8,0.05586274109174674
0.75,2.4683187288851265,20.593499869579066,True,24.370129663276863,True,26.090976047846148,True,27.389252263306666,False,20.944930407038854,False,41.251572883710644,False,56.95328506705877,False,70.55956734355215,False,3,8,22.63189942492169
1.0,1.015245783914344,19.74184392021907,True,28.16318134469826,True,31.97766984922962,True,35.7154294558765,True,19.91129725541053,False,45.19137065614943,True,67.24514530063593,False,90.15244111873682,False,5,8,55.02385922605636
1.5,0.48261750615064436,20.435507346823535,True,33.38290811959124,True,40.36429320833929,True,48.11933263945237,True,20.529304431450775,False,51.82985163742804,True,83.03304544275281,False,121.73923269336731,False,5,8,115.7495125687791
2.0,0.32007764665504035,21.139823461564443,True,36.92319931052272,True,46.57025715693112,True,57.98451339931957,True,21.192949982290905,False,56.6216260407058,False,95.28777961958684,True,147.7055799784518,False,5,8,174.52871725201925
3.0,0.19235359857627538,22.020188284856516,True,41.29379571334779,True,54.894573566367214,True,72.7494280676803,True,22.031006100507767,False,62.80848664008684,False,112.4143561478256,True,189.22835360637663,False,5,8,290.4169275758088
5.0,0.10729760001421015,22.783580503177344,True,45.35172436070265,True,63.56537479461046,True,90.99480300097505,True,22.75834327625231,False,68.71636472922405,False,131.513911005959,False,243.82075679902738,True,5,8,520.6336496692591
8.0,0.06457769862852925,23.268076056960282,True,47.79817933997546,True,69.31421677821976,True,105.03970186415214,True,23.222473144602404,False,71.85404884132447,False,139.1925228738197,False,264.42369196286097,True,5,8,865.0469477568831
12.0,0.042191901891231384,23.38376904422691,True,48.79527164914095,False,72.04560171187069,False,113.07687011969615,False,23.29985103242769,False,67.5995435224539,False,120.63915882844907,False,218.43823041982887,False,1,8,1324.0157143082306
14.0,0.03596294472280004,23.14939336069373,True,48.299718511877984,True,71.5319881834283,False,113.3074471458549,False,23.047789452506557,False,62.80582803837008,False,109.12478853664635,True,197.29841435332992,False,3,8,1553.341683289091
22.6,0.0220032654866276,19.753503117604666,True,38.262546055082026,True,55.81909772709358,True,88.86101531275052,True,19.490621319019095,False,44.744583290495584,True,75.26056207831249,False,137.4213446505002,False,5,8,2538.838661382807
50.0,0.010532819590373516,11.403221983950413,True,20.571914340167417,True,29.503877587461375,True,46.7895170995781,True,11.32917703835912,True,23.922387921646447,False,39.724237554429386,False,74.47005989506677,False,5,8,5303.683466314449
