block,seed,a,b,r
ais_geometry,2028,ais_slope,ais_iceflow0,-0.8457786490805009
ais_other,2028,antarctic_alpha,anto_alpha,-0.8234620354940889
greenland,2027,gis_c0,gis_slow_ell,-0.8151011391112627
greenland,2029,gis_c0,gis_slow_ell,-0.8018043274709751
