year,gmean,omean,Gload1,Oload1,Gload2,Oload2,Gload3,Oload3
1850,-0.007010111547820091,-4.010354504398551,-0.0005738417014986563,-0.00013172683734495016,-0.0002986236784098262,-0.000537513647312201,-0.0015735692718300866,-0.004609665337876785
1851,0.004301497440071083,-3.6117960931912525,-0.00031789430225992454,-0.00013507383550487797,0.0002149626658988213,-0.0005351313850230455,-0.0014089564760190604,-0.004450404893621433
1852,0.015631256564178145,-3.218138269883026,-0.0006924524189741155,-0.000140259188337811,6.377935960627523e-05,-0.0005319318479893334,-0.00581585101173511,-0.004224826409488181
1853,0.018587806720389902,-2.836870738889269,-0.00048604815222455473,-0.00015353005701549026,0.0004095911550906963,-0.0005396666603960539,-0.004090820313391086,-0.004066799749885184
1854,0.02448244265510722,-2.476685413660308,-0.0003081162819722045,-0.0001695044738279357,0.0002398458408043474,-0.000544611387265506,-0.0058566918643202515,-0.0038580943128158317
1855,0.01653827569728662,-2.1432879870550554,-0.0006376867598266418,-0.0001652618749662298,-0.0002294510032386146,-0.0005323466989219749,-0.004192799027354144,-0.003611454557399156
1856,-0.014343698143355012,-2.423201208574172,-9.317948871073996e-05,-0.00016554624703157085,0.000141535518734232,-0.0005218983530614739,-0.0026761426652283232,-0.003478941110162733
1857,-0.02643222665840044,-2.450909824421942,-0.0005515172173210324,-0.00015704568223471279,-0.0002550345260577171,-0.0005024156597845965,-0.0019818175164572926,-0.0033793285041422458
1858,-0.017322372088768266,-2.195398307889488,-0.00011497721957348139,-0.0001540415013243925,-0.0004998324063672184,-0.00047242313344403997,-0.0022622103535596405,-0.003225650265940223
1859,0.0001830952454227909,-1.844864687653743,2.0330036724746318e-05,-0.00015657356114025977,-0.0005185834155550683,-0.00044632717370291983,-0.0014888377614971614,-0.003071435389103981
1860,0.010617222711697308,-1.451858688628201,-0.00021789352735684177,-0.00015842212163353348,-0.0010767785723836182,-0.0004089511729271358,-0.002601007275599277,-0.0029031820464284538
1861,0.021713362337274843,-1.056926324069715,-0.00036854342105140423,-0.00016148989128352017,-0.0010756135717777653,-0.00037528956030382163,0.00032858280920252146,-0.002768008341249962
1862,0.016311044135157063,-0.8518616426533472,-0.00020430893127744304,-0.0001649259794413568,-0.0009778620867344425,-0.0003419075293861291,0.0008854987186002019,-0.0026565368083017364
1863,0.009001765497578022,-0.6833137759623072,-0.00027926122961905483,-0.0001643822680247932,-0.0008034590145982432,-0.00030808790008246567,-0.00046406327814615234,-0.00252848296656564
1864,-0.046788794960828904,-1.6622645291332745,-0.0005312953020262734,-0.0001451580939359202,-0.00046801419610048605,-0.00026897627600229484,-0.0023915350970319777,-0.002416138529755364
1865,-0.06237105820851644,-2.083698857578616,-0.00020212996567852787,-0.0001260808655402146,-0.00023593260305433854,-0.00023149619135738646,-0.0004912491701822658,-0.002305616365539037
1866,-0.03596847307086834,-1.9374810483898905,-0.00032606684872380637,-0.00010663584012689198,0.00025342294624770606,-0.0002138693662922979,-0.0011827298660442506,-0.0021109574369319486
1867,-0.014367585091313261,-1.6031148250615765,-9.3277448713834e-05,-0.00010134856780193249,-0.0001351363084586669,-0.000197985361696837,0.0009869836668983875,-0.0019759964960021008
1868,-0.003117640826799952,-1.244497251448158,5.43108338993494e-05,-9.817972183260845e-05,-0.0006113154249665969,-0.00017427252076181705,0.00044523080425769605,-0.001812838534455074
1869,0.0032319652256423527,-0.8761595899065421,2.9050857458139215e-05,-8.594537499704247e-05,-0.000645367533337934,-0.00014182205220818002,-0.0018566637751602551,-0.0015565434993293483
1870,0.018567268797081198,-0.48944657235276795,1.8614190462657847e-05,-8.347504368060552e-05,-0.0002679572190005328,-0.00012058592258424512,-0.002038238981290063,-0.0013139609001786851
1871,0.02585107614221686,-0.12455240944926982,1.3344790186277545e-05,-7.6928030068938e-05,-8.048570933621727e-05,-0.00010018540797793517,-0.0014971197752961817,-0.0010897607382139595
1872,0.03354841354835183,0.2557510363348155,0.00037044983452413937,-8.751961092462706e-05,-0.0003480731873476813,-8.048923583281968e-05,-0.0011912073133648607,-0.0008687084169533514
