arm,priority,quantity,ssp,value,target,ratio
original BRICK (:stock SIMPLE),1,calib_total_cm,-,5.717512494346244,5.7806307509160195,0.9890810779498805
"Ladrillo L14, untapped",1,calib_total_cm,-,5.733942052953345,5.7806307509160195,0.9919232519815807
Ladrillo L14 + V=5.64 (SHIPPED),1,calib_total_cm,-,5.733942052953345,5.7806307509160195,0.9919232519815807
Ladrillo L14 + V=6.00 cascade,1,calib_total_cm,-,5.733942052953345,5.7806307509160195,0.9919232519815807
original BRICK (:stock SIMPLE),1,rate_1900_1950_mmyr,-,0.4056195346420409,0.5539802169799806,0.7321913711165953
original BRICK (:stock SIMPLE),1,rate_1950_1990_mmyr,-,0.4391290405638724,0.29433507919311536,1.4919357956506323
original BRICK (:stock SIMPLE),1,rate_1993_2010_mmyr,-,0.5220929400052654,0.4974302167401594,1.049580267613676
original BRICK (:stock SIMPLE),1,rate_2010_2024_mmyr,-,0.5957198639942523,0.6802884115438755,0.8756872142541723
original BRICK (:stock SIMPLE),1,rate_1995_2024_mmyr,-,0.5614392926930807,0.593267555830312,0.9463509122916964
"Ladrillo L14, untapped",1,rate_1900_1950_mmyr,-,0.5514466825859721,0.5539802169799806,0.9954266699128355
"Ladrillo L14, untapped",1,rate_1950_1990_mmyr,-,0.2795662206713756,0.29433507919311536,0.94982297535779
"Ladrillo L14, untapped",1,rate_1993_2010_mmyr,-,0.49614652541316817,0.4974302167401594,0.9974193539439486
"Ladrillo L14, untapped",1,rate_2010_2024_mmyr,-,0.6941619096086837,0.6802884115438755,1.0203935534243822
"Ladrillo L14, untapped",1,rate_1995_2024_mmyr,-,0.6286755342629389,0.593267555830312,1.0596829846578604
Ladrillo L14 + V=5.64 (SHIPPED),1,rate_1900_1950_mmyr,-,0.5514466825859721,0.5539802169799806,0.9954266699128355
Ladrillo L14 + V=5.64 (SHIPPED),1,rate_1950_1990_mmyr,-,0.2795662206713756,0.29433507919311536,0.94982297535779
Ladrillo L14 + V=5.64 (SHIPPED),1,rate_1993_2010_mmyr,-,0.49614652541316817,0.4974302167401594,0.9974193539439486
Ladrillo L14 + V=5.64 (SHIPPED),1,rate_2010_2024_mmyr,-,0.6941619096086837,0.6802884115438755,1.0203935534243822
Ladrillo L14 + V=5.64 (SHIPPED),1,rate_1995_2024_mmyr,-,0.6286755342629389,0.593267555830312,1.0596829846578604
Ladrillo L14 + V=6.00 cascade,1,rate_1900_1950_mmyr,-,0.5514466825859721,0.5539802169799806,0.9954266699128355
Ladrillo L14 + V=6.00 cascade,1,rate_1950_1990_mmyr,-,0.2795662206713756,0.29433507919311536,0.94982297535779
Ladrillo L14 + V=6.00 cascade,1,rate_1993_2010_mmyr,-,0.49614652541316817,0.4974302167401594,0.9974193539439486
Ladrillo L14 + V=6.00 cascade,1,rate_2010_2024_mmyr,-,0.6941619096086837,0.6802884115438755,1.0203935534243822
Ladrillo L14 + V=6.00 cascade,1,rate_1995_2024_mmyr,-,0.6286755342629389,0.593267555830312,1.0596829846578604
original BRICK (:stock SIMPLE),1,obs_band_frac_in,-,0.30952380952380953,1.0,0.30952380952380953
original BRICK (:stock SIMPLE),1,obs_band_worst_excursion,-,9.786942896493585,1.0,NaN
original BRICK (:stock SIMPLE),1,obs_band_worst_miss_cm,-,0.16099521064731803,0.0,NaN
"Ladrillo L14, untapped",1,obs_band_frac_in,-,0.8333333333333334,1.0,0.8333333333333334
"Ladrillo L14, untapped",1,obs_band_worst_excursion,-,4.665682580378923,1.0,NaN
"Ladrillo L14, untapped",1,obs_band_worst_miss_cm,-,0.0767504784472326,0.0,NaN
Ladrillo L14 + V=5.64 (SHIPPED),1,obs_band_frac_in,-,0.8333333333333334,1.0,0.8333333333333334
Ladrillo L14 + V=5.64 (SHIPPED),1,obs_band_worst_excursion,-,4.665682580378923,1.0,NaN
Ladrillo L14 + V=5.64 (SHIPPED),1,obs_band_worst_miss_cm,-,0.0767504784472326,0.0,NaN
Ladrillo L14 + V=6.00 cascade,1,obs_band_frac_in,-,0.8333333333333334,1.0,0.8333333333333334
Ladrillo L14 + V=6.00 cascade,1,obs_band_worst_excursion,-,4.665682580378923,1.0,NaN
Ladrillo L14 + V=6.00 cascade,1,obs_band_worst_miss_cm,-,0.0767504784472326,0.0,NaN
original BRICK (:stock SIMPLE),1,accel_mmyr2,-,0.004671356193088523,0.014581499424505396,0.32036185423002034
"Ladrillo L14, untapped",1,accel_mmyr2,-,0.009234995539213838,0.014581499424505396,0.6333364814110733
Ladrillo L14 + V=5.64 (SHIPPED),1,accel_mmyr2,-,0.009234995539213838,0.014581499424505396,0.6333364814110733
Ladrillo L14 + V=6.00 cascade,1,accel_mmyr2,-,0.009234995539213838,0.014581499424505396,0.6333364814110733
original BRICK (:stock SIMPLE),1,v0_m,-,7.350566171554532,7.49,0.9813840015426611
"Ladrillo L14, untapped",1,v0_m,-,7.42,7.49,0.9906542056074766
Ladrillo L14 + V=5.64 (SHIPPED),1,v0_m,-,7.42,7.49,0.9906542056074766
Ladrillo L14 + V=6.00 cascade,1,v0_m,-,7.42,7.49,0.9906542056074766
original BRICK (:stock SIMPLE),4,gis_2100_cm,SSP1-2.6,6.5923487805674785,NaN,NaN
original BRICK (:stock SIMPLE),4,gis_2150_cm,SSP1-2.6,10.002208610078576,NaN,NaN
original BRICK (:stock SIMPLE),2,gis_2300_cm,SSP1-2.6,19.08286206314238,NaN,NaN
original BRICK (:stock SIMPLE),4,gis_2100_cm,SSP2-4.5,7.256273727058128,NaN,NaN
original BRICK (:stock SIMPLE),4,gis_2150_cm,SSP2-4.5,11.960572388425739,NaN,NaN
original BRICK (:stock SIMPLE),2,gis_2300_cm,SSP2-4.5,25.67476518317368,NaN,NaN
original BRICK (:stock SIMPLE),4,gis_2100_cm,SSP5-8.5,8.789052086208521,NaN,NaN
original BRICK (:stock SIMPLE),4,gis_2150_cm,SSP5-8.5,17.6955542213574,NaN,NaN
original BRICK (:stock SIMPLE),2,gis_2300_cm,SSP5-8.5,48.76031851903951,NaN,NaN
"Ladrillo L14, untapped",4,gis_2100_cm,SSP1-2.6,6.4186919587726825,NaN,NaN
"Ladrillo L14, untapped",4,gis_2150_cm,SSP1-2.6,7.874256283984879,NaN,NaN
"Ladrillo L14, untapped",2,gis_2300_cm,SSP1-2.6,9.959034906072581,NaN,NaN
"Ladrillo L14, untapped",4,gis_2100_cm,SSP2-4.5,8.469471208563375,NaN,NaN
