coordinates,seed2026,seed2027,seed2028,seed2029,mean_abs_corr,pooled_abs_corr
"(alpha_s, beta_s)  [as sampled]",0.6322528066617411,0.476556758774674,0.6879890262959433,0.5167944749337772,0.5783982666665339,0.31927561482700995
"(log r_s, tilt=w)  T-bar=1.169",0.23368283423628464,0.3103218034010167,0.5015339022178796,0.08411047312194286,0.282412253244281,0.17307446169208945
"(log r_s, tilt=alpha_s)  T-bar=1.169",0.2629022149627085,0.2468665922512826,0.07823932335817295,0.4147796563481534,0.25069694673007936,0.42283550063731423
"(log r_s, tilt=w)  T-bar=1.963",0.21471770021079156,0.012078147165233805,0.006021052022583612,0.3245926548576502,0.1393523885640648,0.1372905803695308
"(log r_s, tilt=alpha_s)  T-bar=1.963",0.6407828973551385,0.5324536695489486,0.39913303579301934,0.726184003263337,0.5746384014901108,0.6547889647458409
"PRIOR induced, T-bar=1.169",,,,,0.10150469237225702,
"PRIOR induced, T-bar=1.963",,,,,0.3145208334929956,
