component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.6326889321653397,0.0013893710850598762,true,true
glaciers,1900,-5.791280944697327,-5.540746809031444,0.250534135665883,true,true
gis,1900,-4.130332357233222,-4.080896565226178,0.049435792007043844,true,true
te,1900,-3.6098928928375242,-3.7643885390396683,-0.15449564620214407,false,true
total,1900,-13.937918849348069,-12.662341627705635,1.2755772216424344,false,false
ais,1950,-0.36264223185452554,-0.36673548674670103,-0.004093254892175491,true,true
glaciers,1950,-2.3937353139412214,-2.537617624420692,-0.14388231047947064,true,true
gis,1950,-1.3604312723333192,-1.3194634579043756,0.040967814428943594,true,true
te,1950,-2.815257120132446,-2.730700493715956,0.08455662641649031,true,true
total,1950,-5.985805844939225,-5.514349510536636,0.47145633440258905,true,false
ais,2000,0.0017998782071199648,-0.011770513696079454,-0.013570391903199419,false,true
glaciers,2000,-0.00850888165561,-0.0006459055194385499,0.00786297613617145,false,true
gis,2000,-0.04322274381464186,-0.04876557772102741,-0.005542833906385547,false,true
te,2000,-0.23769707679748553,-0.005841516776946332,0.2318555600205392,false,true
total,2000,-0.2893630562230687,-0.29507761629621315,-0.00571456007314447,true,false
ais,2018,0.696409138766202,0.5751999026005066,-0.12120923616569546,false,true
glaciers,2018,1.20556921092,1.1348529121991149,-0.07071629872088514,true,true
gis,2018,1.2730523759668522,1.2701787313186248,-0.002873644648227369,true,true
te,2018,2.074393606185913,2.786278930544082,0.7118853243581689,false,true
total,2018,5.965000044906917,6.3631654609988875,0.3981654160919703,false,false
ais,2025,0.7663673305319003,0.8482087882603435,0.0818414577284432,false,true
glaciers,2023,1.63055217082,1.4728278346311874,-0.15772433618881254,true,true
gis,2025,1.6502983936827973,1.660187394013246,0.009889000330448816,true,true
te,2025,3.2329575871586798,4.122384901422375,0.8894273142636955,false,true
total,2024,8.225314682835013,8.605048700324023,0.37973401748901026,true,false
ais,2019,0.6917651205871491,0.6125935925638103,-0.07917152802333882,false,true
ais,2020,0.7446601482114583,0.6503271869887185,-0.09433296122273982,false,true
ais,2022,0.7131118056700219,0.7272289312381559,0.014117125568134048,true,true
ais,2024,0.7646276896479223,0.8069395457337738,0.04231185608585153,true,true
ais,2025,0.7663673305319003,0.8482087882603435,0.0818414577284432,false,true
