check,arm,scale_k,r2,resid_rmse_cm,alpha,chi2_per_n,rmse_cm,alpha_sd,seam_rate_jump_cm_yr
scale_vs_shape,Zanna+Cheng,0.8391427325442442,0.9806888841958106,1.528919207679056,,,,,
scale_vs_shape,Zanna+IGCC,0.8916466863312524,0.9874238075614215,1.2869416105023666,,,,,
weighted,Ladrillo L10,,,,0.15023,3.9550004361611406,0.40626084439981064,0.00747,
weighted,BRICK 2.0,,,,0.15834,6.893099793828199,0.33349333770244405,0.02892,
seam,Zanna+Cheng,,,,0.18062984947349353,,,,0.030624226488940837
seam,Zanna+IGCC,,,,0.16616746815595637,,,,0.02888710184732063
