year,ssp,component,med_shipped,cell_lo,cell_hi,cell_width,post_p05,post_p95,post_width,n_cells
2100,SSP1-2.6,glaciers,7.918392702561013,7.918392702561013,7.918392702561013,0.0,6.174928639124931,9.8943429070598,3.7194142679348685,25
2100,SSP1-2.6,gis,6.477621317033897,6.477621317033897,6.477621317033897,0.0,5.773349958321641,7.203057313877939,1.4297073555562978,25
2100,SSP1-2.6,ais,4.403186231159361,4.403186231159361,4.403186231159361,0.0,3.3334107078299584,5.363853192459861,2.0304424846299027,25
2100,SSP1-2.6,te,13.696941003408131,13.696941003408131,13.696941003408131,0.0,12.494988314152215,14.596036196748503,2.101047882596289,25
2100,SSP1-2.6,lws,2.596380650083528,2.596380650083528,2.596380650083528,0.0,2.596380650083528,2.596380650083528,0.0,25
2100,SSP1-2.6,total,35.05275599442191,35.05275599442191,35.05275599442191,0.0,32.62183145034376,37.52290700630929,4.901075555965527,25
2100,SSP2-4.5,glaciers,9.988656603957978,9.988656603957978,9.988656603957978,0.0,7.79529452837216,12.283538313980316,4.488243785608155,25
2100,SSP2-4.5,gis,8.462645070676976,8.462645070676976,8.462645070676976,0.0,7.406924156640959,9.545390799781458,2.1384666431404993,25
2100,SSP2-4.5,ais,5.5843293943359065,5.5843293943359065,5.5843293943359065,0.0,3.7610030049447927,39.19933980502621,35.43833680008142,25
2100,SSP2-4.5,te,17.945169986710958,17.945169986710958,17.945169986710958,0.0,16.37042090081543,19.123127610585726,2.7527067097702975,25
2100,SSP2-4.5,lws,2.596380650083528,2.596380650083528,2.596380650083528,0.0,2.596380650083528,2.596380650083528,0.0,25
2100,SSP2-4.5,total,44.94653669115699,44.94653669115699,44.94653669115699,0.0,41.19770163738083,78.61517404227132,37.41747240489049,25
2100,SSP5-8.5,glaciers,14.28878383836463,14.28878383836463,14.28878383836463,0.0,11.382627248367733,17.309828328090315,5.9272010797225825,25
2100,SSP5-8.5,gis,13.895509338193305,13.895509338193305,13.895509338193305,0.0,11.622413047533184,16.40682450157052,4.784411454037334,25
2100,SSP5-8.5,ais,37.07302382802588,37.07302382802588,37.07302382802588,0.0,16.45111107047176,67.00880260515375,50.557691534681986,25
