year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-3.0916277934835192,-1.8481551982514866,-0.5707703867701279,-3.254656998691169,-0.42075256630581276,-0.7681519642532018,-7.28162723336215,-6.412446263685384,-5.332703065935353,-8.165103780908645,-4.462597214441607,-7.27700420293,-4.542670652782953,-4.089827540027241,-3.7024285133080035,-5.241185010472876,-2.933482566593558,-4.130332357233222,-4.034233353961372,-3.6321042740521277,-3.227921179927881,-4.855046661291328,-2.4200764750003207,-3.6098928928375242,-16.599247877657838,-14.716099593969279,-12.910310138397117,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-3.0598502831028007,-1.8322315669863827,-0.5726226235448056,-3.196280606761416,-0.40865321969363494,-0.7626991406142858,-7.2443050095188255,-6.379308356722219,-5.299378336020469,-8.233706419371181,-4.383160169808074,-7.19201579961,-4.484571396664079,-4.041376153110414,-3.6611994423337824,-5.15995721132585,-2.8961721563169336,-4.14182832891291,-4.005925798309622,-3.6066183923864745,-3.2052713849301404,-4.826925030146159,-2.4306806478767307,-3.6964476108551025,-16.15909534416793,-14.293082397996047,-12.520318745723106,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-3.0302982671150356,-1.816102542856563,-0.5732185165846384,-3.1444935335554764,-0.40937278476735434,-0.7572272434890415,-7.166296702862482,-6.313135437078037,-5.2436941719571974,-8.136964671894043,-4.403370675926943,-7.10599819097,-4.423098514694229,-3.991532198740163,-3.6208165766286093,-5.17978458396452,-2.912795791709973,-4.110059530084785,-3.981761314871044,-3.5848626048856507,-3.1859365966197895,-4.765222856005107,-2.4901234493028124,-3.7697138309478753,-15.838877980802183,-14.003743026984445,-12.252317425494638,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-3.0004334359787603,-1.7990017629378607,-0.5734396170056203,-3.148725717918756,-0.3983630178697517,-0.7518496647536901,-7.085207979119199,-6.244103995302926,-5.188570375368182,-8.079324551707481,-4.356674362457338,-7.04884410771,-4.379849036851091,-3.9579292843273297,-3.5942136682195738,-5.065983277102447,-2.8008995226830096,-4.069244558160955,-3.9621411633770593,-3.567198174039359,-3.170237875944983,-4.781778667306876,-2.3974236199458376,-3.89201683998108,-15.673554277948712,-13.85960810502895,-12.132366248817874,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-2.9684352753955867,-1.7829073624106773,-0.5735615048898591,-3.120744253404237,-0.4250244964172666,-0.7464302197158481,-7.01624182704989,-6.186924304392443,-5.144189627451505,-8.032344737032965,-4.297866340586931,-6.9647086707,-4.344126397220592,-3.9334156029743323,-3.5772547273031536,-4.9928229364832495,-2.950086107590852,-3.986545354669745,-3.988607719424861,-3.591026565435278,-3.1914146273449884,-4.811196574659883,-2.460778107015574,-4.005975580215455,-15.616006132592743,-13.824425628095714,-12.105986588641608,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-2.935730856205607,-1.7673802823734595,-0.5763166026328559,-3.0465050416025834,-0.4425170965846848,-0.740978254383817,-6.948564857757897,-6.13118170529643,-5.101114857182416,-7.877654056717059,-4.285394905776764,-6.86514507207,-4.315607413836861,-3.914815147628525,-3.5671412998498035,-4.868793688898545,-2.9944865743638736,-3.965610296075995,-3.973122285874029,-3.577084707230596,-3.1790242288346944,-4.694676353041686,-2.4741017390396483,-4.084479761123657,-15.430932626752433,-13.659865100883719,-11.963795737791234,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-2.9031181374685526,-1.7517753480463214,-0.5784158396845185,-2.978003193186522,-0.44780096087852783,-0.7355258122146275,-6.867427091031517,-6.062424160271718,-5.049243102249173,-7.743727602932206,-4.262228753455854,-6.78516536626,-4.268469947225148,-3.880723076242276,-3.535966829960209,-4.838359633502686,-2.9884922081769245,-3.9195184534246272,-3.9424372504766976,-3.5494583310551446,-3.1544721350475013,-4.839399758833427,-2.3436358626037954,-4.1820330142974855,-15.45581964316084,-13.711223846931139,-12.030950754285296,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-2.8718683462650616,-1.7363883183184192,-0.5794707841742361,-3.0167535150425526,-0.42966617436330856,-0.7300945416152622,-6.790208950626913,-5.996165768932074,-4.995357298688179,-7.678287268336167,-4.26150048929978,-6.7199607459,-4.249231357661894,-3.867147266629785,-3.527478918445519,-4.868480533392454,-2.9570751586577098,-3.8829637354070488,-3.9093618339084264,-3.519679844948061,-3.1280074196212544,-4.664299005718054,-2.3628212531225703,-4.245766305923461,-15.33649896474336,-13.617824669762452,-11.961470151518423,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-2.8407230911402044,-1.7205303904890556,-0.5787224442146635,-2.9744884119094057,-0.4487806312988486,-0.7246861591994909,-6.726358664173556,-5.94238848159873,-4.954166274678487,-7.720355109060831,-4.087350481463292,-6.64097972783,-4.23109207790895,-3.852857900504622,-3.516733164920869,-4.724386243528863,-2.9716596116126985,-3.8119527643377134,-3.9432385836596144,-3.5501797880020405,-3.1551133077627034,-4.696080668999491,-2.3011322098500155,-4.304152536392211,-15.195173154591613,-13.48806114643616,-11.849312057335686,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-2.8100950483424922,-1.706464998470164,-0.5792116119388069,-2.9523381666589787,-0.44776122891203757,-0.719240202015653,-6.654704750327558,-5.881056903790172,-4.907563908688723,-7.54697110008394,-4.08690818638209,-6.56629558477,-4.179343252386512,-3.808580951519694,-3.4794161997165887,-4.65495881908659,-2.9966177322109844,-3.7546384638006036,-3.956792630706556,-3.5623827787292766,-3.1659583411799197,-4.769548599828552,-2.414765061681724,-4.4123697757720945,-14.978608001372244,-13.291130319475268,-11.678768002036469,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-2.7789694198894517,-1.6918481984220937,-0.5793914900429256,-2.9073047056394348,-0.4126561755477931,-0.713820756977811,-6.588394772315226,-5.8259686625255025,-4.864729398400874,-7.4797647161252225,-4.096691840825494,-6.4967437354,-4.124454371087168,-3.762312636164779,-3.4381460693181145,-4.437531209461061,-3.117853864960445,-3.709659749811346,-3.93025245856603,-3.5384881092325235,-3.1447226871523175,-4.642281321592184,-2.4077233601411345,-4.497396707534791,-14.776617819833158,-13.10925193287674,-11.523842031663778,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L35 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L35.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
