marker,specie,horizon,metric,value,note
VL,CO2,2100,n_draws,2000.0,
VL,CO2,2100,n_bifurcation,4.0,"never crosses at base, crosses under pulse"
VL,CO2,2100,n_quantization,60.0,"crosses in both, integer year count differs"
VL,CO2,2100,p_fired,0.032,
VL,CO2,2100,ais_mean_cm,0.0618547411091054,
VL,CO2,2100,ais_median_cm,0.007524337181203045,
VL,CO2,2100,ais_smooth_term_cm,0.007853802318958516,P(smooth)*E[d|smooth]
VL,CO2,2100,ais_premium_cm,0.0540009387901469,P(fired)*E[d|fired]
VL,CO2,2100,ais_cond_mean_fired_cm,1.6875293371920905,
VL,CO2,2100,ais_median_smooth_cm,0.007409957329945982,
VL,CO2,2100,total_mean_cm,0.13214031602535692,
VL,CO2,2100,total_median_cm,0.07546188225408912,
VL,CO2,2100,n_cross_both,188.0,
VL,CO2,2100,mean_dn_years_int,0.055,what the annual step charges
VL,CO2,2100,mean_dtime_above_yr,0.05294328635982143,what a sub-annual solver would charge
VL,CO2,2100,quantization_bias_yr,0.0020567136401785716,
VL,CO2,2100,quantization_bias_ratio,1.0388474872186892,
VL,CO2,2100,sd_dn_years_int,0.39121800286142466,
VL,CO2,2100,sd_dtime_above_yr,0.3546323744709395,
VL,CO2,2100,mean_dt_firstcross_yr,0.32971242511161486,entry side only; understates on peak-and-decline
VL,CO2,2150,n_draws,2000.0,
VL,CO2,2150,n_bifurcation,3.0,"never crosses at base, crosses under pulse"
VL,CO2,2150,n_quantization,81.0,"crosses in both, integer year count differs"
VL,CO2,2150,p_fired,0.042,
VL,CO2,2150,ais_mean_cm,0.1014704539932737,
VL,CO2,2150,ais_median_cm,0.012561827443463347,
VL,CO2,2150,ais_smooth_term_cm,0.01312254427941035,P(smooth)*E[d|smooth]
VL,CO2,2150,ais_premium_cm,0.08834790971386335,P(fired)*E[d|fired]
VL,CO2,2150,ais_cond_mean_fired_cm,2.103521659853889,
VL,CO2,2150,ais_median_smooth_cm,0.012296694142748699,
VL,CO2,2150,total_mean_cm,0.19257087100570608,
VL,CO2,2150,total_median_cm,0.10091511079845361,
VL,CO2,2150,n_cross_both,190.0,
VL,CO2,2150,mean_dn_years_int,0.0915,what the annual step charges
VL,CO2,2150,mean_dtime_above_yr,0.08922971272742072,what a sub-annual solver would charge
VL,CO2,2150,quantization_bias_yr,0.0022702872725792744,
VL,CO2,2150,quantization_bias_ratio,1.025443175856842,
VL,CO2,2150,sd_dn_years_int,0.5977511214557454,
VL,CO2,2150,sd_dtime_above_yr,0.5770429582384511,
VL,CO2,2150,mean_dt_firstcross_yr,0.49122654892583006,entry side only; understates on peak-and-decline
VL,CO2,2300,n_draws,2000.0,
VL,CO2,2300,n_bifurcation,3.0,"never crosses at base, crosses under pulse"
VL,CO2,2300,n_quantization,124.0,"crosses in both, integer year count differs"
VL,CO2,2300,p_fired,0.0635,
