marker,decline,block,first_bind_year,frac_proj_clamped,ever_binds_hindcast,in_hindcast_scope,binds_hindcast_in_scope,H2300_med_cm
vvVL,True,R19,2025.0,0.011317689530685921,True,False,False,0.0
vvVL,True,SLOWP,,0.0,True,True,True,0.0
vvVL,True,FAST,,0.0,True,True,True,0.0
vvVL,True,TOTAL,2100.0,,True,,,0.0
vvVL,True,TOTAL,2150.0,,True,,,0.0
vvVL,True,TOTAL,2300.0,,True,,,0.0
vvLN,True,R19,2025.0,0.19970216606498195,True,False,False,0.1498520523587496
vvLN,True,SLOWP,2213.0,0.08155234657039712,True,True,True,0.0
vvLN,True,FAST,2178.0,0.3684025270758123,True,True,True,1.3275336644694637
vvLN,True,TOTAL,2100.0,,True,,,0.0
vvLN,True,TOTAL,2150.0,,True,,,0.0
vvLN,True,TOTAL,2300.0,,True,,,2.1410865736084834
vvL,False,R19,2025.0,0.010216606498194947,True,False,False,0.0
vvL,False,SLOWP,,0.0,True,True,True,0.0
vvL,False,FAST,,0.0,True,True,True,0.0
vvL,False,TOTAL,2100.0,,True,,,0.0
vvL,False,TOTAL,2150.0,,True,,,0.0
vvL,False,TOTAL,2300.0,,True,,,0.0
vvML,True,R19,2025.0,0.1002346570397112,True,False,False,0.0315296141869794
vvML,True,SLOWP,2243.0,0.05038808664259928,True,True,True,0.0
vvML,True,FAST,2198.0,0.29287003610108303,True,True,True,1.5816958607664389
vvML,True,TOTAL,2100.0,,True,,,0.0
vvML,True,TOTAL,2150.0,,True,,,0.0
vvML,True,TOTAL,2300.0,,True,,,2.2327701746367428
vvM,False,R19,2025.0,0.00036101083032490973,True,False,False,0.0
vvM,False,SLOWP,,0.0,True,True,True,0.0
vvM,False,FAST,,0.0,True,True,True,0.0
vvM,False,TOTAL,2100.0,,True,,,0.0
vvM,False,TOTAL,2150.0,,True,,,0.0
vvM,False,TOTAL,2300.0,,True,,,0.0
vvHL,True,R19,2025.0,0.00832129963898917,True,False,False,0.0
vvHL,True,SLOWP,,0.0,True,True,True,0.0
vvHL,True,FAST,2199.0,0.20958483754512636,True,True,True,0.31553524675667843
vvHL,True,TOTAL,2100.0,,True,,,0.0
vvHL,True,TOTAL,2150.0,,True,,,0.0
vvHL,True,TOTAL,2300.0,,True,,,0.32456453220005077
vvH,False,R19,2025.0,0.0003339350180505415,True,False,False,0.0
vvH,False,SLOWP,,0.0,True,True,True,0.0
vvH,False,FAST,,0.0,True,True,True,0.0
vvH,False,TOTAL,2100.0,,True,,,0.0
vvH,False,TOTAL,2150.0,,True,,,0.0
vvH,False,TOTAL,2300.0,,True,,,0.0
