year,driver_K,eq_cm,fast_cm,slow_cm,sea_level_cm,eq_m,fast_m,slow_m,sea_level_m
1850,0.358289593435,63.161680453071803,45.356064866994934,12.59414533189392,57.950210198888854,0.631616804530718,0.45356064866994933,0.12594145331893919,0.57950210198888852
1851,0.81694199051500005,64.665152183747978,45.39028643737695,12.59701918210633,57.98730561948328,0.64665152183747976,0.45390286437376948,0.12597019182106328,0.57987305619483276
1852,0.88324036309599996,64.882479575035944,45.440902461601098,12.605443814518814,58.046346276119912,0.64882479575035945,0.45440902461601096,0.12605443814518813,0.58046346276119909
1853,0.089865225352000005,62.281780006008361,45.493683476261019,12.614794705952427,58.108478182213446,0.62281780006008358,0.45493683476261021,0.12614794705952426,0.58108478182213441
1854,-0.180279875146,61.396238963673909,45.518490170413507,12.615381364068945,58.133871534482452,0.6139623896367391,0.45518490170413506,0.12615381364068945,0.58133871534482451
1855,-0.24783254331599999,61.174799966359288,45.535874807763307,12.615381364796619,58.151256172559926,0.61174799966359283,0.45535874807763305,0.12615381364796618,0.58151256172559929
1856,1.482906391098,66.848196808147065,45.551501300309262,12.615381365476175,58.166882665785437,0.66848196808147065,0.45551501300309261,0.12615381365476175,0.58166882665785435
1857,0.12530472504000001,62.397951394775625,45.629934234430571,12.635460716808417,58.265394951238989,0.62397951394775619,0.45629934234430569,0.12635460716808417,0.58265394951238991
1858,0.044752084993999998,62.133898229652033,45.654718402014367,12.636282436296725,58.291000838311092,0.62133898229652029,0.45654718402014366,0.12636282436296725,0.58291000838311091
1859,-0.589589511382,60.05451378989958,45.677032481663552,12.636558006057761,58.313590487721314,0.60054513789899577,0.45677032481663554,0.1263655800605776,0.58313590487721312
1860,0.350195387026,63.135147482578972,45.684584050582963,12.636558006472669,58.321142057055631,0.63135147482578968,0.4568458405058296,0.12636558006472667,0.5832114205705563
1861,-0.63986607826399999,59.889706198129048,45.715789299978958,12.639247469356626,58.355036769335584,0.59889706198129045,0.45715789299978959,0.12639247469356626,0.58355036769335589
1862,-1.0187326627969999,58.647773956698181,45.722219988425543,12.639247469733029,58.361467458158572,0.58647773956698179,0.45722219988425544,0.12639247469733028,0.58361467458158567
1863,-2.3451690624260002,54.299688909986322,45.723024598495797,12.639247469839532,58.362272068335329,0.54299688909986321,0.45723024598495798,0.12639247469839532,0.5836227206833533
1864,0.239999720232,62.7739238829149,45.720756506700859,12.63924746900107,58.360003975701929,0.62773923882914895,0.4572075650670086,0.12639247469001069,0.58360003975701924
1865,-0.59336134073900004,60.042149657830741,45.748225003508303,12.640952953295049,58.389177956803351,0.60042149657830746,0.45748225003508303,0.12640952953295048,0.58389177956803351
1866,-1.5343061064879999,56.957713896810205,45.755302672003978,12.640952953702872,58.39625562570685,0.56957713896810203,0.45755302672003978,0.12640952953702872,0.5839625562570685
1867,0.26783864087699999,62.865180421567622,45.751764067123901,12.640952953440369,58.39271702056427,0.62865180421567624,0.45751764067123901,0.12640952953440368,0.58392717020564266
1868,-0.87715371663300001,59.111872573802692,45.779831224464289,12.642890538629402,58.422721763093691,0.59111872573802693,0.4577983122446429,0.12642890538629403,0.58422721763093688
1869,-0.50436550149299997,60.33387979879592,45.782198856374954,12.642890538833115,58.425089395208069,0.6033387979879592,0.45782198856374956,0.12642890538833115,0.58425089395208074
1870,0.30290427820600002,62.980126282044836,45.790745523973719,12.642890539302407,58.433636063276126,0.62980126282044835,0.45790745523973719,0.12642890539302407,0.58433636063276129
1871,0.648498788986,64.112992000271888,45.819576473791699,12.64513109611427,58.464707569905968,0.64112992000271884,0.45819576473791701,0.1264513109611427,0.58464707569905972
1872,1.3037841675490001,66.261030576908979,45.859753553705467,12.651047032110931,58.510800585816398,0.66261030576908975,0.45859753553705468,0.12651047032110932,0.58510800585816403
1873,-0.0048955395880000002,61.971152323319743,45.926233330441171,12.667194071255963,58.593427401697134,0.61971152323319745,0.45926233330441169,0.12667194071255963,0.58593427401697129
1874,-0.078315768332000005,61.730479345092341,45.945192568207851,12.667194072056773,58.612386640264624,0.61730479345092337,0.45945192568207849,0.12667194072056773,0.58612386640264624
1875,0.76471746597500001,64.493959147815374,45.962131779548592,12.66719407280528,58.629325852353873,0.64493959147815372,0.45962131779548593,0.1266719407280528,0.58629325852353875
1876,0.53321528824300002,63.735090379166323,46.005234970965788,12.674498820182272,58.67973379114806,0.63735090379166326,0.46005234970965786,0.12674498820182273,0.58679733791148059
1877,0.52242724211500002,63.699726948197814,46.039704349981974,12.678942330392061,58.718646680374036,0.6369972694819781,0.46039704349981975,0.12678942330392062,0.58718646680374031
1878,1.1485368500449999,65.752126765184514,46.07350434938035,12.683251093569083,58.756755442949434,0.65752126765184515,0.46073504349380351,0.12683251093569084,0.58756755442949438
1879,0.73876560352700005,64.408888423673574,46.130824998938586,12.696314409313146,58.827139408251732,0.64408888423673571,0.46130824998938585,0.12696314409313147,0.58827139408251727
1880,0.37244416134800001,63.208079409781973,46.171366538655057,12.703122270435308,58.874488809090366,0.6320807940978197,0.46171366538655056,0.12703122270435308,0.58874488809090364
1881,0.162944839423,62.521336442525381,46.199185254059124,12.705848768347416,58.905034022406539,0.62521336442525377,0.46199185254059122,0.12705848768347416,0.58905034022406544
1882,-1.0686696486289999,58.484079518401167,46.220609417662097,12.706866738971421,58.927476156633517,0.58484079518401166,0.46220609417662095,0.1270686673897142,0.58927476156633518
