tag,draw,shift,ll_ais,ll_smb,ll
L14,1,-0.5,-275.35312833828993,-6.804997081327551,-282.1581254196175
L14,1,-0.48,-243.64334124322988,-6.776936395536578,-250.42027763876646
L14,1,-0.46,-216.575544062912,-6.749196787475618,-223.32474085038763
L14,1,-0.44,-187.18154886328455,-6.721779643468238,-193.90332850675279
L14,1,-0.42,-159.00973013071086,-6.694686354288976,-165.70441648499985
L14,1,-0.4,-131.97365141303845,-6.6679183151763235,-138.6415697282148
L14,1,-0.38,-105.94280028529488,-6.641476925846064,-112.58427721114094
L14,1,-0.36,-85.03331465122653,-6.615363590504363,-91.64867824173089
L14,1,-0.34,-61.28949686742317,-6.589579717861034,-67.8790765852842
L14,1,-0.32,-43.02016512078686,-6.56412672114292,-49.584291841929776
L14,1,-0.3,-21.59994174313863,-6.539006018107198,-28.138947761245827
L14,1,-0.28,-1.4934392059682864,-6.514219031054515,-8.007658237022802
L14,1,-0.26,17.345237112384126,-6.489767186842782,10.855469925541344
L14,1,-0.24,30.715320331068213,-6.465651916900386,24.24966841416783
L14,1,-0.22,47.17344966067522,-6.441874657239611,40.73157500343561
L14,1,-0.2,65.59506698329108,-6.445973198139444,59.149093785151635
L14,1,-0.18,79.97891226868839,-6.507453598059799,73.47145867062859
L14,1,-0.16,88.59975839379345,-6.513534522834188,82.08622387095926
L14,1,-0.14,95.43630483281476,-6.520046831597686,88.91625800121707
L14,1,-0.12,102.93590565731748,-6.498000891163297,96.43790476615418
L14,1,-0.1,107.35621554509805,-6.504962664723735,100.85125288037432
L14,1,-0.08,112.53345771379644,-6.483554319826446,106.04990339397
L14,1,-0.06,115.05888772462248,-6.490703707380457,108.56818401724202
L14,1,-0.04,118.00761301842464,-6.469923860486681,111.53768915793796
L14,1,-0.02,119.04807917780674,-6.477515482152166,112.57056369565457
L14,1,0.0,119.87748695900413,-6.457354714257441,113.4201322447467
L14,1,0.02,119.77305341648794,-6.465621873683167,113.30743154280478
L14,1,0.04,119.29000198305079,-6.474105265706857,112.81589671734393
L14,1,0.06,117.61499260745104,-6.4548958885555425,111.1600967188955
L14,1,0.08,114.58216391815114,-6.43594562951421,108.14621828863693
L14,1,0.1,115.40892316173529,-6.473393252337692,108.9355299093976
L14,1,0.12,113.935780344873,-6.4834417774606505,107.45233856741234
L14,1,0.14,112.05197392703506,-6.494226730574577,105.55774719646048
L14,1,0.16,110.15964814298698,-6.534601246678944,103.62504689630804
L14,1,0.18,106.74581256280266,-6.517553310255771,100.22825925254688
L14,1,0.2,103.76684184480239,-6.529927197476487,97.2369146473259
L14,1,0.22,100.46884303437179,-6.572728997768142,93.89611403660365
L14,1,0.24,95.87080632888458,-6.5870341244640525,89.28377220442053
L14,1,0.26,90.61277407667876,-6.696478825470557,83.9162952512082
L14,1,0.28,84.49359513518093,-6.746931615558038,77.74666351962289
L14,1,0.3,79.73451148671847,-6.766455878303143,72.96805560841533
L14,2,-0.5,-196.68517180310593,-5.917487749988451,-202.60265955309438
L14,2,-0.48,-171.93248555195507,-5.9043164344308465,-177.83680198638592
L14,2,-0.46,-148.08709439443712,-5.891522447204969,-153.9786168416421
L14,2,-0.44,-125.84946664285243,-5.879107334234118,-131.72857397708654
L14,2,-0.42,-104.38078278184344,-5.867072646303623,-110.24785542814706
L14,2,-0.4,-84.39765196725276,-5.8554199390748405,-90.25307190632759
L14,2,-0.38,-65.05825975137219,-5.844150773099486,-70.90241052447168
L14,2,-0.36,-46.309382950572314,-5.833266713833795,-52.14264966440611
L14,2,-0.34,-28.208422233272813,-5.822769331652772,-34.031191564925585
L14,2,-0.32,-11.075830327968106,-5.812660201864557,-16.888490529832662
L14,2,-0.3,3.677379911530096,-5.802940904724688,-2.1255609931945916
L14,2,-0.28,20.10748056447825,-5.7936130254505995,14.313867539027651
L14,2,-0.26,32.73016274571569,-5.784678154235931,26.945484591479758
L14,2,-0.24,45.898217633644336,-5.776137886265159,40.122079747379175
L14,2,-0.22,56.21340586861611,-5.767993821727927,50.44541204688818
L14,2,-0.2,67.37291831839768,-5.760247565833722,61.61267075256396
L14,2,-0.18,77.54405314911259,-5.752900728826457,71.79115242028612
L14,2,-0.16,84.4959288646728,-5.745954925999052,78.74997393867375
L14,2,-0.14,92.54683281062974,-5.739411777708196,86.80742103292154
L14,2,-0.12,99.57230601995877,-5.7332729093889725,93.8390331105698
L14,2,-0.1,105.6011966914371,-5.727539951569735,99.87365673986736
L14,2,-0.08,110.41498602558896,-5.7222145398867905,104.69277148570217
L14,2,-0.06,117.13799929219005,-5.731934915820836,111.40606437636922
L14,2,-0.04,119.342248721439,-5.737233308315753,113.60501541312325
L14,2,-0.02,119.53454203933056,-5.731521782523351,113.80302025680722
L14,2,0.0,119.26563689626298,-5.731415521138329,113.53422137512464
L14,2,0.02,118.15092544517131,-5.731319643245296,112.41960580192601
L14,2,0.04,115.34321712055738,-5.7261018134925,109.61711530706488
L14,2,0.06,111.29670870776077,-5.7212390176653765,105.57546969009539
L14,2,0.08,107.92207005788569,-5.721236465456254,102.20083359242943
L14,2,0.1,104.14746802984325,-5.721241643174419,98.42622638666883
L14,2,0.12,97.31919376918805,-5.716831427830976,91.60236234135706
L14,2,0.14,92.55874360693531,-5.716918226343109,86.8418253805922
L14,2,0.16,87.57692055445858,-5.7170244251255244,81.85989612933305
L14,2,0.18,78.21137292641883,-5.713031342838785,72.49834158358004
L14,2,0.2,67.62957602325775,-5.709365215808462,61.920210807449294
L14,2,0.22,67.0131274916946,-5.713391809430346,61.299735682264256
