ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvM,glaciers,2100,fixed,2000,10.20353495450442,10.23202702772363,7.978188818735177,12.587775214383946,4.609586395648769,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,glaciers,2100,joint,2000,10.005335291301478,10.210820486229304,7.2823982351851315,13.944765253182084,6.662367017996952,1.4453285926663422,0.9805753923432736,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,glaciers,2150,fixed,2000,15.279397607820668,15.301248096043036,12.1052281017189,18.5166223614705,6.411394259751599,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,glaciers,2150,joint,2000,14.805812026864245,15.148700623685297,10.814554934543334,20.665276284986284,9.85072135044295,1.5364398056569684,0.9690049573214836,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,glaciers,2300,fixed,2000,22.12570087493439,22.203741228932792,17.65784655407188,26.730988015545538,9.073141461473657,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,glaciers,2300,joint,2000,21.414541245794236,21.642118786861015,15.528144579342134,28.26707246539095,12.738927886048815,1.4040261512664394,0.9678582100897057,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2100,fixed,2000,8.88517311720532,8.904026629990025,7.774233721468558,10.037813263827113,2.2635795423585545,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2100,joint,2000,8.664364008748949,9.029520832243408,6.7742162086060205,12.477451182015244,5.703234973409224,2.519564639405909,0.9751485868036951,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2150,fixed,2000,14.793889197230996,14.840497481502819,12.485887840712653,17.276036631937675,4.790148791225022,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2150,joint,2000,14.099760933437949,15.140516190504437,10.218370774002459,23.43818774982193,13.219816975819473,2.75979255592991,0.9530800687676525,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2300,fixed,2000,25.812612190095187,26.109471763677362,20.649617767523704,32.43049617176693,11.780878404243229,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,gis,2300,joint,2000,24.441116756214058,31.392664779540034,15.205089658790797,76.4340597992781,61.228970140487306,5.197317894261085,0.9468672359162704,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2100,fixed,2000,16.710685531893738,21.940203929761854,4.6272079676081335,58.402510514996465,53.77530254738833,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2100,joint,2000,12.755060729961713,22.421710468481926,4.132299857732259,65.33730122500961,61.205001367277355,1.1381619157482519,0.7632877002931816,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2150,fixed,2000,64.55843427760541,66.45055955770367,10.452511191946096,126.9889686837061,116.53645749176,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2150,joint,2000,60.07857045606079,62.04039083815592,7.569551882279238,138.08663900615772,130.5170871238785,1.1199678618436384,0.930607613526051,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2300,fixed,2000,219.71463740644626,223.20006576450552,111.15657527469615,349.21650453488775,238.0599292601916,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,ais,2300,joint,2000,211.60993944884865,206.4379051874412,20.201706712711562,361.60611531685385,341.4044086041423,1.4341111906783717,0.9631126171052279,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2100,fixed,2000,21.50268112799141,21.40986400668187,19.426395047645816,23.12966569739158,3.7032706497457646,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2100,joint,2000,21.15045234924257,21.408343055575973,14.809102285608255,28.74310959967743,13.934007314069177,3.762621917743379,0.9836193088363144,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvM,te,2150,fixed,2000,34.775333533671045,34.62522451554621,31.417448043691635,37.40658359584933,5.989135552157691,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L24 | ssp vvM | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
