scenario,quantity,window,units,rhat,ess,converged,pooled_median,pooled_p05,pooled_p95,med_range_over_sd_wc,n_chains,n_per_chain,med_seed2026,med_seed2027,med_seed2028,med_seed2029
ssp245,smb,anchored,Gt/yr,1.0119718655568617,923.3196415398056,true,1836.6764577458525,1644.9401095288385,2036.4002714451449,0.22892921291742793,4,500,1846.3151193024582,1829.669886588998,1848.4225124721527,1821.746203223873
ssp245,smb,unobserved,Gt/yr,1.070178682272685,40.401027911763606,false,1790.1892358966447,1490.2565717284551,2064.8714900491664,0.7916491289755629,4,500,1834.7615334826685,1765.1730561090762,1840.3023854013695,1708.8421460512018
ssp245,discharge,anchored,Gt/yr,1.0081635725736353,1027.225411488863,true,-1905.503233026197,-2106.859224092534,-1715.1523797157279,0.16860925321626083,4,500,-1911.5515198042922,-1900.6274365332856,-1913.794383084104,-1894.0475567266944
ssp245,discharge,unobserved,Gt/yr,1.0733469715272677,36.228606418797376,false,-2006.9724000437002,-2406.7644995880814,-1599.9444122756722,0.8802688900028414,4,500,-2098.64431942215,-1978.2933316888639,-2049.691984656855,-1895.7432000959138
ssp245,net,anchored,Gt/yr,1.0686179031930745,42.62666586973255,false,-69.01698591811453,-82.97107406979575,-54.94343675303443,0.6642710232229068,4,500,-66.33559997672364,-71.02549419052332,-67.15195327255663,-71.8183092569268
ssp245,net,unobserved,Gt/yr,1.0178924957087767,404.9094886054631,true,-228.05723613652958,-472.6300367267932,71.80507236476927,0.3828527596418194,4,500,-266.9222930025452,-214.96229645464223,-225.43310420621594,-204.44360382638
ssp245,ais_rate,anchored,mm/yr,1.036575473403552,100.64367457992658,true,0.16894144703355676,0.14646978511041273,0.19227077520514774,0.5759962780387018,4,500,0.16487380469852264,0.17211628501874993,0.16631133033117948,0.17328069206586036
ssp245,ais_rate,unobserved,mm/yr,1.027961911440149,145.3032578721816,true,6.930903670791808,0.5534307498297806,14.230763971564947,0.31597926073530797,4,500,6.8992238095847975,6.834433641101869,7.932626748837448,6.347874628952304
ssp585,smb,anchored,Gt/yr,1.0119718655568617,923.3196415398056,true,1836.6764577458525,1644.9401095288385,2036.4002714451449,0.22892921291742793,4,500,1846.3151193024582,1829.669886588998,1848.4225124721527,1821.746203223873
ssp585,smb,unobserved,Gt/yr,1.0290013610901672,121.13232707816937,true,1152.4430717542505,-451.89698837921947,2092.4384446999916,0.3889631962455265,4,500,1225.819631714903,1142.352011006667,1295.8114377633824,983.9770689879401
ssp585,discharge,anchored,Gt/yr,1.0081635725736353,1027.225411488863,true,-1905.503233026197,-2106.859224092534,-1715.1523797157279,0.16860925321626083,4,500,-1911.5515198042922,-1900.6274365332856,-1913.794383084104,-1894.0475567266944
ssp585,discharge,unobserved,Gt/yr,1.175942529294747,15.668508627120579,false,-2338.7018021743634,-3163.9335807678804,-1613.844382838807,1.329377122413999,4,500,-2556.7792280232943,-2218.8624619385605,-2510.4536093712213,-1984.8965602020107
ssp585,net,anchored,Gt/yr,1.0686179031930745,42.62666586973255,false,-69.01698591811453,-82.97107406979575,-54.94343675303443,0.6642710232229068,4,500,-66.33559997672364,-71.02549419052332,-67.15195327255663,-71.8183092569268
ssp585,net,unobserved,Gt/yr,1.0250117373585024,208.442743201478,true,-1202.051212440229,-2587.8317430156812,-416.67814642587314,0.35060779272416903,4,500,-1366.3124144887627,-1128.467316863116,-1217.8786976591477,-1126.9178626000246
ssp585,ais_rate,anchored,mm/yr,1.036575473403552,100.64367457992658,true,0.16894144703355676,0.14646978511041273,0.19227077520514774,0.5759962780387018,4,500,0.16487380469852264,0.17211628501874993,0.16631133033117948,0.17328069206586036
ssp585,ais_rate,unobserved,mm/yr,1.0261196017461118,152.81909738875848,true,12.439502217996782,7.619195984554348,18.33883149631644,0.4890811088842871,4,500,12.984408984694609,12.011638580038724,12.930796592909232,11.419787207996174
