param,prior_mean,MAP,prior_sigma,moved_sigmas
thermal_alpha,0.1600092262387788,0.16109286626824626,0.02892027327422819,0.037469909747814195
greenland_a,-0.15945482916714923,-0.1653510298722183,0.15790768571786729,-0.03733954226650996
greenland_b,6.536819237312317,6.718173406712683,0.29286972251332194,0.6192315403724161
greenland_alpha,0.0001354216722700262,0.00013785541317501077,0.0001388208864082601,0.017531518260351278
greenland_beta,0.0006308192569096692,0.0005835690222646074,0.0002071285390327309,-0.2281203491595875
greenland_v0,7.3638677905198,7.359526882830763,0.11573610148540578,-0.03750694583041764
anto_alpha,0.19420088066306393,0.18380998139713928,0.18773188652763884,-0.055349676914874295
anto_beta,0.8985057675116559,0.7144940593189565,0.5426104483140833,-0.33912304631146084
antarctic_s0,0.004265620424949669,0.004265620424949669,0.029870443150818465,0.0
antarctic_alpha,0.2196839882373174,0.1893128657684059,0.19520706601731894,-0.1555841347782819
antarctic_gamma,2.7942969591912563,2.7942969591912563,0.929134202724309,0.0
antarctic_mu,10.711604404976795,10.864293138316139,1.780038324379223,0.08577834041443659
antarctic_nu,0.009232790355554889,0.010681766905951316,0.0032077828587749784,0.4517065568926251
antarctic_kappa,0.06559502414787705,0.06526777253348576,0.013512932999193528,-0.02421765980863069
antarctic_precip0,0.8239193615011434,0.8239193615011434,0.33939842382952295,0.0
antarctic_flow0,1.2073536415741897,1.2005583247854201,0.33134415801243666,-0.020508334384197864
antarctic_runoff_height0,1578.1338146300116,1608.3956553125806,368.0491198958346,0.08222228785965795
antarctic_c,91.88807705800876,90.23219176763897,21.211020565646734,-0.07806721441077942
antarctic_bed_height0,779.4561716860422,779.9587453157998,22.813420813353765,0.022029735648559774
antarctic_slope,0.0006428725149150425,0.0006428725149150425,4.9790650760896867e-5,0.0
antarctic_lambda,0.010403796553025908,0.010403796553025908,0.0036400937870837463,0.0
antarctic_temp_threshold,-15.606366876305943,-15.606366876305943,0.4352167909848384,0.0
gic_a,0.45,0.38571428571428573,0.08,-0.8035714285714285
gic_b,0.52,0.5178571428571429,0.25,-0.008571428571428452
gic_T_lia,-0.45,-0.8714285714285714,0.3,-1.4047619047619049
gic_f,0.5,0.42857142857142855,0.3,-0.2380952380952382
gic_tau_fast,40.0,53.214285714285715,30.0,0.4404761904761905
gic_tau_slow,300.0,337.14285714285717,200.0,0.18571428571428583
ais_ocean_temperature₀,0.72,0.72,0.5,0.0
