rff_idx,cum_co2_2030,cum_co2_2100,cum_co2_2300,peak_co2_emissions,peak_co2_year,slope_co2_2050_2100,frac_negative_post_2050,cum_ch4_2100
1,664.6783060170495,3243.1823986636623,6540.711250060708,44.256733656193695,2038,-0.35858484447972694,0.0,32505.680247708566
2,664.285133237148,2855.3950932972107,5797.758772153548,43.25482819982522,2030,-0.2928331132037005,0.0,38454.14796407511
3,668.8536342719403,3936.394448616699,9841.436211800974,48.78117037967496,2055,-0.10715775890808425,0.0,31759.1497393066
4,642.5816422596959,1662.24198477953,1002.0053168041603,41.25840167736636,2023,-0.3246477872591763,0.7569721115537849,30113.30267974015
5,645.6564799189172,2006.6223036733763,2927.716652225378,41.337865632438664,2023,-0.303142517690867,0.0,39748.327868801716
6,655.1003081943056,2112.0107558156114,794.9729306676163,41.84850087141934,2026,-0.6665248011981331,0.8007968127490039,42709.155962650184
7,637.8474626924252,1743.045327272457,2817.9500420566224,41.13666601151642,2022,0.001097881816443782,0.0,23807.255191223496
8,657.3538318348144,2812.8408535452713,3316.415878468163,42.274667485649395,2030,-0.46093019836354987,0.30278884462151395,26231.946779385806
9,649.9232491919697,2107.452126866743,3149.2114075658324,41.577398290071244,2024,-0.29823106135783245,0.0,25055.245746238088
10,637.116584491317,1656.854517925941,2301.6847439365342,41.050943022374895,2022,-0.1123422142529236,0.0,32119.34017181812
11,688.8627624146511,5213.768051835409,15529.760647659363,77.6301562959398,2105,0.40329920164794697,0.0,34486.87267802523
12,672.4136527671228,4700.372664033907,13761.925048493446,65.54277567468424,2080,0.1778857286230466,0.0,12911.020770753923
13,662.5489371232595,3180.3975435140164,5438.56027584484,43.743145348626626,2035,-0.3343982465919307,0.0,17232.687730666916
14,635.5396928297453,1119.7782220780575,-263.793827197783,41.12333958493846,2022,-0.30484713508128747,0.9043824701195219,50870.314235661695
15,639.1932867391035,1301.8585396581998,596.8378886562256,41.17308991341201,2023,-0.32052476430710375,0.8605577689243028,34412.67086180804
16,663.4436209158079,4040.766463437478,11474.6641310291,51.78582766175481,2065,-0.11895171528586602,0.0,21140.03426750658
17,633.599969543514,796.4387752276473,-3320.2657258378335,40.9861675473863,2022,-0.6276636768748577,0.9362549800796812,25737.431928388225
18,632.6188719069394,1166.1618695742134,874.9182166076514,41.041680731129055,2022,-0.13300293701650162,0.796812749003984,34583.98804860108
19,664.3555570048627,3236.202860333256,6402.46974521897,42.97897578585369,2027,-0.3105749169424837,0.0,15847.300750260327
20,657.8278466866882,2743.2340887981413,5817.112868159226,42.20140768432713,2026,-0.0510145499410175,0.0,42178.93821896029
21,633.9914866883147,1282.1976024689743,1491.1867034069871,41.09415901239007,2022,-0.13608203523357323,0.0,49949.74626655279
22,650.3855896910686,2066.826598369386,2345.715860066691,41.436761262529195,2024,-0.44882649745235603,0.16733067729083664,52832.433767091075
23,645.7630888600147,1990.5980016448764,1332.6452651514453,41.361687208904364,2024,-0.3848142374282826,0.649402390438247,49265.40123090007
24,640.2605151380801,1354.6062986457212,191.94375384835826,41.19853914820939,2023,-0.3456447375579282,0.848605577689243,39549.97971935334
25,654.133459830503,2351.0101052016635,2902.299231499017,41.74740962200693,2026,-0.44804026076572595,0.0398406374501992,41102.02903417464
26,661.5469242176848,3377.27180938334,6615.6883043675425,45.31564950875252,2047,-0.4247340230432091,0.0,14409.826393158612
27,647.9765043382015,2090.402466145532,3290.6859410746288,41.4749031381113,2024,-0.29437965461126964,0.0,20554.20181914519
28,646.201403206913,1853.828635310043,927.5724589314357,41.30156748632512,2023,-0.44098709632763866,0.7729083665338645,26614.6369478982
29,659.0528653920044,3245.6585328351352,6830.192594540684,44.28093121714028,2040,-0.3973876405116146,0.0,21721.91167985573
30,652.4578641715641,2550.2071742501084,3446.8114144850533,41.819719742096055,2025,-0.3599695093043801,0.20717131474103587,28164.312330529363
31,667.8828053304655,2937.37042631177,6016.698234142663,43.98724431484901,2030,-0.24742122098919056,0.0,47534.34139979134
32,656.8612802905595,2931.8964371675333,5950.8204338645855,42.07326159472877,2028,-0.33156559307587663,0.0,29790.81432844873
33,649.3761456200448,1942.2718009266139,1112.827904664971,41.439679083527814,2024,-0.4547311567810207,0.6932270916334662,25055.861211780302
34,645.3582855279542,1760.855176506038,2110.815131317262,41.37984006384501,2023,-0.2906352974715443,0.13545816733067728,12982.848050009461
35,645.3096367283331,1602.77877508301,1096.7920858286188,41.38523007074678,2023,-0.38663966080706275,0.8007968127490039,15140.003379225727
36,646.2943452340105,2277.6895333251055,3813.5625721131582,41.39338905234886,2024,-0.18482592310688142,0.0,30692.673519139782
37,659.4036421066181,3764.5563698893307,8143.51016652098,47.83175540245141,2055,-0.20687761964452847,0.0,37391.81101560503
38,657.6938079167539,2821.7421409425056,3311.9173718856296,42.34443181827037,2030,-0.468578015975789,0.28286852589641437,26241.61725150038
39,669.6165612497665,4234.555699878842,10388.311242341922,54.20802653926046,2057,-0.16196094651904017,0.0,29947.02527148902
40,634.3656189693785,1308.63872920748,1588.3040479812532,41.09327109769917,2022,-0.11659327519977351,0.0,43735.72404894409
41,643.9000378463777,2140.1894196281905,1528.4724178155384,41.00667773931541,2023,-0.4493727447523436,0.7370517928286853,15155.114496037173
42,655.9704838320592,2755.0595390332583,4219.881610555669,42.05264912797829,2025,-0.31320564849507787,0.02390438247011952,36219.24842671255
43,648.4021071769728,2034.683184141021,1979.9976009369727,41.72020186997781,2024,-0.20071779672075887,0.44223107569721115,27926.20846240921
44,660.3728940024937,2534.5030128555923,3956.6409582752785,42.515546553884526,2028,-0.35583958879995603,0.0,26316.238195967486
45,640.0745624950766,1779.3077251993861,2691.344226997717,41.20865697875677,2023,-0.08320573358748601,0.0,28122.05261518662
46,665.6253672327789,2914.922915136151,5480.789723567808,43.99360338943159,2036,-0.30966588498656633,0.0,22329.978245680682
47,640.7280345931368,1767.505993345077,2551.8276730151447,41.14577137241113,2023,-0.18730878270335483,0.0,22241.585644427596
48,661.2199290521437,3381.6346754404804,6776.164102811602,45.66498848910239,2044,-0.2263193335947222,0.0,25900.500950417158
49,653.0065562372761,2121.497806421926,2591.65650019925,41.652083443561175,2025,-0.46855424789714206,0.10756972111553785,28971.108207131798
