component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8333333333333334,0.9603174603174603,-0.07144522302964784,true
glaciers,124,0.7096774193548387,1.0,0.05546861342426947,true
gis,126,0.3412698412698413,0.9126984126984127,-0.14701351802817836,true
te,126,0.40476190476190477,0.9841269841269841,0.26413044101646355,true
total,125,0.824,NaN,0.1755388480521352,false
