window,series,sigma_offset_cm,closure
1900-1930,ais,0.05841725834281095,on
1900-1930,gsic,0.2354569960902263,on
1900-1930,gis,0.061532236097140425,on
1900-1930,steric,0.21264006303071395,on
1900-1930,dang,0.5653590319937043,on
1900-1930,dang,0.42349556174637143,off
1942-1982,ais,0.02104913354043146,on
1942-1982,gsic,0.12175142952134048,on
1942-1982,gis,0.025793251041464463,on
1942-1982,steric,0.12558368413837787,on
1942-1982,dang,0.323360095278072,on
1942-1982,dang,0.26873438741695543,off
1950-1980,ais,0.023332207942485264,on
1950-1980,gsic,0.12481559761590028,on
1950-1980,gis,0.028832438663586285,on
1950-1980,steric,0.11764148744354412,on
1950-1980,dang,0.3563589499515969,on
1950-1980,dang,0.29858045961082524,off
1993-2018,ais,0.014178815573030874,on
1993-2018,gsic,0.06944961817157363,on
1993-2018,gis,0.015577608285765602,on
1993-2018,steric,0.08233797613573178,on
1993-2018,dang,0.23794800916656395,on
1993-2018,dang,0.17976041253794556,off
2000-2024,ais,0.013843491707269468,on
2000-2024,gsic,0.07218942063904284,on
2000-2024,gis,0.01572173021973826,on
2000-2024,steric,0.06865279585174314,on
2000-2024,dang,0.2318000043346396,on
2000-2024,dang,0.17291299461843543,off
