param,value,prior_lo,prior_hi,search_lo,search_hi
greenland_a,-1.010503953834781,-0.761,-0.003,-3.0,-0.001
greenland_b,8.987579941007724,5.908,7.042,3.0,9.0
greenland_α,0.00017044840622467783,1.415e-6,0.0006381,1.0e-6,0.01
greenland_β,0.00017418420493520986,0.0002776,0.0009915,1.0e-6,0.01
greenland_v₀,9.978487458657934,7.164,7.556,5.0,12.0
