year,ssp_label,p05,p50,p95
2000,SSP1-1.9,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP1-1.9,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP1-1.9,4.771729493408131,4.94931027025729,5.173935711635793
2030,SSP1-1.9,8.659481736387022,8.99382146221934,9.425136375134896
2040,SSP1-1.9,12.510328602057104,13.01895852480294,13.67983362602773
2050,SSP1-1.9,16.023721776591923,16.710687490354992,17.611021489702825
2060,SSP1-1.9,19.31000955009417,20.176987491332433,21.303515100932596
2070,SSP1-1.9,22.32236661194018,23.361900540948838,24.706700195400977
2080,SSP1-1.9,25.065441551526614,26.2807542679709,27.83349664883683
2090,SSP1-1.9,27.53804454837675,28.916678498321275,30.673084969214205
2100,SSP1-1.9,29.898054500223516,31.440216782581064,33.38853034076583
2000,SSP1-2.6,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP1-2.6,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP1-2.6,4.736617007686746,4.914125693122565,5.138596723540433
2030,SSP1-2.6,8.521034937105558,8.854394394729496,9.283793833031902
2040,SSP1-2.6,12.424629840246999,12.938876786509502,13.606190824554025
2050,SSP1-2.6,16.240216000845702,16.97163324889126,18.192943161612718
2060,SSP1-2.6,19.8811602774177,20.84229192718925,24.49085166266928
2070,SSP1-2.6,23.34314341571687,24.541997498775885,40.823457131658564
2080,SSP1-2.6,26.57501138359566,27.99558971341196,56.85231329615218
2090,SSP1-2.6,29.59519857332896,31.23165529149233,72.47496581899858
2100,SSP1-2.6,32.40448240640195,34.25839106216063,83.1829223606553
2000,SSP2-4.5,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP2-4.5,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP2-4.5,4.732521192061214,4.909346353663233,5.133350029138492
2030,SSP2-4.5,8.50548284961579,8.834468853610673,9.257126989050859
2040,SSP2-4.5,12.379796674774408,12.884135324381425,13.536196495090733
2050,SSP2-4.5,16.485160172598363,17.244706981589452,20.42720328089249
2060,SSP2-4.5,20.735620980214257,21.88292927860567,37.55959759392308
2070,SSP2-4.5,25.268758528050295,27.40917578991393,54.84190954973868
2080,SSP2-4.5,29.806301069209567,40.715955396144665,71.98893265433446
2090,SSP2-4.5,34.64625004661056,58.06254645617745,89.19643748086217
2100,SSP2-4.5,39.59378671122491,75.36327084537982,106.42048473967749
2000,SSP4-6.0,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP4-6.0,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP4-6.0,4.754814256961204,4.930743456416117,5.153798614160746
2030,SSP4-6.0,8.413948691717078,8.739306255872226,9.15576018815955
2040,SSP4-6.0,12.267977663747175,12.768332901683685,13.414949679063836
2050,SSP4-6.0,16.466099586097513,17.2382737045318,21.519087904936175
2060,SSP4-6.0,21.08089060084888,22.392369083514176,39.012919376159665
2070,SSP4-6.0,26.100912572638666,32.73799191089753,56.66918504538113
2080,SSP4-6.0,31.706478513677656,50.52905629287043,74.39271939513463
2090,SSP4-6.0,39.44337409015934,68.63780166170463,92.46015700237139
2100,SSP4-6.0,56.82577161630913,86.70042830614503,110.55412613329653
2000,SSP3-7.0,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP3-7.0,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP3-7.0,4.745272945915056,4.921008363755362,5.1437429889517
2030,SSP3-7.0,8.321642489181029,8.643217228195244,9.055056962607425
2040,SSP3-7.0,12.125627989031305,12.617786181509175,13.253539578542252
2050,SSP3-7.0,16.32669269406172,17.075974659051226,20.187631929898195
2060,SSP3-7.0,20.79813267811791,22.07805018786718,37.49738610016157
2070,SSP3-7.0,26.01752485251112,33.49208115765674,55.29838866684065
2080,SSP3-7.0,32.69249635113721,51.75345369881094,73.42439515490912
2090,SSP3-7.0,49.49511548848078,70.38447344669075,92.00309495671591
2100,SSP3-7.0,68.47096131287267,89.4181052714109,111.06604470856841
2000,SSP5-8.5,-1.4171692781009622,-1.3576625694945916,-1.3107319443011505
2010,SSP5-8.5,1.542072929193973,1.595288464474741,1.662807318827062
2020,SSP5-8.5,4.710498302584208,4.888318109615334,5.113209513215763
2030,SSP5-8.5,8.609673571350264,8.946752817485386,9.38182229376776
2040,SSP5-8.5,12.839979755915449,13.402543309576696,14.457568862492755
2050,SSP5-8.5,17.739009575809728,18.877702957546134,31.559444615626138
2060,SSP5-8.5,23.583412165320716,33.589849274328344,49.78831461011109
2070,SSP5-8.5,35.5712933831343,52.595885084928014,68.72432705005247
2080,SSP5-8.5,55.17884806140563,72.14860340107043,88.29570555379068
2090,SSP5-8.5,75.46784918823388,92.45992847140641,108.54684293798503
2100,SSP5-8.5,96.31547811444806,113.35402005344554,129.5529941915077
