window,n_years,sum5_accel,sum4_accel,dang_accel,dang_over_sum5,dang_minus_sum5
1993-2018,25,0.007188563,0.005263627,0.013350320,1.857161205,0.006161757
1998-2023,25,0.000372099,0.001192669,0.007167574,19.262522406,0.006795475
1993-2023,30,0.003533238,0.003520085,0.009734840,2.755217887,0.006201602
