ssp,component,label,mengel,brickf,delta
SSP1-2.6,ais,Antarctic,6.31462806382525,4.88461966224164,-1.4300084015836099
SSP1-2.6,gsic,Glaciers,5.919732906476639,8.541653186380898,2.621920279904259
SSP1-2.6,gis,Greenland,6.791969080531611,6.63303983556305,-0.15892924496856065
SSP1-2.6,te,Thermal expansion,14.084997808194233,13.183273438353256,-0.9017243698409771
SSP1-2.6,lws,Land water storage,2.596380650083528,2.596380650083528,0.0
SSP1-2.6,total,TOTAL,35.91782571038006,35.909589090946376,-0.00823661943368137
SSP2-4.5,ais,Antarctic,43.05417586126362,11.738962042573997,-31.315213818689628
SSP2-4.5,gsic,Glaciers,6.270734519493066,10.557600454298743,4.286865934805677
SSP2-4.5,gis,Greenland,7.416791047449118,7.265904303157058,-0.15088674429206073
SSP2-4.5,te,Thermal expansion,18.45358608667473,17.272183823648984,-1.1814022630257455
SSP2-4.5,lws,Land water storage,2.596380650083528,2.596380650083528,0.0
SSP2-4.5,total,TOTAL,78.02288014194411,49.48064218315897,-28.542237958785144
SSP5-8.5,ais,Antarctic,70.76632693613124,45.77839622726028,-24.987930708870955
SSP5-8.5,gsic,Glaciers,6.626440514282628,14.688240654354496,8.061800140071869
SSP5-8.5,gis,Greenland,8.908078197822512,8.797453429907428,-0.11062476791508402
SSP5-8.5,te,Thermal expansion,27.68229960617935,25.910073262373366,-1.7722263438059827
SSP5-8.5,lws,Land water storage,2.596380650083528,2.596380650083528,0.0
SSP5-8.5,total,TOTAL,116.84758127562148,97.75414135246676,-19.09343992315472
