tag,k,rate_scale,leq_585_2300_m,g4_2100_cm,m2300_SSP1-2.6,m2300_SSP2-4.5,m2300_SSP5-8.5,in_band_SSP1-2.6,in_band_SSP2-4.5,in_band_SSP5-8.5,g4_rel_to_k1,keeps_2100,all_pass,ratio_585_over_245
L12,1.0,1.0098115149111582,0.5390986779284844,8.067567299094108,0.09179890893615683,0.17196595249228305,0.4688807326378895,True,True,True,1.0,True,True,2.72659050144784
L12,1.5,0.48627580611751287,0.8086480168927266,7.896741385163303,0.1400396938645416,0.24928424137375096,0.6795499555960984,True,False,True,0.9788255979035976,True,False,2.7260044672348607
L12,2.0,0.32567202440374904,1.0781973558569689,7.972383316417593,0.1725471662121566,0.30417368620792734,0.8472587651087943,False,False,True,0.9882016499958788,True,False,2.7854439865308542
L12,3.0,0.19736837478636063,1.6172960337854532,8.117010592985936,0.21272100941766914,0.3756920498229847,1.095770717594714,False,False,True,1.0061286496980795,True,False,2.916672626186819
L12,5.0,0.11075610700135331,2.6954933896424222,8.272550701012596,0.25138720034462947,0.4484459540799931,1.3898387311941023,False,False,True,1.0254083287215348,True,False,3.0992335164343685
L12,8.0,0.06686100059114448,4.312789423427875,8.373414180857868,0.2760004700838436,0.4967060734532644,1.609955023806732,False,False,False,1.0379106700229328,True,False,3.241263012174975
L12,10.0,0.052895326547159296,5.3909867792848445,8.409000675534042,0.2846942393577115,0.5141036489454721,1.6943903622871592,False,False,False,1.0423217264612434,True,False,3.295814697605605
L12,12.0,0.04375751403207025,6.469184135141813,8.433249636665897,0.29063034314128056,0.5260861777936442,1.7541346374704425,False,False,False,1.045327460436909,True,False,3.3343104447775413
L12,14.0,0.03731250279601884,7.42,8.450822783243403,0.2949400881858821,0.5348378944863931,1.794389752115535,False,False,False,1.0475057064838282,True,False,3.3550161097666695
L12,16.0,0.03252264501613076,7.42,8.464139033215606,0.29821087083713554,0.5415088894786416,1.6891799097382578,False,False,False,1.0491562969875725,True,False,3.1193946074727976
L12,22.6,0.022845546300349046,7.42,8.475533410053211,0.30500080981435645,0.5554370097701508,1.317758566092888,False,False,True,1.0505686653528026,True,False,2.372471662697088
L12,32.0,0.016046009083333018,7.42,6.362612460217333,0.30992180170068273,0.5555728151240656,0.9873731434583471,False,False,True,0.7886655573275204,False,False,1.777216445044842
L12,50.0,0.010337786989822568,7.42,2.729219004488545,0.2969025368661138,0.3887558768671817,0.6695303913205679,False,False,True,0.33829516424300593,False,False,1.7222386365346516
