cell,n_par,neg_log_post,railed,rate_mmyr,gate1_rate,midcen_bias_cm,gate2_midcen,midcen_rate_trend,gate3_shape,rmse_cm,surface_share,spread_2100_cm,gate4_spread,proj_SSP1-2.6,proj_SSP2-4.5,proj_SSP5-8.5,params
incumbent,5,980.040703342659,,0.5598681826629146,False,-0.8279075344216473,False,5.186915304643475e-05,False,0.5325364613638237,,2.285699112239704,False,6.612179586176084,7.272493243544008,8.897878698415788,c1=15.785; c0=71.36; alpha=0.000133; beta=0.000571; g=0
stock,5,234.92400167196035,,0.6709161194474216,True,-0.22556845845833667,True,-0.0005808630143761287,True,0.3246117480771628,,7.247492630194756,True,3.3666211168871314,5.638246387487698,10.614113747081888,c1=2.71262; c0=376.072; alpha=0.0577604; beta=0.03672; g=0.931488
A,5,33.85427765737953,,0.7736610046971084,True,0.03632257137928382,True,-0.0012080982640094826,True,0.09098629306872087,,8.046043494371133,False,5.187308142709696,7.560806202529875,13.23335163708083,c1=1.45288; c0=297.345; alpha=0.00964783; beta=0.00482728; g=0.982068
B,8,232.07467067665957,alpha_s,0.6618164421704478,True,-0.22685798339881788,True,-0.000690587851937296,True,0.28223874954879785,0.8038525753721365,7.269222165301471,True,3.329210766251606,5.609132349812086,10.598432931553077,c1=2.73084; c0=81.0194; f=0.790527; alpha_f=0.0432987; beta_f=0.043523; alpha_s=0.2; beta_s=0.0198859; g=0.719729
A+B,8,33.628824952400045,alpha_s,0.7699801663460757,True,0.03689652820607296,True,-0.001209352497283455,True,0.0890808189531434,0.7343047096096827,7.027872387599128,True,5.341947248748776,7.486700956311198,12.369819636347904,c1=1.7221; c0=8.23661; f=0.529989; alpha_f=0.0135564; beta_f=0.000433213; alpha_s=1.27655e-24; beta_s=0.0145195; g=0.349621
A+B',7,31.84452508738302,g,0.7832815188625581,True,0.012531599949043052,True,-0.001057259079377192,True,0.10862330594771345,0.6694783076529309,4.17862470824846,False,2.381555186583295,3.7156435367760245,6.560179894831755,c1=0.634504; c0=7.89009; k_smb=0.0489662; t_on=1.64682; alpha_s=0.00600843; beta_s=0.0109077; g=1.73348e-15
A+B+C,7,563.1963807597222,alpha_f|alpha_s|g,0.8096026333840195,True,-0.07644801957713271,True,4.057419190790803e-05,False,0.8441382126745716,0.7349999942369797,0.27802068275519787,False,10.340549112027187,10.466075292764275,10.618569794782385,dT=-1.50659; f=0.735; alpha_f=1.26223e-18; beta_f=0.000165226; alpha_s=2.22639e-20; beta_s=0.000165226; g=4.81133e-16
A+B'+C,6,204.66857381747653,alpha_s|beta_s|g,0.7457873422061274,True,-0.1976776152457335,True,-0.0005012911523088598,True,0.4401993939314234,0.9984275065746357,5.540786135169478,False,10.464424112304174,12.214371896879813,16.005210247473652,dT=-0.538186; k_smb=0.0288241; t_on=-0.0634057; alpha_s=6.14467e-19; beta_s=1e-06; g=5.50607e-10
A+B+C+D,9,65.17034090388076,beta_f|g|q_s,0.724650634914483,True,-0.033150764372785475,True,-0.001583017666541772,True,0.11865248182100713,0.9998987575230934,0.0,False,6.907955908850296,6.907955908850296,6.907955908850296,dT=-1.49943; f=0.034169; alpha_f=0.0586088; beta_f=1e-06; alpha_s=1.13208e-05; beta_s=7.30344e-06; g=3.63143e-16; q_f=0.0723651; q_s=0.0001
A+B'+C+D,7,187.89138901472418,dT|beta_s|g,0.7347270216364775,True,-0.20110560267883795,True,-0.000564853505143574,True,0.42832135603030547,0.7830141916816185,4.423778298846688,False,9.678012589642496,11.069982650296584,14.101790888489184,dT=-1.58; k_smb=0.0230878; t_on=0.234423; alpha_s=8.71615e-05; beta_s=1e-06; g=4.72444e-20; q_s=0.0206931
A+B'+C+D2,9,37.04016978659224,q_thalf,0.7767599767756224,True,-0.024537869236816143,True,-0.0010744535613454993,True,0.09672804264438142,0.854280271613071,12.574158086838334,False,12.896317526423509,16.85285657797895,25.470475613261844,dT=-0.710816; k_smb=0.0656249; t_on=1.7269; alpha_s=0.0343835; beta_s=1.83872e-05; g=0.999325; q_dyn=3.03882; q_thalf=20; q_marine=11.7602
