product,y0,y1,n,partition,se
IGCC,1971,1992,21,0.73432647821335,0.12456097571828259
FaIR,1971,1992,21,0.7282570702984397,0.030502149347220852
IGCC,1993,2004,11,0.7045776436423896,0.09468816953531312
FaIR,1993,2004,11,0.7989914804393586,0.020338183019739633
IGCC,2005,2024,19,0.7030167779740468,0.03749072474255074
NCEI,2005,2024,19,0.6481509059319931,0.07447005889068496
FaIR,2005,2024,19,0.7086194489559902,0.003772176379956654
IGCC,1993,2024,31,0.7027930828120798,0.03539186125526924
NCEI,2005,2024,19,0.6481509059319931,0.07447005889068496
FaIR,1993,2024,31,0.7369340010135279,0.010968996310489879
IGCC,1971,2024,53,0.6993435591417536,0.04551407968914144
NCEI,2005,2024,19,0.6481509059319931,0.07447005889068496
FaIR,1971,2024,53,0.7246774476434865,0.015565725886468413
