marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm
M,CO2,10.0,glaciers,2100,2000,10.005335291301478,10.021112741580275,0.015760883551234173,0.01577745027879729,0.01618638737306818,0.010697311845848746,0.022908188900777837,0.0015760883551234172
M,CO2,10.0,glaciers,2150,2000,14.805812026864245,14.822736458517825,0.015640768374339586,0.01692443165357993,0.015839563765559072,0.010849404666068185,0.021290977667990596,0.0015640768374339587
M,CO2,10.0,glaciers,2300,2000,21.414541245794236,21.42738587893205,0.011271917433676393,0.012844633137813588,0.011294881450090145,0.00656895743661412,0.01600685845416958,0.0011271917433676392
M,CO2,10.0,gis,2100,2000,8.664364008748949,8.679177053675387,0.015601807110430244,0.014813044926437868,0.01716440706306385,0.01014248422967441,0.02885291028816219,0.0015601807110430244
M,CO2,10.0,gis,2150,2000,14.099760933437949,14.12137813133982,0.02095371612306174,0.021617197901871776,0.023707462958701186,0.011834466724357728,0.04640441673432853,0.002095371612306174
M,CO2,10.0,gis,2300,2000,24.441116756214058,24.469878694656252,0.027945642310490015,0.028761938442194435,0.05811106599497892,0.013178208062608655,0.16685788177253189,0.0027945642310490014
M,CO2,10.0,ais,2100,2000,12.756621825069628,12.863340865951027,0.009000848052180821,0.10671904088139961,0.10099271382304513,0.0038025426672620545,0.9392618368167934,0.0009000848052180821
M,CO2,10.0,ais,2150,2000,60.08147379657789,60.14836764735835,0.01819903975960102,0.06689385078045973,0.1650893259614175,0.0068785991943111306,1.086919417417398,0.0018199039759601021
M,CO2,10.0,ais,2300,2000,211.61197325329965,211.70662221050526,0.05519739335417739,0.09464895720560662,0.30151047693516375,0.017072575833449833,1.2106855068454079,0.00551973933541774
M,CO2,10.0,te,2100,2000,21.15045234924257,21.18554106097367,0.03365232270819085,0.035088711731098954,0.03431638384375449,0.022757730338947724,0.04731211231673295,0.003365232270819085
M,CO2,10.0,te,2150,2000,34.07584217879376,34.11834796905367,0.044022976161908645,0.042505790259909304,0.04522399740107349,0.02828210346614064,0.06490194276426706,0.004402297616190864
M,CO2,10.0,te,2300,2000,60.830254468307686,60.89303300518009,0.06256321203720105,0.06277853687240054,0.06488528029565581,0.033723514408981005,0.10192566148777259,0.0062563212037201055
M,CO2,10.0,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0
M,CO2,10.0,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0
M,CO2,10.0,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0
M,CO2,10.0,total,2100,2000,57.1315215506103,57.282985070788115,0.07532109168016632,0.1514635201778134,0.16865989210293122,0.05392686629173155,1.0031342743461542,0.007532109168016632
M,CO2,10.0,total,2150,2000,128.56538235103736,128.6697701205933,0.10449927312190255,0.10438776955595586,0.24986035008675114,0.06717435442681605,1.1686933076542612,0.010449927312190254
M,CO2,10.0,total,2300,2000,332.76982823179355,332.92428487864925,0.18647247114424204,0.15445664685569227,0.4358017046758886,0.0880318959415007,1.346746997509186,0.018647247114424205
