ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
ssp126,glaciers,2100,fixed,2000,8.265274285308722,8.300212668288331,7.225325060058159,9.47285869161486,2.247533631556701,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,glaciers,2100,joint,2000,8.111567796611805,8.320993642467148,6.279249240396314,11.165591715285968,4.886342474889655,2.1740909262858263,0.9814033408461561,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,glaciers,2150,fixed,2000,10.231843413775188,10.267781566883997,8.78658599318011,11.865072449348103,3.078486456167994,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,glaciers,2150,joint,2000,9.934461199500891,10.272223203397518,7.475686268503014,14.200707050479515,6.725020781976501,2.184521802427418,0.9709356171465712,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,glaciers,2300,fixed,2000,12.931777040215398,12.986909615866594,10.833038487451242,15.375860140917975,4.542821653466733,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,glaciers,2300,joint,2000,12.484410877472902,12.926649348183009,8.819800316368706,18.366495031466396,9.54669471509769,2.101490096537773,0.9654056699747242,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2100,fixed,2000,6.402864636345647,6.38727273251117,5.178337165097258,7.525608856156128,2.3472716910588707,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2100,joint,2000,6.231278212680769,6.41570869286773,4.805490617165017,8.553707507110676,3.7482168899456596,1.596839813739164,0.9732016162436303,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2150,fixed,2000,8.58618671990671,8.593445335757643,6.699338938724629,10.512881395218823,3.8135424564941944,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2150,joint,2000,8.30157601094184,8.641029793313965,6.064609579546372,12.0754717387258,6.010862159179429,1.5761886035760146,0.9668524901391893,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2300,fixed,2000,12.258569457571934,12.36074431248416,8.993114166022364,16.07812875559049,7.085014589568127,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,gis,2300,joint,2000,11.720575495199473,12.429393107919536,7.773459622792934,19.265009045653866,11.491549422860931,1.6219514127438668,0.9561128266854865,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2100,fixed,2000,5.078984735573766,8.163615024874892,3.711014270899422,35.99466552389967,32.28365125300025,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2100,joint,2000,4.9226941994540105,11.373703163306526,3.3459609228547196,51.66651683700583,48.32055591415111,1.49675002791577,0.9692279964881408,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2150,fixed,2000,7.998751466946604,12.794639521114604,5.767856354489323,51.88780587380435,46.11994951931503,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2150,joint,2000,7.680435764924497,19.568405572579913,5.001813417378271,94.50609822493882,89.50428480756055,1.9406847956343962,0.9602043264705137,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2300,fixed,2000,16.179861429112837,24.24265017618855,11.578812231236629,65.82472407269708,54.245911841460455,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,ais,2300,joint,2000,15.240800344236948,43.91844975757899,9.222717935004386,220.96805064380595,211.74533270880156,3.903433927475497,0.9419611169730903,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
ssp126,te,2100,fixed,2000,15.92025890688754,15.907907577976163,14.144509137204016,17.710136659774967,3.565627522570951,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp ssp126 | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap false | run 1850-2300 reref 1995-2014 | julia 1.12.6
