component,seed2026,seed2027,seed2028,seed2029,chain_median_range,ensemble_sd,range_over_sd,perm_null_median_range,perm_p,mixing
ais,0.0007101467046662,0.0004824813308418,0.0007353342425936999,0.00042365346306000003,0.0003116807795336999,0.0002598479977043146,1.199473470210714,3.1036011745150065e-05,0.0,NOT MIXED
gis,0.0009164802649354,0.00092815072231565,0.0009170935823112,0.0009125869277858,1.556379452985002e-05,7.364241818556269e-05,0.21134279554254565,7.067079453299983e-06,0.007,NOT MIXED
gsic_hind,0.0013601136984434,0.00136304498639075,0.0013713809244014,0.0013479957325883,2.3385191813100024e-05,0.0002953041740545797,0.07919018377565448,2.705676624147513e-05,0.61925,MIXED
te,0.0014917307555161,0.0014882598216763,0.0014875194668774998,0.0014828115579809,8.919197535199814e-06,6.978937025405366e-05,0.12780166238398963,6.630517099399957e-06,0.2015,MIXED
total,0.00530600569795085,0.005104647765914501,0.0053052970269104,0.00500083748169745,0.0003051682162533995,0.00039331344218516897,0.7758906345990805,3.966549745547474e-05,0.0,NOT MIXED
