series,model,resid_over_band,logl,k,bic,dbic_vs_ar1,ljungbox_Q,ljungbox_p,params
ais,white,0.1733639716892485,121.17758926913902,1,-237.51889663132656,-4.2479631996619105,148.13624005263708,9.009601724555862e-27,0.0001
ais,AR(1),0.1733639716892485,121.4717486227838,2,-233.27093343166464,0.0,141.0320854736555,2.5893647577518084e-25,0.0117791; 0.728969
ais,AR(2),0.1733639716892485,124.3134982262344,3,-234.11815073161438,-0.8472172999497332,90.67033411650675,3.943360560959849e-15,0.00242825; 1.86313; -0.967295
ais,"ARMA(1,1)",0.1733639716892485,121.74259083836901,3,-228.9763359558836,4.294597475781046,136.91169485828866,1.807913162205062e-24,0.0081348; 0.676393; 0.99
ais,local level,0.1733639716892485,121.1776180668118,1,-237.51895422667212,-4.248020795007477,148.1361233035071,9.010099660962725e-27,1e-06
ais,trend+AR(1),0.1733639716892485,121.47956398026345,4,-223.614000332721,9.656933098943654,141.061043531622,2.554209579222348e-25,0.0117264; 0.729879
gsic,white,1.0594339982221619,-14.525713026754566,1,33.87170761911417,18.74488138046553,808.3216872870665,3.353438572897955e-167,0.0001
gsic,AR(1),1.0594339982221619,-2.7431315537192837,2,15.126826238648642,0.0,470.3103441569257,9.683491295745494e-95,0.0390105; 0.997679
gsic,AR(2),1.0594339982221619,3.1754649768236334,3,8.109914743167845,-7.016911495480796,256.88178578547536,1.936693229452626e-49,0.0046588; 1.96735; -0.968119
gsic,"ARMA(1,1)",1.0594339982221619,-1.9981644145736404,3,18.457173525962393,3.330347287313751,449.58502190773095,2.5617174243283254e-90,0.021704; 0.997413; 0.99
gsic,local level,1.0594339982221619,-12.440371060651955,1,29.701023686908947,14.574197448260305,740.6586346053754,1.1664488222340788e-152,0.0375632
gsic,trend+AR(1),1.0594339982221619,2.4450599281449676,4,14.391006406130213,-0.7358198325184286,808.321793920878,3.3532615477450615e-167,0.0001; 0.804821
gis,white,0.32580935261152283,111.51432905088508,1,-218.19237619481868,-2.500365613109551,169.71964938297916,3.1706918353003326e-31,0.0001
gis,AR(1),0.32580935261152283,112.68228719780605,2,-215.69201058170913,0.0,125.67524374029861,3.553985388505215e-22,0.0131638; 0.811582
gis,AR(2),0.32580935261152283,116.17576350451998,3,-217.84268128818553,-2.1506707064764043,73.89298078222468,7.810689802950275e-12,0.0011004; 1.89998; -0.99
gis,"ARMA(1,1)",0.32580935261152283,112.9750152170498,3,-211.44118471324518,4.250825868463949,117.60951210321589,1.5448810866409667e-20,0.00778721; 0.784649; 0.99
gis,local level,0.32580935261152283,111.51435621392929,1,-218.1924305209071,-2.5004199391979682,169.7196366542938,3.170711075011692e-31,1e-06
gis,trend+AR(1),0.32580935261152283,112.73100347785343,4,-206.11687932790096,9.575131253808166,125.80008959559825,3.3519865617066225e-22,0.013117; 0.812258
steric,white,0.9508372265327237,-41.91070035442301,1,88.6576826157975,108.01334432989165,245.47096212054475,4.85954509082342e-47,0.182339
steric,AR(1),0.9508372265327237,14.51411276399855,2,-19.355661714094147,0.0,47.8989802019534,6.475922530991607e-07,0.0599568; 0.985614
steric,AR(2),0.9508372265327237,15.58530216537288,3,-16.661758609891326,2.693903104202821,36.84259660735439,6.025335946789945e-05,0.039263; 1.48294; -0.495133
steric,"ARMA(1,1)",0.9508372265327237,15.479563588954804,3,-16.450281457055173,2.905380257038974,39.70648279555841,1.908443241615011e-05,0.0342096; 0.981487; 0.99
steric,local level,0.9508372265327237,13.863675639747768,1,-22.89106937254406,-3.5354076584499126,49.22656891423291,3.701723487075751e-07,0.0648343
steric,trend+AR(1),0.9508372265327237,16.018507489628217,4,-12.691887351450521,6.663774362643625,52.747956481303206,8.292886284776479e-08,0.0606253; 0.952524
dang,white,0.12117231840743473,-194.5257424470404,1,393.8797986313831,-3.822125753279124,168.03617795144044,7.073066993910634e-31,0.0001
dang,AR(1),0.12117231840743473,-194.02264845502881,2,397.7019243846622,0.0,134.78391884050495,4.925162920844698e-24,0.00279026; 0.9999
dang,AR(2),0.12117231840743473,-194.42022942486446,3,403.32540006163583,5.623475676973612,158.81719035790115,5.684516897129358e-29,0.00518279; 0.900099; 0.0949616
dang,"ARMA(1,1)",0.12117231840743473,-194.02265000967196,3,402.53024123125084,4.828316846588621,134.78393330532037,4.92512938212997e-24,0.00281179; 0.9999; -0.00766322
dang,local level,0.12117231840743473,-194.14777329824963,1,393.1238603338016,-4.5780640508606325,135.41346104203043,3.661752245121443e-24,0.0178229
dang,trend+AR(1),0.12117231840743473,-192.93645449170282,4,405.1861639326148,7.484239547952598,168.03617795144044,7.073066993910634e-31,0.0001; 0
