ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvVL,glaciers,2100,fixed,2000,7.717819964675808,7.760881260710679,6.710217166856144,8.881436763304038,2.1712195964478935,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,glaciers,2100,joint,2000,7.508883831420768,7.781378771190479,5.674670920092741,10.730148925107533,5.055478005014792,2.3284047423326197,0.9729280892517144,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,glaciers,2150,fixed,2000,9.34513310549769,9.3766123529485,7.95956670116549,10.865730114687029,2.906163413521539,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,glaciers,2150,joint,2000,9.004179480373857,9.377839995432772,6.5955302940782135,13.367862898750724,6.772332604672511,2.330334410364814,0.9635153805435632,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,glaciers,2300,fixed,2000,11.122923764053802,11.142642341151939,9.211692913372223,13.147983306117181,3.936290392744958,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,glaciers,2300,joint,2000,10.664637276001143,11.108046987278398,7.545045534151196,16.13858617491229,8.593540640761095,2.1831571818481663,0.9587980194979208,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,gis,2100,fixed,2000,6.013247099315518,6.0080928782180445,4.9031634977878396,7.065102689292859,2.1619391915050192,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,gis,2100,joint,2000,5.844212132275747,6.04363486494676,4.459521242564537,8.198848280088075,3.7393270375235383,1.7296171197675692,0.9718895691050162,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,gis,2150,fixed,2000,7.8559779367898335,7.868303762016483,6.18529303217189,9.596146427145262,3.4108533949733726,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,gis,2150,joint,2000,7.5285826025204745,7.888569615206726,5.437563813623541,11.439775023523955,6.002211209900414,1.7597388438758363,0.9583253241157724,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvVL,gis,2300,fixed,2000,10.262323624527259,10.376739909693718,7.625223764625249,13.52791343871518,5.90268967408993,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L28 | ssp vvVL | forcing spliced | climate fair | lws observed (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
