ssp,component,horizon,arm,n_draws,med_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp585,ais,2100,fixed,12,48.6572624389582,21.57544583357826,65.61324979385627,44.03780396027801,1.0,1.0
ssp585,ais,2100,joint,12,37.67106560984871,11.52149601470381,69.14352967557949,57.62203366087567,1.3084674638374476,0.7742125989333667
ssp585,ais,2150,fixed,12,125.07484860870889,49.480583856154226,138.02611572295325,88.54553186679902,1.0,1.0
ssp585,ais,2150,joint,12,103.20884647451486,43.846207326990694,152.42163690746978,108.57542958047908,1.2262101462534718,0.8251766651934886
ssp585,ais,2300,fixed,12,364.1207481172187,138.39872559218273,396.63363216093313,258.2349065687504,1.0,1.0
ssp585,ais,2300,joint,12,326.8287213645558,130.9433539748546,479.4418332832181,348.49847930836347,1.3495405556861928,0.8975833512770391
ssp585,total,2100,fixed,12,106.00357615807962,78.7829025637859,121.96098099588421,43.17807843209832,1.0,1.0
ssp585,total,2100,joint,12,89.38204238868292,63.597301113238046,136.9665058793615,73.36920476612346,1.6992234816911456,0.8431983677172404
ssp585,total,2150,fixed,12,230.74745597399678,152.9447879801583,245.4584692886429,92.51368130848459,1.0,1.0
ssp585,total,2150,joint,12,195.3916669978529,145.40842812650914,298.5617441181933,153.15331599168417,1.6554666707186605,0.8467771233840681
ssp585,total,2300,fixed,12,545.1018325305847,319.5701942656427,606.6018898057912,287.03169554014846,1.0,1.0
ssp585,total,2300,joint,12,482.8598184635857,310.11639311760035,772.6793541654425,462.5629610478422,1.6115396600273413,0.8858158047679895
