component,overlap_pct,meaninband_pct,obs2018,p50_2018,p5_2018,p95_2018
ais,84.03361344537815,77.3109243697479,0.696409138766202,0.6632596761243943,0.6250254786277828,0.7064488078054418
gsic,84.87394957983193,23.529411764705884,1.205569210919467,1.3587350125550401,1.2520970206668611,1.4963253703511927
gis,31.932773109243698,31.932773109243698,1.2730523759668522,1.0393281310980105,0.8609884924510687,1.250708877383851
te,74.78991596638656,35.294117647058826,2.074393606185913,2.679265976738222,2.478354892765743,2.861983691796151
total,95.7983193277311,26.050420168067227,6.691498117289738,6.281219257183077,6.009174856146086,6.5557125346643765
