tau_star,block,members,a,b,T_off,amp_b,amp_obs_fit,S2000_mm,S2020_mm,tau15,tau30,kappa_anch,nu_anch,tau15_ach,tau30_ach,anch_exact,anch_match_ok,glambie_rate,glambie_rate_sd,com1p2,com1p5,com2p0,com3p0
250,SLOW,19/03/09/07/06,0.24081,0.47762,0.46510,1.44100,1.76029,32.91270,36.87748,664.74337,159.37813,0.00102,1.35373,664.74337,159.37811,True,True,0.23868,0.03966,35.43800,45.82570,62.77350,74.07750
250,FAST,01/04/17/13/14/02/15/08/10/11/16/18/12,0.14219,0.41429,-1.52616,1.23005,1.40356,60.08730,67.96685,129.89607,37.01309,0.00321,1.59756,129.89607,37.01309,True,True,0.41684,0.04460,44.77160,50.69680,63.26240,78.56940
