name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.5559317624751398,0.9793381322811112,1.630380602994341,1.0199674552617686,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.07156785689710551,0.3001606775641314,0.6414298192470467,0.32128399022897103,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.004153209276897256,0.008687939476306451,0.013513413534507204,0.008717385068056215,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.09061285794790656,0.35632848234823555,0.700676785980902,0.3719161874414218,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.17365936258133358,0.9284739261091177,1.7448878182545093,0.934054467095057,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.018972692952194812,0.045215704463767104,0.07991595609150826,0.04676462858247831,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.07075464625119705,0.11205493863743429,0.17958073617679915,0.11740861720334424,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.3346247536294752,0.580281468860297,0.7443716895942037,0.5650472965657134,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.0006116533893775099,0.00202621722524005,0.004924301364009314,0.002312363861493797,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,0.0016544026293775702,0.00481282664637105,0.0111214263218279,0.005519214615707564,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L35 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L35) | posterior parameters_subsample_brick_mengel_L35.csv n=10000 | quantiles 5/50/95 over all draws | commit 569cc2f | 2026-09-24 16:34,-6.49699609069168,-5.66339964234061,-4.965535803275656,-5.688107229224664,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
