ssp,alpha,rho_net,knob,contrast,npv_from,npv_to,d_npv_frac
SSP1-2.6,1.0,0.005,tau,tau 800->2700 at psi=0.125,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,tau,tau 2200->2718 at psi=0.273,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,psi,psi 0.125->0.273 at tau=800,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,onset,onset 4.69->2.0 K at cell A,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,onset,onset 4.69->2.0 K at cell B,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,structure,reservoir off->cell A,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.005,structure,reservoir off->cell B,5098.286801266756,5098.286801266756,0.0
SSP1-2.6,1.0,0.01,tau,tau 800->2700 at psi=0.125,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,tau,tau 2200->2718 at psi=0.273,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,psi,psi 0.125->0.273 at tau=800,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,onset,onset 4.69->2.0 K at cell A,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,onset,onset 4.69->2.0 K at cell B,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,structure,reservoir off->cell A,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.01,structure,reservoir off->cell B,2697.384862607378,2697.384862607378,0.0
SSP1-2.6,1.0,0.02,tau,tau 800->2700 at psi=0.125,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,tau,tau 2200->2718 at psi=0.273,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,psi,psi 0.125->0.273 at tau=800,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,onset,onset 4.69->2.0 K at cell A,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,onset,onset 4.69->2.0 K at cell B,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,structure,reservoir off->cell A,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.02,structure,reservoir off->cell B,1052.5399567584532,1052.5399567584532,0.0
SSP1-2.6,1.0,0.03,tau,tau 800->2700 at psi=0.125,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,tau,tau 2200->2718 at psi=0.273,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,psi,psi 0.125->0.273 at tau=800,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,onset,onset 4.69->2.0 K at cell A,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,onset,onset 4.69->2.0 K at cell B,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,structure,reservoir off->cell A,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,1.0,0.03,structure,reservoir off->cell B,557.9826196923754,557.9826196923754,0.0
SSP1-2.6,2.0,0.005,tau,tau 800->2700 at psi=0.125,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,tau,tau 2200->2718 at psi=0.273,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,psi,psi 0.125->0.273 at tau=800,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,onset,onset 4.69->2.0 K at cell A,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,onset,onset 4.69->2.0 K at cell B,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,structure,reservoir off->cell A,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.005,structure,reservoir off->cell B,213865.63012571237,213865.63012571237,0.0
SSP1-2.6,2.0,0.01,tau,tau 800->2700 at psi=0.125,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,tau,tau 2200->2718 at psi=0.273,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,psi,psi 0.125->0.273 at tau=800,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,onset,onset 4.69->2.0 K at cell A,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,onset,onset 4.69->2.0 K at cell B,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,structure,reservoir off->cell A,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.01,structure,reservoir off->cell B,100192.85969086319,100192.85969086319,0.0
SSP1-2.6,2.0,0.02,tau,tau 800->2700 at psi=0.125,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,tau,tau 2200->2718 at psi=0.273,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,psi,psi 0.125->0.273 at tau=800,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,onset,onset 4.69->2.0 K at cell A,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,onset,onset 4.69->2.0 K at cell B,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,structure,reservoir off->cell A,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.02,structure,reservoir off->cell B,30273.384054535716,30273.384054535716,0.0
SSP1-2.6,2.0,0.03,tau,tau 800->2700 at psi=0.125,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,tau,tau 2200->2718 at psi=0.273,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,psi,psi 0.125->0.273 at tau=800,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,onset,onset 4.69->2.0 K at cell A,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,onset,onset 4.69->2.0 K at cell B,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,structure,reservoir off->cell A,12844.556617052926,12844.556617052926,0.0
SSP1-2.6,2.0,0.03,structure,reservoir off->cell B,12844.556617052926,12844.556617052926,0.0
SSP2-4.5,1.0,0.005,tau,tau 800->2700 at psi=0.125,10513.72073104621,10513.72073104621,0.0
SSP2-4.5,1.0,0.005,tau,tau 2200->2718 at psi=0.273,10513.72073104621,10513.72073104621,0.0
SSP2-4.5,1.0,0.005,psi,psi 0.125->0.273 at tau=800,10513.72073104621,10513.72073104621,0.0
SSP2-4.5,1.0,0.005,onset,onset 4.69->2.0 K at cell A,10513.72073104621,11557.334952190047,0.09926212116916171
SSP2-4.5,1.0,0.005,onset,onset 4.69->2.0 K at cell B,10513.72073104621,12925.202181936318,0.22936518028001138
SSP2-4.5,1.0,0.005,structure,reservoir off->cell A,10513.72073104621,10513.72073104621,0.0
SSP2-4.5,1.0,0.005,structure,reservoir off->cell B,10513.72073104621,10513.72073104621,0.0
SSP2-4.5,1.0,0.01,tau,tau 800->2700 at psi=0.125,4860.782832746706,4860.782832746706,0.0
SSP2-4.5,1.0,0.01,tau,tau 2200->2718 at psi=0.273,4860.782832746706,4860.782832746706,0.0
SSP2-4.5,1.0,0.01,psi,psi 0.125->0.273 at tau=800,4860.782832746706,4860.782832746706,0.0
SSP2-4.5,1.0,0.01,onset,onset 4.69->2.0 K at cell A,4860.782832746706,5302.178726743077,0.09080757342679917
