year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected
1900,-0.7636426807104242,-0.6340043586717847,-0.5065095524430416,-1.2892131415272898,0.017838201464582825,-0.6340783032503996,-6.278481233880849,-5.701889280998362,-5.14083882077089,-7.457238529474081,-4.0037026796095585,-7.27700420293,-4.7952813878060185,-4.235384684082807,-3.679632218247135,-5.542049065317702,-2.876767240317517,-4.130332357233222,-4.201582875743391,-3.9250960543275886,-3.623048121068164,-5.068775494977522,-2.7256117100822976,-3.6098928928375242,-14.379526979836621,-13.682090845861367,-13.042850676191433,-17.70608551575156,-9.374914631023119,-13.937918849348069,-5.984817634756859
1901,-0.7563331654680232,-0.6289743757052076,-0.5037708662606052,-1.2548582588892738,0.006105411452993109,-0.6286254796114836,-6.240385426150009,-5.668117017120496,-5.111345868593644,-7.341371601589428,-4.046459152635555,-7.19201579961,-4.749921958669661,-4.194673348746004,-3.646043943743815,-5.539859949442787,-2.996771077926885,-4.14182832891291,-4.169969125943434,-3.895562659825556,-3.5957874099980796,-4.985268338130393,-2.7741449631798796,-3.6964476108551025,-13.963014169079331,-13.274022976124428,-12.64623330270468,-17.285188667656303,-9.154442184887369,-13.717743189686836,-5.921365674239745
1902,-0.7482290256273476,-0.623683356161233,-0.501714786526817,-1.238424751032227,0.02023492620304263,-0.6231535824862393,-6.168660387759047,-5.610425999056957,-5.061395434525326,-7.257886744449777,-3.9326330659570763,-7.10599819097,-4.704640575503247,-4.1552520732272145,-3.6126558452414317,-5.578340069876152,-2.897306804932112,-4.110059530084785,-4.138263713811352,-3.865943634867386,-3.56844765799271,-4.950676341594359,-2.789259899173345,-3.7697138309478753,-13.682030184742692,-13.00111572475172,-12.380907857698498,-17.156915831121196,-8.751444676590351,-13.307361420412224,-5.856884508402631
1903,-0.7411960708262785,-0.6185255836023948,-0.49903278398154394,-1.2511375791571877,-0.01313032045865841,-0.6177760037508879,-6.096491896342924,-5.547605971307845,-5.008078504251004,-7.2109967207168975,-3.8634301303631564,-7.04884410771,-4.6594686822103615,-4.115420744658522,-3.5793734586577215,-5.444025132595629,-2.8146819158449494,-4.069244558160955,-4.143805955589508,-3.871121167235284,-3.5732267636904176,-4.960333971345196,-2.764658383306388,-3.89201683998108,-13.55559735080899,-12.885256879825413,-12.27524947096589,-16.942443034011124,-8.725229800165634,-13.366047505500095,-5.821266867945516
1904,-0.7332979234829075,-0.6133653696843888,-0.4971491171581248,-1.2284571403476936,0.016261256340973616,-0.612356558713046,-6.042160273245178,-5.500146066070956,-4.967538252915073,-7.152121741744439,-3.8112542695549214,-6.9647086707,-4.6145287741417915,-4.075941439547583,-3.5462784267940988,-5.313246821964077,-2.9075413920369124,-3.986545354669745,-4.255650410056205,-3.975605653179877,-3.6696708545464767,-5.1584544988389025,-2.7902243508327524,-4.005975580215455,-13.591626768152407,-12.932491353728233,-12.324891065321257,-16.96205745038607,-8.991882025278654,-13.401862591297018,-5.7586678737384025
1905,-0.7248811016523069,-0.6089716940664761,-0.4966439529899964,-1.2568057248461377,0.0027402040363378,-0.6069045933810149,-5.988050864775702,-5.451884825322539,-4.926918196937313,-7.084462357564105,-3.754627130215789,-6.86514507207,-4.571208790993411,-4.038121426671508,-3.513519759991833,-5.191456913749865,-2.9525529159599895,-3.965610296075995,-4.2802731953976245,-3.9986081264020816,-3.6909032183495842,-5.036181978572083,-2.9541559186694286,-4.084479761123657,-13.449989404565748,-12.803334232604216,-12.204074814985512,-16.826566057660212,-8.781265098104457,-13.311246733632538,-5.680640717911288
1906,-0.7162482481674619,-0.6041948752225856,-0.49575788725396047,-1.2072574323735876,-0.013268708884493148,-0.6014521512118254,-5.918703792497762,-5.391540184493816,-4.873806241408268,-7.045955472199402,-3.8239281283348903,-6.78516536626,-4.5276672703436,-3.9997862778198723,-3.48189646193779,-5.154662004755262,-2.918475164288229,-3.9195184534246272,-4.25177612007616,-3.9719863123829158,-3.666330032897162,-5.162389500021251,-2.798815029013104,-4.1820330142974855,-13.503906932594006,-12.867189085041634,-12.278973316899128,-16.730232576933986,-8.887225197781987,-13.567440039263273,-5.622197454904174
1907,-0.707751160677959,-0.5995448178839513,-0.49467934384943696,-1.19673985994605,0.02208807663917482,-0.5960208806124601,-5.852986303012011,-5.3318518036055815,-4.8249753769706265,-7.017492824977603,-3.6254072463071507,-6.7199607459,-4.4827826683493095,-3.9607000973716873,-3.4497904709254508,-5.103703098413311,-2.828444447312568,-3.8829637354070488,-4.2069567759431115,-3.930116322901141,-3.627682064892956,-5.0123567211891755,-2.880249189564413,-4.245766305923461,-13.378891944844211,-12.752404434939155,-12.171491120623706,-16.52519019690671,-8.74249093369949,-13.430518857797505,-5.578529277347059
1908,-0.6988183163880589,-0.5946531747917665,-0.49285159091481656,-1.1542909381953945,-0.014669137260474543,-0.5906124981966887,-5.801867761163816,-5.288062094855714,-4.787210604916732,-6.963979992771658,-3.7353179671546837,-6.64097972783,-4.437497356239983,-3.9216984325673274,-3.4175432782084276,-5.113721674437924,-2.82154619923242,-3.8119527643377134,-4.19636257581306,-3.9202192782970013,-3.618546627604072,-5.04754856321589,-2.7872659188020097,-4.304152536392211,-13.194041161943225,-12.578925810638006,-12.007081423619168,-16.684012957552465,-8.643758882569662,-13.478100215899776,-5.5210847020799445
1909,-0.6915166230763403,-0.5896722981020492,-0.4902939329422612,-1.1808940529097554,0.002663320218222719,-0.5851665410128508,-5.741701620317116,-5.236661381844337,-4.742931815178089,-6.791755926876226,-3.6064611182287263,-6.56629558477,-4.392189523434466,-3.88285109267154,-3.385235532117181,-4.951537981994611,-2.893249798509043,-3.7546384638006036,-4.164099640578182,-3.890079418264122,-3.5907261203476986,-5.085681172216688,-2.735657501425378,-4.4123697757720945,-12.96656055036064,-12.359301783877804,-11.798250353830056,-16.493895667303295,-8.401883785735357,-13.127202387002756,-5.467937001822831
1910,-0.6830772229363719,-0.5842150163586863,-0.48782662493756485,-1.1524607572480903,-0.018576070455919778,-0.5797470959750088,-5.687278403418947,-5.189890767563565,-4.70211654569163,-6.765975743830496,-3.627142519456973,-6.4967437354,-4.345761509734409,-3.842703833210047,-3.350095707991896,-4.737099065936312,-2.970782372490729,-3.709659749811346,-4.125429205448336,-3.853953706398821,-3.5573803905402657,-4.9757770831258314,-2.692156169737696,-4.497396707534791,-12.787840158862835,-12.188194040772194,-11.635129012688544,-16.289070170892085,-8.197569893524966,-12.932223767549981,-5.419921595255716
1911,-0.67454970211366,-0.5788102928627198,-0.48560807378926685,-1.1766247744589364,-0.016012541615336055,-0.5743019017306241,-5.633969105931829,-5.143424229379384,-4.662256153312544,-6.671536938919025,-3.596844711726945,-6.40783153447,-4.298793943270383,-3.8026799680545995,-3.3164345704204834,-4.734812078188633,-2.915745778024383,-3.7024556940252134,-4.091789991753254,-3.822528134453656,-3.528373110765828,-4.872739464659485,-2.6900925849443804,-4.502541589736938,-12.616566269076534,-12.024883529057774,-11.47595328011893,-15.989728657017652,-8.134024347850387,-12.7859735900405,-5.352545837128602
1912,-0.666987836243396,-0.5735803145193331,-0.48307643663588784,-1.150995849270586,-0.025064253098500553,-0.5688701542941008,-5.5747687454173525,-5.090973880998957,-4.618456734224654,-6.657077913437103,-3.5328966584194705,-6.33277965459,-4.2526023805384074,-3.7633962358181217,-3.283117287287425,-4.671981976854319,-2.885111723441563,-3.6499250238591983,-4.059567343340194,-3.792425910152366,-3.500587343058432,-4.944162031851322,-2.6708248464139364,-4.496937417984009,-12.49850169850722,-11.911222445041723,-11.370231257298935,-15.983913507423457,-8.070662663085,-12.504873544685173,-5.299030400051487
