scenario,pair,predictor,response,n,pearson_r,spearman_rho,decile_contrast,response_p05_p95,contrast_frac_spread
ssp245,net->AIS2100,net_anchored_gt,ais_2100_cm,2000,0.016633,0.126175,0.910512,35.438337,0.025693
ssp245,net->AIS2300,net_anchored_gt,ais_2300_cm,2000,0.033503,0.054891,19.811757,280.767987,0.070563
ssp245,smb->AIS2100,smb_anchored_gt,ais_2100_cm,2000,-0.014305,0.010638,-0.109746,35.438337,-0.003097
ssp245,smb->AIS2300,smb_anchored_gt,ais_2300_cm,2000,-0.020627,-0.003143,-27.084965,280.767987,-0.096467
ssp245,disch->AIS2100,discharge_anchored_gt,ais_2100_cm,2000,0.015480,-0.003408,0.157626,35.438337,0.004448
ssp245,disch->AIS2300,discharge_anchored_gt,ais_2300_cm,2000,0.023018,0.005171,23.291553,280.767987,0.082957
ssp245,rate->AIS2100,ais_rate_anchored_mmyr,ais_2100_cm,2000,0.019896,-0.127570,-0.868151,35.438337,-0.024498
ssp245,rate->AIS2300,ais_rate_anchored_mmyr,ais_2300_cm,2000,0.027709,-0.013717,10.225866,280.767987,0.036421
ssp585,net->AIS2100,net_anchored_gt,ais_2100_cm,2000,0.105953,0.084920,6.080118,50.557692,0.120261
ssp585,net->AIS2300,net_anchored_gt,ais_2300_cm,2000,0.188393,0.155266,62.853282,252.355464,0.249066
ssp585,smb->AIS2100,smb_anchored_gt,ais_2100_cm,2000,-0.024109,-0.013714,-4.276137,50.557692,-0.084579
ssp585,smb->AIS2300,smb_anchored_gt,ais_2300_cm,2000,-0.028368,-0.018901,-16.406045,252.355464,-0.065012
ssp585,disch->AIS2100,discharge_anchored_gt,ais_2100_cm,2000,0.031785,0.018609,3.424218,50.557692,0.067729
ssp585,disch->AIS2300,discharge_anchored_gt,ais_2300_cm,2000,0.042058,0.029149,20.554046,252.355464,0.081449
ssp585,rate->AIS2100,ais_rate_anchored_mmyr,ais_2100_cm,2000,-0.003099,-0.000525,-0.088749,50.557692,-0.001755
ssp585,rate->AIS2300,ais_rate_anchored_mmyr,ais_2300_cm,2000,-0.046843,-0.040549,-17.170982,252.355464,-0.068043
