name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.5635302204156802,1.025885882728924,1.6898029577771756,1.0597521189620203,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.29618737,0.23016505,1.0231069e-05,0.9999879,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.07095890812927938,0.30154557705887625,0.6029511421056927,0.3178775000744264,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.008766364,0.0034420667,0.0030000487,0.014999919,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.004780717607395004,0.009246568272669401,0.013542649466226379,0.009215202686263536,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
anto_alpha,4,antarctic_ocean,0.36223876,0.26114184,7.3700244e-07,0.9999599,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.07622400082616583,0.28672153885377794,0.6243218884496424,0.31143096008691273,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,5,antarctic_ocean,0.9759287,0.5780004,2.5803324e-06,1.9999987,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.13351202668170922,0.8361079511493263,1.6809552461380655,0.8638450279706605,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,6,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.018754417026486253,0.0455154597681122,0.08005630751904803,0.04690949317401494,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,7,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.07147634675109442,0.11256515570634809,0.17967817856339646,0.11740350551770416,Committed loss at zero regional anomaly,m SLE
gis_f,8,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.34741899959891626,0.5817707520632681,0.7472836402415932,0.5688962951515508,Surface-mass-balance share of the committed loss,–
gis_alpha_f,9,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.00060248345312315,0.0020374831326110997,0.005026589584824604,0.002327375223732625,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,10,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.00163790427717062,0.00471195830587635,0.009997630367387534,0.005114954298135408,"Fast (SMB) channel rate, constant part",yr⁻¹
gis_slow_ell,11,likelihood_only,-4.207448374546157,1.0,-8.207448374546157,-0.207448374546157,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-6.471666617589406,-5.680676144513075,-4.985826637387236,-5.69740364016886,Slow (discharge) channel: log rate at the reference temperature,ln(yr⁻¹)
gis_slow_w,12,likelihood_only,0.9328151097655012,1000.0,0.0,1.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.04930487352439295,0.4366733397027597,0.9266893971335315,0.4564247000669983,Slow (discharge) channel: temperature-dependent fraction of the rate,–
gis_amp,13,likelihood_only,1.9221976385152952,0.3181243343729514,1.5101657793813976,2.2846646737809513,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,1.5729853279897583,1.9057988553630845,2.2321016511587075,1.9055233088624266,Southern-Greenland/global warming ratio,–
gis_s_high,14,greenland_icesheet,0.0,0.5,-2.0,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-0.774762757129195,-0.5570708442700862,-0.36635492023362515,-0.5624261512534404,log₁₀ rate scale of the high basin (NO+NE) relative to the active basin,log₁₀(–)
thermal_alpha,15,thermal_expansion,0.16,1000.0,0.05,0.3,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.14769978976932785,0.16661481427017838,0.1851416010631581,0.16655640128005,Thermal expansion coefficient α,kg m⁻³ °C⁻¹
gic_a_R19,16,glaciers_small_icecaps,0.069,0.018,0.01,0.141,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.03814823546552633,0.06778394642646729,0.09668647971555588,0.06773591103490982,"Committed-loss scale a, RGI 19",m SLE
gic_b_R19,17,glaciers_small_icecaps,0.768973947986,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.1989562429262603,0.7225790640029224,2.4422984523034015,0.9428055792383327,"Equilibrium temperature sensitivity b, RGI 19",K⁻¹ (glacier frame)
gic_T_off_R19,18,glaciers_small_icecaps,0.162195920935,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-3.058173907075209,-0.1083127231993163,0.7123260161147443,-0.5084157179426843,"Equilibrium temperature offset T_off, RGI 19","K rel. 1850–1900, glacier frame"
gic_log10_kappa_R19,19,glaciers_small_icecaps,-2.7735015084073384,0.114,-3.906900780980522,-1.6567771449058029,"N(k10c(gic_amp_R19), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.774,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-2.9993056594745644,-2.781931920400102,-2.564383915616748,-2.7815689269878647,"log₁₀ of the response-rate constant κ, RGI 19",log₁₀(yr⁻¹ K⁻ν)
gic_a_SLOWP,20,glaciers_small_icecaps,0.145920024267,0.0327892146787,0.0332566214715,0.2770768829818,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.09079718104989788,0.1316703608778905,0.1768412838907552,0.1324953557055011,"Committed-loss scale a, SLOWG",m SLE
gic_b_SLOWP,21,glaciers_small_icecaps,0.269493082055,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.11462672964213282,0.1709570726337116,0.2864054307561067,0.18192924594153193,"Equilibrium temperature sensitivity b, SLOWG",K⁻¹ (glacier frame)
gic_T_off_SLOWP,22,glaciers_small_icecaps,0.342896725929,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-3.873094642601501,-2.7631445129133176,-1.00644687786866,-2.635812607763666,"Equilibrium temperature offset T_off, SLOWG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_SLOWP,23,glaciers_small_icecaps,-3.4077329224195196,0.114,-4.748442048628195,-2.1692365340734474,"N(k10c(gic_amp_SLOWP), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -3.408,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-3.693294133953701,-3.479120605533792,-3.259300573893652,-3.478572190078316,"log₁₀ of the response-rate constant κ, SLOWG",log₁₀(yr⁻¹ K⁻ν)
gic_a_FAST,24,glaciers_small_icecaps,0.139935475733,0.0242107853213,0.08091770565225,0.2367786170182,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.12169256058950227,0.15092320396945574,0.1831211147422905,0.15141673634274236,"Committed-loss scale a, FASTG",m SLE
gic_b_FAST,25,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.2522564300016785,0.33350391466430673,0.45372733711583446,0.34113711077224285,"Equilibrium temperature sensitivity b, FASTG",K⁻¹ (glacier frame)
gic_T_off_FAST,26,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-2.175206989381404,-1.5213936614552683,-0.935397754051364,-1.5347930391168634,"Equilibrium temperature offset T_off, FASTG","K rel. 1850–1900, glacier frame"
gic_log10_kappa_FAST,27,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-2.7627565359138364,-2.6108587907205223,-2.4568977796780156,-2.609911211921007,"log₁₀ of the response-rate constant κ, FASTG",log₁₀(yr⁻¹ K⁻ν)
gic_amp_R19,28,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.5998557603978015,0.7271647542611711,0.8597997432122358,0.7283622202745708,"Regional/global warming ratio, RGI 19",–
gic_amp_SLOWP,29,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,2.086325606734137,2.64098702228093,3.1888876524777707,2.638493032551574,"Regional/global warming ratio, SLOWG",–
gic_amp_FAST,30,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,1.345873120775731,1.4688957385489791,1.6604310858423112,1.4812104221602205,"Regional/global warming ratio, FASTG",–
gic_u_unch,31,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,21.141219807832414,33.245202956667505,40.81738720863216,32.39765375778472,Uncharted-ice content of the Frederikse glacier target,mm SLE
d2_steric_1,32,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.005609602451794297,0.21066758419838744,0.39097554912522503,0.20596256343604472,"Thermal-expansion discrepancy, basis coefficient 1",cm (RMS)
d2_steric_2,33,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-0.05508484946470063,0.0667984259694805,0.19780327814459805,0.06884814150090708,"Thermal-expansion discrepancy, basis coefficient 2",cm (RMS)
antarctic_kappa,34,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.03325121132253882,0.0551531908246375,0.07727914536979026,0.05523017756209996,Exponential dependence of precipitation on Antarctic temperature κ_DAIS,°C⁻¹
ais_gmst_amp,35,antarctic_icesheet,1.09,0.18,0.55,1.63,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.7623120848414127,1.0410684652619573,1.329708104013818,1.041707892680616,Antarctic/global warming ratio,–
ais_mu,36,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,8.410091803298924,10.869309230883943,13.070602201098145,10.827547143321336,Profile parameter µ,m¹ᐟ²
ais_bedheight0,37,antarctic_icesheet,780.0119260199738,22.981432678137423,740.0018920898438,819.9996337890625,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,748.3485152754492,779.6065035114932,810.8233633783415,779.6470400221625,Bed height at the continent centre b₀,m
ais_slope,38,antarctic_icesheet,0.0006282574195086,6.241869534698466e-05,0.0004504189419094,0.000749991624616,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.00058535035779775,0.00062983075813465,0.000679968255865985,0.0006306912376306839,Bed slope,–
ais_iceflow0,39,antarctic_icesheet,1.236704511362016,0.3409994913939713,0.6000201106071472,1.7999885082244873,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,0.6895355946426648,1.0636703492354962,1.5290057244267647,1.0832585648536652,Ice-flow constant f₀,m yr⁻¹
ais_precip_u,40,antarctic_icesheet,-1.9760223084136732,0.7434692410998681,-1000000000.0,1000000000.0,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw",ladrillo_prior_posterior_table.py | tag L28 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L28) | posterior parameters_subsample_brick_mengel_L28.csv n=10000 | quantiles 5/50/95 over all draws | commit 0f10a94 | 2026-09-21 17:31,-1.776845347658521,-1.6604047757544604,-1.5190117340112554,-1.6556122609426187,"u = ln P₀ + κ_DAIS·T̄ (T̄ = −17.99 °C, DAIS scale); ln P₀ is derived",ln(m yr⁻¹)
