cell,V_m,onset_K,tau_yr,stages,rate_r2300,psi_eff,psi_closed,our_ssp585_2300_cm,passes_rate,band_basis
base (no reservoir),0.0,0.0,1.0,1,2.907216208591791,0.0,,49.94190328175023,False,run
A   V=1.0 tau  800 n=1,1.0,4.69,800.0,1,12.000452927692578,10.201875306553973,0.125,70.90180739674845,True,run
B   V=6.0 tau 2200 n=1,6.0,4.69,2200.0,1,25.987016361074893,25.33012092361139,0.2727272727272727,99.11444129123467,True,run
SHIPPED V=6.0 tau 800 n=2,6.0,4.69,800.0,2,43.805111216618144,40.557194507761565,,98.64329514839665,False,run
