,ais,gsic,gis,steric,dang,kind
ais,1.0,0.00813099907231686,0.051256120682517704,-0.22290415021853535,0.04547346098167832,levels
gsic,0.00813099907231686,0.9999999999999999,0.5202283623281135,0.34380703132892326,0.6755215440178937,levels
gis,0.051256120682517704,0.5202283623281136,0.9999999999999999,0.2332470284897882,0.7323562839199681,levels
steric,-0.22290415021853538,0.34380703132892326,0.23324702848978823,1.0,0.4251262009261309,levels
dang,0.04547346098167833,0.6755215440178937,0.7323562839199681,0.42512620092613085,1.0,levels
ais,1.0,-0.10471034335957351,0.05889639491997554,-0.08060804782447928,-0.020676768110078018,innovations
gsic,-0.10471034335957351,1.0,0.2578523031429599,0.09864289898244522,-0.25254001450394287,innovations
gis,0.05889639491997554,0.2578523031429599,1.0,0.008886436831868882,-0.14991250125214536,innovations
steric,-0.08060804782447928,0.09864289898244522,0.008886436831868882,0.9999999999999999,0.19728437854473507,innovations
dang,-0.020676768110078018,-0.25254001450394287,-0.14991250125214536,0.19728437854473507,1.0,innovations
