year,dt_glob,secant,slope,model,scenario
2000.5,0.5208795799418927,1.5762415880153613,1.6340186679305888,ACCESS-CM2,ssp126
2001.5,0.5443380800893143,1.5627561074872263,1.5982509715372388,ACCESS-CM2,ssp126
2002.5,0.5744743300184704,1.4794593163908156,1.4619798086035354,ACCESS-CM2,ssp126
2003.5,0.6040030431791763,1.5100721062401405,1.4960655938929328,ACCESS-CM2,ssp126
2004.5,0.6326887441918359,1.5623288622786518,1.6140268002148386,ACCESS-CM2,ssp126
2005.5,0.6569476282449784,1.6750140340858757,1.7343040939695347,ACCESS-CM2,ssp126
2006.5,0.6882476255992211,1.7096786318805546,1.7895892537847207,ACCESS-CM2,ssp126
2007.5,0.7345644159532942,1.6674643328646457,1.6985239108318342,ACCESS-CM2,ssp126
2008.5,0.7763104087259232,1.668548062753092,1.7390615359374915,ACCESS-CM2,ssp126
2009.5,0.8192975625421866,1.626027396127935,1.6286044579969894,ACCESS-CM2,ssp126
2010.5,0.8608509605543248,1.573032447176003,1.5197241260947403,ACCESS-CM2,ssp126
2011.5,0.8921293119821049,1.6175663109193574,1.5547263578870711,ACCESS-CM2,ssp126
2012.5,0.9328696806286587,1.6063153676607902,1.5586523058483905,ACCESS-CM2,ssp126
2013.5,0.9750719222263229,1.604245900738903,1.5159858816740677,ACCESS-CM2,ssp126
2014.5,1.0158689503660299,1.5800430732922728,1.4950350260952672,ACCESS-CM2,ssp126
2015.5,1.0497926521457126,1.5591923957259297,1.4637107812493015,ACCESS-CM2,ssp126
2016.5,1.0854966452690973,1.544863979573263,1.49596221100455,ACCESS-CM2,ssp126
2017.5,1.1204314966834943,1.494624362053445,1.480069123345594,ACCESS-CM2,ssp126
2018.5,1.154325698582725,1.459222379370697,1.4400049612155614,ACCESS-CM2,ssp126
2019.5,1.1884576486663245,1.422218601954445,1.4012922290968124,ACCESS-CM2,ssp126
2020.5,1.2271132586150069,1.4027363231129841,1.3833111175775568,ACCESS-CM2,ssp126
2021.5,1.2636254641128175,1.4084397988765278,1.3854453615693159,ACCESS-CM2,ssp126
2022.5,1.307059842045775,1.3941990745407193,1.3657285818091645,ACCESS-CM2,ssp126
2023.5,1.3487845998390544,1.345102276859573,1.2994009013891887,ACCESS-CM2,ssp126
2024.5,1.3921035346939183,1.3871283430289414,1.3314922426259137,ACCESS-CM2,ssp126
2025.5,1.43152999374477,1.3481587898650855,1.2958766362554448,ACCESS-CM2,ssp126
2026.5,1.4653020419987324,1.334490496893793,1.289454625937401,ACCESS-CM2,ssp126
2027.5,1.4989426660714742,1.309246628859367,1.2531692942541002,ACCESS-CM2,ssp126
2028.5,1.5470872536605138,1.3300899677365103,1.2811391519115785,ACCESS-CM2,ssp126
2029.5,1.5841966965991598,1.3173618086142858,1.2774991015826178,ACCESS-CM2,ssp126
2030.5,1.6205102605399568,1.315135617545786,1.286972356232278,ACCESS-CM2,ssp126
2031.5,1.6555177693483074,1.306463648454397,1.2764277181802686,ACCESS-CM2,ssp126
2032.5,1.6963092810828206,1.352247329932246,1.3197170624306984,ACCESS-CM2,ssp126
2033.5,1.7371049081001824,1.3599119171558864,1.3377828478515448,ACCESS-CM2,ssp126
2034.5,1.7727395663452437,1.3269927343142818,1.3176941968787625,ACCESS-CM2,ssp126
2035.5,1.8042886193153929,1.317982482913715,1.3234782906144098,ACCESS-CM2,ssp126
2036.5,1.8366696572265917,1.2911797885409182,1.3031407325057098,ACCESS-CM2,ssp126
2037.5,1.8723036317446675,1.3058771305550663,1.3155331424553525,ACCESS-CM2,ssp126
2038.5,1.9079452182201218,1.3147179805252027,1.3378685951186435,ACCESS-CM2,ssp126
2039.5,1.9334190794529584,1.3159363366446173,1.3309893443432848,ACCESS-CM2,ssp126
2040.5,1.9550553055251954,1.3426533362779758,1.351662823373506,ACCESS-CM2,ssp126
2041.5,1.9868973534595038,1.3449311516329663,1.3593293489401195,ACCESS-CM2,ssp126
2042.5,2.011305736110866,1.3209059649952006,1.3350876013165718,ACCESS-CM2,ssp126
2043.5,2.0354160981640366,1.3333318548613895,1.3450096251335204,ACCESS-CM2,ssp126
2044.5,2.0528285930231904,1.3315934592555996,1.342831661760391,ACCESS-CM2,ssp126
2045.5,2.074663773913907,1.3517054405480107,1.3621717460706766,ACCESS-CM2,ssp126
2046.5,2.1000620268421644,1.310669185297483,1.3250730436105929,ACCESS-CM2,ssp126
2047.5,2.1272475745919035,1.3092279006473553,1.3260321367841896,ACCESS-CM2,ssp126
2048.5,2.153240071886476,1.3495356816039934,1.3685719842460908,ACCESS-CM2,ssp126
2049.5,2.1838515241842704,1.37681216276797,1.3929566842211125,ACCESS-CM2,ssp126
2050.5,2.2039986360650476,1.388939832140222,1.404388993230313,ACCESS-CM2,ssp126
2051.5,2.225357615272666,1.3890739089359683,1.4040527764378732,ACCESS-CM2,ssp126
2052.5,2.250802356587491,1.4150614971786541,1.4298640272530772,ACCESS-CM2,ssp126
2053.5,2.2710956337649955,1.440379696280921,1.4490056682515637,ACCESS-CM2,ssp126
2054.5,2.2890353124003924,1.4011248107240315,1.4088755197807645,ACCESS-CM2,ssp126
2055.5,2.303151937531332,1.4396916586151605,1.4457094996903006,ACCESS-CM2,ssp126
