model,scenario,year,dTg,R
ACCESS-CM2,ssp245,1950,0.16500564129957523,2.0587684278281975
ACCESS-CM2,ssp245,1951,0.15209940511744738,2.122802118094471
ACCESS-CM2,ssp245,1952,0.13794216875948942,2.352532589189928
ACCESS-CM2,ssp245,1953,0.13287613354681488,2.5265729019105962
ACCESS-CM2,ssp245,1954,0.13152748983117704,2.791990300945044
ACCESS-CM2,ssp245,1955,0.1284544361356571,3.060463771612847
ACCESS-CM2,ssp245,1956,0.12402193219795284,3.2831929039241325
ACCESS-CM2,ssp245,1957,0.1136231304587227,3.3569540592732237
ACCESS-CM2,ssp245,1958,0.10934217359094116,3.284921481659294
ACCESS-CM2,ssp245,1959,0.11180549084790907,3.1620580142868713
ACCESS-CM2,ssp245,1960,0.10502462176013788,3.5837240347880623
ACCESS-CM2,ssp245,1961,0.09567810538603491,
ACCESS-CM2,ssp245,1962,0.0925603758622041,
ACCESS-CM2,ssp245,1963,0.09401635222520402,
ACCESS-CM2,ssp245,1964,0.09528309881126802,
ACCESS-CM2,ssp245,1965,0.09800105410126131,
ACCESS-CM2,ssp245,1966,0.10185669049618203,4.030327817024376
ACCESS-CM2,ssp245,1967,0.10461497387460857,3.9130060911158746
ACCESS-CM2,ssp245,1968,0.10406644238716846,3.946607392208893
ACCESS-CM2,ssp245,1969,0.10097539312659667,4.1106000148838175
ACCESS-CM2,ssp245,1970,0.10425561454983191,3.9523716911381883
ACCESS-CM2,ssp245,1971,0.10967989378133894,3.7441983825513985
ACCESS-CM2,ssp245,1972,0.12281007630859904,3.2527053651522175
ACCESS-CM2,ssp245,1973,0.12305394547333132,3.369324007821519
ACCESS-CM2,ssp245,1974,0.12433422933203436,3.441473487748643
ACCESS-CM2,ssp245,1975,0.12829450687316732,3.0613431448114112
ACCESS-CM2,ssp245,1976,0.13367533398529569,3.0517837832208263
ACCESS-CM2,ssp245,1977,0.13823564339029606,2.872504631759114
ACCESS-CM2,ssp245,1978,0.13265221850076994,3.1171234736821707
ACCESS-CM2,ssp245,1979,0.1378397946192706,3.0784759394914083
ACCESS-CM2,ssp245,1980,0.15015648521163788,3.0989312260220356
ACCESS-CM2,ssp245,1981,0.1638768392958582,3.10750125698799
ACCESS-CM2,ssp245,1982,0.18394557752586327,2.9013295603352396
ACCESS-CM2,ssp245,1983,0.19687113762773453,2.723509358073777
ACCESS-CM2,ssp245,1984,0.2060222433428521,2.5353165093450367
ACCESS-CM2,ssp245,1985,0.21878506788708402,2.3593012997839313
ACCESS-CM2,ssp245,1986,0.23857943925441608,2.1883329567218412
ACCESS-CM2,ssp245,1987,0.2558741898641339,2.177310836272617
ACCESS-CM2,ssp245,1988,0.2698881075957369,2.154366316920247
ACCESS-CM2,ssp245,1989,0.2850358436589905,2.153371961294122
ACCESS-CM2,ssp245,1990,0.3011080606459927,1.9687198319170465
ACCESS-CM2,ssp245,1991,0.32090781729377416,1.9195506039707153
ACCESS-CM2,ssp245,1992,0.337914079238639,1.8441465694337515
ACCESS-CM2,ssp245,1993,0.3491422060901243,1.8744547729255507
ACCESS-CM2,ssp245,1994,0.3660524590845853,1.8821798764559707
ACCESS-CM2,ssp245,1995,0.37622246593504466,1.8008225912925027
ACCESS-CM2,ssp245,1996,0.397295553769671,1.7567844428817647
ACCESS-CM2,ssp245,1997,0.42002681670960934,1.6988866140827732
ACCESS-CM2,ssp245,1998,0.4487180148411956,1.6087328550645004
ACCESS-CM2,ssp245,1999,0.47087775068003074,1.6091250241267157
ACCESS-CM2,ssp245,2000,0.4962810003719047,1.5533364737251703
ACCESS-CM2,ssp245,2001,0.5208146832582182,1.5079132235769812
ACCESS-CM2,ssp245,2002,0.5377001070371629,1.4515483426293432
ACCESS-CM2,ssp245,2003,0.569654679352008,1.422211318515035
ACCESS-CM2,ssp245,2004,0.60213901898735,1.3489233870916688
ACCESS-CM2,ssp245,2005,0.6274005660803671,1.304289870381296
ACCESS-CM2,ssp245,2006,0.6506321079730488,1.2550999513911103
ACCESS-CM2,ssp245,2007,0.6790929259575894,1.2631355975488838
ACCESS-CM2,ssp245,2008,0.7252153928501647,1.226038231500744
ACCESS-CM2,ssp245,2009,0.766658907718653,1.229897915614561
ACCESS-CM2,ssp245,2010,0.8045248280848568,1.1943122400381232
ACCESS-CM2,ssp245,2011,0.8434321804113704,1.1646502505270955
ACCESS-CM2,ssp245,2012,0.8772063053105341,1.1588799218858168
ACCESS-CM2,ssp245,2013,0.920064550076133,1.150771375035149
ACCESS-CM2,ssp245,2014,0.9606207655499588,1.1348225258544984
ACCESS-CM2,ssp245,2015,0.9964277399361682,1.1505593779173853
ACCESS-CM2,ssp245,2016,1.0252566762436781,1.1320839462057883
ACCESS-CM2,ssp245,2017,1.0623191104241794,1.1201401486917122
ACCESS-CM2,ssp245,2018,1.0951579549298363,1.1234528659790406
