tag,ssp,component,horizon,chain_med_min,chain_med_max,range_cm,sd_of_medians_cm,pooled_med_cm,mean_within_sd_cm,rhat
L23b,ssp245,glaciers,2100,9.707212281633531,9.9095841835963,0.20237190196276877,0.09165019565748184,9.829513685900045,1.3584950309102035,0.9996241424250026
L23b,ssp245,glaciers,2150,13.63515859797439,13.999162348644916,0.36400375067052515,0.1527684674592897,13.785389391515428,1.8241999850619737,1.0000741008531278
L23b,ssp245,glaciers,2300,18.801370166464963,19.22510583438006,0.4237356679150963,0.18380184555435655,19.040571725270006,2.480931735445701,1.000568166854613
L23b,ssp245,gis,2100,8.378152505699418,8.457796936290682,0.07964443059126403,0.037602855876023925,8.431076054901386,0.682393467570495,1.0004695484174089
L23b,ssp245,gis,2150,12.267079753958681,12.421604149705574,0.15452439574689336,0.07057369410113391,12.386293835392607,1.2069754411079119,1.0012972740199815
L23b,ssp245,gis,2300,18.04571497900949,18.39615525937218,0.35044028036269026,0.14881660614892933,18.199985129961426,2.417673780492258,1.0020163062381475
L23b,ssp245,ais,2100,11.208386845009452,20.349803153753683,9.141416308744232,3.804483021537521,14.648220995700683,17.73375257791655,1.0054054278792532
L23b,ssp245,ais,2150,56.37457391459534,62.50551409817267,6.13094018357733,2.8172645477917326,57.85015679376762,38.40539211567819,1.0012546943431557
L23b,ssp245,ais,2300,192.1850216696456,200.3262462079104,8.141224538264794,3.513270212017141,196.92038960443983,90.36110860640528,0.9993994675584382
L23b,ssp245,te,2100,20.600314178202687,20.681957266846872,0.08164308864418501,0.03535222903536832,20.64108637627217,1.1525661002274694,0.9991654737903832
L23b,ssp245,te,2150,30.351636323971363,30.471925816328504,0.12028949235714137,0.052086487110882075,30.411708365457166,1.6981424074811926,0.9991654737903833
L23b,ssp245,te,2300,47.50303709916657,47.69130095937786,0.18826386021129338,0.08152003085378566,47.59705523989752,2.6577453986735247,0.9991654737903833
L23b,ssp245,total,2100,53.69108307071829,61.58870542310143,7.897622352383138,3.4658572245686385,56.209913362119934,17.835976351059443,1.005332218376129
L23b,ssp245,total,2150,117.43084836492676,122.41676983836712,4.9859214734403565,2.260472019972825,118.4063235436751,38.544443430987684,1.0012686071480519
L23b,ssp245,total,2300,288.128377502539,292.81459723493015,4.686219732391123,1.952347364747593,290.94889929023896,90.6713871591786,0.9994599620555626
L23b,ssp245,sens_ais_gmst_amp,2100,NaN,NaN,NaN,NaN,78.17953262014743,0.43936671098993557,10.984224333130715
L23b,ssp245,sens_ais_gmst_amp,2150,NaN,NaN,NaN,NaN,161.58028121809303,0.42144321226034454,22.702029511142072
L23b,ssp245,sens_ais_gmst_amp,2300,NaN,NaN,NaN,NaN,315.88777403818534,0.3506103945713833,44.38223225236504
L23b,ssp245,sens_ais_runoff_Ton,2100,NaN,NaN,NaN,NaN,45.52308701199663,0.2479088557355029,3.6418469609597306
L23b,ssp245,sens_ais_runoff_Ton,2150,NaN,NaN,NaN,NaN,90.52820458687492,0.22880255391434076,7.242256366949994
L23b,ssp245,sens_ais_runoff_Ton,2300,NaN,NaN,NaN,NaN,169.69863257942364,0.18251416231386608,13.575890606353893
L23b,ssp245,sens_ais_iceflow0,2100,NaN,NaN,NaN,NaN,7.40227934147842,0.08875320543201125,0.7158004123209631
L23b,ssp245,sens_ais_iceflow0,2150,NaN,NaN,NaN,NaN,10.184485152404443,0.056672749201635356,0.9848397142375096
L23b,ssp245,sens_ais_iceflow0,2300,NaN,NaN,NaN,NaN,19.661485299597274,0.04655783646336157,1.9012656284710563
L23b,ssp245,sens_ais_slope,2100,NaN,NaN,NaN,NaN,-29518.80161403039,-0.04151067264780394,0.4575414250174711
L23b,ssp245,sens_ais_slope,2150,NaN,NaN,NaN,NaN,-41057.610904513815,-0.02679608505950129,0.6363929690199641
L23b,ssp245,sens_ais_slope,2300,NaN,NaN,NaN,NaN,-155749.61605862924,-0.043255956908658924,2.4141190489087534
