built            2026-09-24 06:11:17
argv             python/prep_recalib_targets_ext.py --ais-frederikse
commit           f7d101b
file             recalib_targets_ext.csv
md5              070f74abe11080da7b77a80b67c54033
ais_source       frederikse
reproduces       L27 and earlier (the SHIPPED champion and the GMD draft's posterior)
ais_composition  Frederikse 1900-2018; GRACE 2019-2026 offset-matched over (2003, 2018)
span             1900-2026
baseline         1995-2005
lws_grace_tag    L14
units            cm SLE
