year,ssp_label,calib,weighting,p05,p50,p95
2000,SSP1-1.9,v2.0.0,unweighted,-1.6929715670238754,-1.4425883821097274,-1.2447494442816927
2000,SSP1-1.9,v2.0.0,dangendorf,-1.6962794570887256,-1.4390545300551865,-1.2421853181826814
2010,SSP1-1.9,v2.0.0,unweighted,1.4704573360963213,1.6947598613661992,1.9674024966699994
2010,SSP1-1.9,v2.0.0,dangendorf,1.4672917145669846,1.688456307306463,1.9738039156953102
2020,SSP1-1.9,v2.0.0,unweighted,4.616047398797704,5.328512638141673,6.190770452033511
2020,SSP1-1.9,v2.0.0,dangendorf,4.636821009503661,5.33215341159213,6.222327556966412
2030,SSP1-1.9,v2.0.0,unweighted,8.45801138026552,9.751926594183717,11.329934812052755
2030,SSP1-1.9,v2.0.0,dangendorf,8.508636397243329,9.764050965673803,11.411845135206667
2040,SSP1-1.9,v2.0.0,unweighted,12.188803770489544,14.062872667501367,16.41160294443133
2040,SSP1-1.9,v2.0.0,dangendorf,12.254751575268713,14.097401527112845,16.468183127618435
2050,SSP1-1.9,v2.0.0,unweighted,15.78422233236979,18.222136581605348,21.28764676244743
2050,SSP1-1.9,v2.0.0,dangendorf,15.875257634489559,18.26949917989129,21.369057352079874
2060,SSP1-1.9,v2.0.0,unweighted,19.1523088773185,22.127719745252094,25.911335644976475
2060,SSP1-1.9,v2.0.0,dangendorf,19.26230891520413,22.176296281944435,25.91767974131749
2070,SSP1-1.9,v2.0.0,unweighted,22.413099356332957,25.85436911174017,30.22426613230265
2070,SSP1-1.9,v2.0.0,dangendorf,22.48898695219258,25.90330612705889,30.339836946679057
2080,SSP1-1.9,v2.0.0,unweighted,25.440063256771115,29.335862039075913,34.300982158545175
2080,SSP1-1.9,v2.0.0,dangendorf,25.5326399949456,29.391127922836745,34.50939166721659
2090,SSP1-1.9,v2.0.0,unweighted,28.36926916995544,32.69662607454883,38.2133779350945
2090,SSP1-1.9,v2.0.0,dangendorf,28.46580964118942,32.73123135023261,38.41542278745311
