component,ssp,year,ord_cm,l11_cm,inv_cm,ord_minus_inv_cm,l11_p05_p95_width_cm,delta_as_pct_of_band,l11_between
gis,SSP1-2.6,2100,6.39280229690169,6.334211283605583,6.2467301671179705,0.14607212978371997,1.6591413141768365,8.804080070550949,True
gis,SSP1-2.6,2150,7.570295721289242,7.410488965894878,7.277593641802165,0.2927020794870776,2.729151197476166,10.725022481633093,True
gis,SSP1-2.6,2300,8.846411464883492,8.310475153864592,7.952601709929891,0.8938097549536002,4.664272520661249,19.162897343461523,True
gis,SSP2-4.5,2100,8.416195553473122,8.34770607654361,8.229445814631738,0.18674973884138346,2.2663263756143452,8.240196154040708,True
gis,SSP2-4.5,2150,12.137779759823829,11.916716727348447,11.59402632233986,0.5437534374839696,4.35336895022111,12.490405561797193,True
gis,SSP2-4.5,2300,16.446892818247747,15.606724521400338,14.9196079228984,1.5272848953493465,8.89820691697014,17.16396246570304,True
gis,SSP5-8.5,2100,13.973883469194648,13.78601971725981,13.593961572690926,0.3799218965037223,4.793858989244402,7.925178803884776,True
gis,SSP5-8.5,2150,27.820605259514508,27.1059773948475,26.349738201039003,1.4708670584755055,11.616586241688474,12.661784003264238,True
gis,SSP5-8.5,2300,44.507276409809535,41.974078491525454,40.153730416669774,4.353545993139761,26.120487561764428,16.667169718196796,True
ais,SSP1-2.6,2100,4.663452108624044,4.688000298844051,4.740481655033829,-0.07702954640978454,1.6572708838554284,-4.647975606171586,True
ais,SSP1-2.6,2150,7.187138061791609,7.226768763895975,7.306760783939272,-0.11962272214766312,2.644917766556758,-4.522738803459737,True
ais,SSP1-2.6,2300,14.313804921408073,14.371363674878726,14.529222391408522,-0.21541747000044964,5.309232634631588,-4.057412526912143,True
ais,SSP2-4.5,2100,5.874184320182451,5.895336860927523,5.900778552757652,-0.026594232575201104,33.11926067355131,-0.0802983884131175,True
ais,SSP2-4.5,2150,12.660393800370732,12.15715911451231,12.433372737106216,0.227021063264516,92.71406883577698,0.24486150388527866,False
ais,SSP2-4.5,2300,136.19905767575176,132.9064887221395,135.2370311010353,0.9620265747164467,281.97040356672915,0.34117998291575313,False
ais,SSP5-8.5,2100,37.3763787580101,37.1824378184228,37.54788470768629,-0.17150594967619526,48.703603467902546,-0.3521422183662939,False
ais,SSP5-8.5,2150,96.270933169489,96.65888527998077,96.73228106423622,-0.46134789474722027,91.32042477589974,-0.5051968339825047,True
ais,SSP5-8.5,2300,287.1320397371088,288.58406272163563,286.1372868336761,0.9947529034326976,241.43356898794724,0.41201930104523177,False
total,SSP1-2.6,2100,35.18221481407426,35.135046699128786,35.087692418734534,0.09452239533972318,4.920959335700843,1.9208123638408667,True
total,SSP1-2.6,2150,45.79545479667828,45.68565419319895,45.61113421221661,0.18432058446166621,6.401218389391261,2.879460959606389,True
total,SSP1-2.6,2300,66.63301300333346,66.27689335977016,66.05388809644535,0.5791249068881115,9.815039373433066,5.900382921088043,True
total,SSP2-4.5,2100,45.358051348530566,45.28081531753938,45.139793706259056,0.21825764227151012,35.01367560774522,0.6233497011757038,True
total,SSP2-4.5,2150,71.47950569237152,70.95662010740122,70.82284648912346,0.6566592032480543,94.54679222788158,0.6945335613981913,True
total,SSP2-4.5,2300,222.22247343141532,218.333834268611,219.166190103331,3.0562833280843336,283.00769897685154,1.0799293938410914,False
total,SSP5-8.5,2100,95.417696873116,95.07644093657812,94.56410046339366,0.8535964097223427,49.594781510978805,1.7211415873127336,True
total,SSP5-8.5,2150,199.50529244022815,199.00773345262803,198.05992000581247,1.445372434415674,91.82279229897844,1.574088957902181,True
total,SSP5-8.5,2300,468.2964088471683,467.07969582772137,464.85926505783175,3.4371437893365737,241.3998833621464,1.42383821461098,True
