product,zone,season,amp_early,amp_modern,corr_meltrate
HadCRUT5,all,annual,3.459911772884829,1.9037970937444286,0.6893611078967872
HadCRUT5,south,annual,3.084884185668841,1.5629946806749806,0.707298849231199
HadCRUT5,central,annual,3.93450492342797,2.2013699711869013,0.6913494549684855
HadCRUT5,north,annual,3.93804123333172,2.4638306346326226,0.6257098595448272
HadCRUT5,all,JJA,2.2307478498111473,1.6367703242962544,0.670687599665644
HadCRUT5,south,JJA,2.007146573307042,1.4496726578907173,0.6859273184003213
HadCRUT5,central,JJA,2.5823057784035273,2.0520389182954584,0.607861909775792
HadCRUT5,north,JJA,2.444561322001317,1.7161496668576282,0.6589332578723146
BerkeleyEarth,all,annual,2.5236594676971436,1.6112219095230103,0.7108497485742002
BerkeleyEarth,south,annual,2.6038029193878174,1.4954766035079956,0.7111288928064319
BerkeleyEarth,central,annual,2.5231361389160156,1.617398738861084,0.7233631029830228
BerkeleyEarth,north,annual,2.381344795227051,1.8048659563064575,0.6617821635806953
BerkeleyEarth,all,JJA,1.0347905158996582,1.0425692796707153,0.6867725501167316
BerkeleyEarth,south,JJA,0.7206127047538757,0.935485303401947,0.6934043052307238
BerkeleyEarth,central,JJA,1.19468355178833,1.0821619033813477,0.7081129353986823
BerkeleyEarth,north,JJA,1.3615012168884277,1.1759451627731323,0.5956477992629567
GISTEMP,all,annual,3.9760043621063232,2.134488105773926,0.7329694626757778
GISTEMP,south,annual,3.103698253631592,1.5576549768447876,0.7314269783866939
GISTEMP,central,annual,5.118471145629883,2.8709163665771484,0.7406062462800622
GISTEMP,north,annual,6.615728378295898,3.782896041870117,0.6718459529219891
GISTEMP,all,JJA,1.1509604454040527,1.0076099634170532,0.7282038125719489
GISTEMP,south,JJA,1.0084573030471802,0.8019616603851318,0.7123615341637166
GISTEMP,central,JJA,1.3405805826187134,1.3064422607421875,0.7436988023766185
GISTEMP,north,JJA,1.637131929397583,1.5688629150390625,0.6887481475028214
HadCRUT5,periphery(r05),annual,3.557742411005297,1.9079276221655614,0.7137331158555835
