transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
P,pub,0.65000,300.00000,0.00606,1.50000,,0.07646,0.99000,-45.88582,-41.37589,-10.05667,30.95829,21.86273,1.35604,-36.15983,-32.32313,-6.23299,10.75342,18.62693,18.18857,0.48797,87.10258,46.97369,54.57031,64.89086,79.03083,72.37803,10.72419,13.17059,17.27081,6.54662,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,463.00000,0.01138,0.50000,,0.05384,0.99000,-38.99186,-34.50989,-9.84085,38.57091,14.25011,1.04930,-37.65711,-32.70605,-5.36971,12.37907,24.73720,26.70345,0.31561,92.70778,45.94981,53.69312,64.21294,78.62594,72.37803,9.07433,10.72485,13.34490,4.27057,True,True,True,False,3,False,P_grid,,
P,pub,0.65000,463.00000,0.00925,1.00000,,0.06656,0.99000,-42.58211,-38.36188,-9.78829,34.51345,18.30757,1.20212,-37.11623,-32.60422,-5.94624,11.44403,21.53276,22.20669,0.41939,88.83698,46.66104,54.30246,64.68385,78.90719,72.37803,9.72681,11.83459,15.33774,5.61093,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,463.00000,0.00720,1.50000,,0.07822,0.99000,-46.42123,-42.08862,-9.87298,30.74927,22.07175,1.34897,-36.64877,-32.59724,-6.45132,10.59009,18.56128,18.35600,0.50796,85.88470,47.19104,54.75653,65.03477,79.11678,72.37803,10.18567,12.59465,16.57111,6.38544,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,700.00000,0.01236,0.50000,,0.05652,0.99000,-40.38031,-35.55058,-10.15702,38.43323,14.38780,1.03436,-38.42837,-33.24613,-5.69522,12.12182,24.81856,26.98872,0.33847,91.06462,46.25403,53.95376,64.41437,78.74624,72.37803,8.72120,10.38384,13.00857,4.28737,True,True,True,False,3,False,P_grid,,
P,pub,0.65000,700.00000,0.01018,1.00000,,0.06838,0.99000,-43.65819,-39.11428,-10.09659,34.47908,18.34194,1.18889,-37.75722,-33.00629,-6.20210,11.26798,21.65028,22.42782,0.44045,87.36408,46.92678,54.53013,64.85980,79.01228,72.37803,9.33054,11.42995,14.88872,5.55818,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,700.00000,0.00804,1.50000,,0.07963,0.99000,-47.31392,-42.67928,-10.16874,30.68829,22.13274,1.33683,-37.13728,-32.88413,-6.66253,10.45225,18.62175,18.52582,0.52640,84.64111,47.41115,54.94511,65.18051,79.20382,72.37803,9.75548,12.13874,16.03438,6.27890,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,1000.00000,0.01297,0.50000,,0.05861,0.99000,-42.46469,-36.32134,-11.45082,38.26644,14.55459,1.02277,-38.93091,-33.61619,-5.94650,11.92177,24.82714,27.15013,0.35501,89.86275,46.47439,54.14255,64.56027,78.83338,72.37803,8.47545,10.14418,12.76917,4.29373,True,True,True,False,3,False,P_grid,,
P,pub,0.65000,1000.00000,0.01077,1.00000,,0.06977,0.99000,-45.51129,-39.66662,-11.38628,34.44024,18.38079,1.17818,-38.20293,-33.29984,-6.39960,11.13252,21.73082,22.56729,0.45559,86.28308,47.12014,54.69578,64.98782,79.08874,72.37803,9.05950,11.15293,14.58345,5.52396,True,True,True,True,4,False,P_grid,,
P,pub,0.65000,1000.00000,0.00858,1.50000,,0.08065,0.99000,-49.02467,-43.10180,-11.45168,30.67056,22.15046,1.32630,-37.50004,-33.10580,-6.82430,10.35073,18.69442,18.63837,0.54002,83.68652,47.57888,55.08880,65.29156,79.27015,72.37803,9.46461,11.83199,15.67942,6.21481,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,150.00000,0.00701,0.50000,,0.05165,0.99000,-38.99440,-33.02867,-11.44194,37.71240,15.10863,1.10609,-35.38934,-31.44607,-4.99014,12.61708,23.72520,25.29573,0.27107,96.31564,45.26960,53.11036,63.76257,78.35695,72.37803,10.37610,12.10616,14.94395,4.56785,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,150.00000,0.00537,1.00000,,0.06675,0.99000,-43.84940,-38.00215,-11.45104,33.50805,19.31297,1.27222,-35.63177,-31.87236,-5.67747,11.49497,20.51199,20.63464,0.39949,90.97757,46.27005,53.96748,64.42497,78.75258,72.37803,11.46550,13.88233,18.13334,6.66784,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,150.00000,0.00384,1.50000,,0.08005,0.99000,-48.65697,-42.50115,-11.63273,29.99200,22.82902,1.42482,-36.01413,-32.35075,-6.30645,10.54227,17.85893,16.55405,0.52125,85.81327,47.20374,54.76741,65.04317,79.12180,72.37803,12.24527,15.16532,20.32769,8.08242,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,300.00000,0.00821,0.50000,,0.05293,0.99000,-39.13300,-33.56760,-11.02190,37.58172,15.23930,1.10801,-35.83377,-31.67634,-5.06870,12.51588,23.66913,25.53842,0.28361,95.58024,45.40964,53.23033,63.85528,78.41233,72.37803,10.12891,11.89819,14.79016,4.66125,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,300.00000,0.00639,1.00000,,0.06847,0.99000,-44.02285,-38.61250,-11.00882,33.11768,19.70334,1.28254,-35.86426,-32.00290,-5.79804,11.35754,20.24079,20.52597,0.41445,90.27643,46.39875,54.07774,64.51018,78.80347,72.37803,11.13226,13.55401,17.76293,6.63066,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,300.00000,0.00468,1.50000,,0.08224,0.99000,-48.91355,-43.20948,-11.15615,29.27478,23.54624,1.44662,-36.00482,-32.37125,-6.43985,10.36481,17.30692,16.15964,0.53468,85.46844,47.26492,54.81983,65.08369,79.14600,72.37803,11.85071,14.73249,19.73706,7.88636,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,463.00000,0.00884,0.50000,,0.05376,0.99000,-39.36215,-33.92349,-10.86708,37.54747,15.27356,1.10642,-36.17572,-31.86931,-5.14647,12.44275,23.68952,25.91249,0.28934,95.19815,45.48211,53.29242,63.90327,78.44099,72.37803,9.94329,11.73695,14.65837,4.71508,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,463.00000,0.00693,1.00000,,0.06937,0.99000,-44.20415,-38.95400,-10.84427,32.97881,19.84221,1.28425,-36.08329,-32.12276,-5.88635,11.28057,20.16709,20.74107,0.42085,89.93177,46.46179,54.13175,64.55192,78.82840,72.37803,10.90271,13.33002,17.51868,6.61598,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,463.00000,0.00514,1.50000,,0.08328,0.99000,-49.09025,-43.56808,-10.97631,28.98759,23.83343,1.45302,-36.09045,-32.42405,-6.52800,10.27555,17.10124,16.25935,0.53953,85.33719,47.28818,54.83975,65.09908,79.15519,72.37803,11.58944,14.45639,19.38915,7.79971,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,700.00000,0.00930,0.50000,,0.05447,0.99000,-39.99853,-34.22571,-11.17556,37.53620,15.28482,1.10374,-36.47034,-32.04585,-5.22775,12.37630,23.72939,26.23641,0.29408,94.85948,45.54619,53.34732,63.94570,78.46633,72.37803,9.78369,11.59522,14.53698,4.75329,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,700.00000,0.00734,1.00000,,0.07005,0.99000,-44.77457,-39.21801,-11.14627,32.90682,19.91420,1.28362,-36.28378,-32.23532,-5.96571,11.22010,20.14609,20.95996,0.42581,89.63143,46.51660,54.17871,64.58821,78.85007,72.37803,10.71183,13.14319,17.31657,6.60474,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,700.00000,0.00549,1.50000,,0.08400,0.99000,-49.63715,-43.82782,-11.26815,28.81858,24.00245,1.45529,-36.19153,-32.48274,-6.60213,10.21105,16.99055,16.40580,0.54315,85.19700,47.31299,54.86101,65.11551,79.16501,72.37803,11.37560,14.23252,19.11556,7.73996,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,1000.00000,0.00961,0.50000,,0.05499,0.99000,-41.52253,-34.44287,-12.46394,37.53208,15.28894,1.10129,-36.67872,-32.17607,-5.29313,12.32614,23.76482,26.45919,0.29750,94.60613,45.59403,53.38830,63.97737,78.48524,72.37803,9.67044,11.49329,14.44741,4.77697,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,1000.00000,0.00760,1.00000,,0.07049,0.99000,-46.24140,-39.39684,-12.43075,32.87239,19.94863,1.28236,-36.43057,-32.31975,-6.02467,11.17836,20.14695,21.12033,0.42926,89.40788,46.55732,54.21360,64.61518,78.86618,72.37803,10.57891,13.01272,17.17598,6.59706,True,True,True,True,4,False,P_grid,,
P,pub,0.80000,1000.00000,0.00572,1.50000,,0.08445,0.99000,-51.07964,-43.99573,-12.54651,28.72770,24.09332,1.45566,-36.27398,-32.53029,-6.65502,10.16927,16.93725,16.52416,0.54568,85.07628,47.33434,54.87930,65.12965,79.17345,72.37803,11.22805,14.07872,18.93085,7.70280,True,True,True,True,4,False,P_grid,,
P2,pub,0.10000,,,0.50000,,0.05557,0.99000,-33.31237,-34.23669,-4.60138,36.55627,16.26476,1.15004,-35.35267,-31.50510,-5.16056,12.32075,22.83155,24.34165,0.29668,95.41846,45.44034,53.25664,63.87562,78.42447,72.37803,10.79708,12.72307,15.94202,5.14494,True,True,True,True,4,False,P2_grid,0.00824,0.00657
P2,pub,0.10000,,,1.00000,,0.07343,0.99000,-39.20740,-40.21380,-4.56529,31.67121,21.14981,1.35189,-35.76406,-32.05613,-5.99496,11.00913,19.11683,18.71919,0.45660,88.68176,46.68917,54.32656,64.70247,78.91832,72.37803,12.14978,14.93759,19.93917,7.78939,True,True,True,True,4,False,P2_grid,0.00838,0.00485
P2,pub,0.10000,,,1.50000,,0.08763,0.99000,-49.12011,-45.02673,-9.44615,27.93299,24.88804,1.50906,-36.27687,-32.59691,-6.73977,9.97773,16.32200,14.86642,0.58415,83.35627,47.63665,55.13830,65.32981,79.29300,72.37803,12.23645,15.43285,21.06444,8.82799,True,True,True,True,4,False,P2_grid,0.00010,0.00460
P2,pub,0.10000,,,2.00000,,0.10222,0.99000,-50.20101,-50.07943,-4.90706,25.30060,27.52042,1.63213,-37.76383,-33.71018,-7.55602,9.00149,14.59053,10.11547,0.77133,73.50857,49.30280,56.56575,66.43298,79.95187,72.37803,13.56310,17.44471,24.39247,10.82937,True,True,True,True,4,False,P2_grid,0.01222,0.00193
P2,pub,0.20000,,,0.50000,,0.05558,0.99000,-33.08085,-34.23439,-4.37167,36.54482,16.27620,1.15047,-35.34032,-31.50030,-5.16080,12.31957,22.82150,24.35375,0.29611,95.46020,45.43242,53.24985,63.87037,78.42134,72.37803,10.80013,12.72688,15.94705,5.14692,True,True,True,True,4,False,P2_grid,0.00763,0.00651
P2,pub,0.20000,,,1.00000,,0.07344,0.99000,-38.98455,-40.21661,-4.34129,31.66595,21.15507,1.35174,-35.76766,-32.05796,-5.99805,11.00720,19.11323,18.79388,0.45549,88.75072,46.67668,54.31585,64.69420,78.91338,72.37803,12.13308,14.91887,19.91425,7.78118,True,True,True,True,4,False,P2_grid,0.00761,0.00464
P2,pub,0.20000,,,1.50000,,0.08865,0.99000,-44.60048,-45.47064,-4.43463,28.06462,24.75640,1.50662,-36.69554,-32.82783,-6.81572,9.92379,16.49863,14.39085,0.61164,81.53866,47.95237,55.40879,65.53885,79.41785,72.37803,12.86850,16.26150,22.40721,9.53871,True,True,True,True,4,False,P2_grid,0.00956,0.00281
P2,pub,0.20000,,,2.00000,,0.10106,0.99000,-49.64638,-49.85008,-4.72056,25.97452,26.84650,1.57077,-38.29416,-33.95756,-7.67750,9.03214,15.23081,11.29559,0.76694,73.00229,49.38560,56.63669,66.48780,79.98461,72.37803,13.11456,16.95214,23.90310,10.78854,True,True,True,True,4,False,P2_grid,0.01248,0.00149
P2,pub,0.30000,,,0.50000,,0.05559,0.99000,-33.00548,-34.23220,-4.29842,36.53807,16.28295,1.15073,-35.33187,-31.49693,-5.16080,12.31903,22.81548,24.35705,0.29580,95.48352,45.42800,53.24606,63.86744,78.41959,72.37803,10.80280,12.73001,15.95100,5.14820,True,True,True,True,4,False,P2_grid,0.00732,0.00649
P2,pub,0.30000,,,1.00000,,0.07344,0.99000,-38.91701,-40.21638,-4.27508,31.66385,21.15718,1.35158,-35.76999,-32.05903,-5.99992,11.00631,19.11185,18.84513,0.45470,88.79855,46.66801,54.30843,64.68846,78.90995,72.37803,12.12016,14.90429,19.89473,7.77458,True,True,True,True,4,False,P2_grid,0.00716,0.00445
P2,pub,0.30000,,,1.50000,,0.08828,0.99000,-44.45207,-45.41121,-4.38373,28.32636,24.49466,1.48600,-36.93766,-32.93707,-6.86634,9.93450,16.74680,14.95281,0.60983,81.38733,47.97848,55.43116,65.55614,79.42817,72.37803,12.62792,15.98321,22.07496,9.44703,True,True,True,True,4,False,P2_grid,0.00949,0.00234
P2,pub,0.30000,,,2.00000,,0.09957,0.99000,-49.17346,-49.51471,-4.71828,26.69222,26.12880,1.50051,-38.79208,-34.19907,-7.81684,9.06697,15.91229,12.57967,0.75717,72.74316,49.42787,56.67291,66.51579,80.00133,72.37803,12.47010,16.22133,23.12570,10.65560,True,True,True,True,4,False,P2_grid,0.01217,0.00107
P2,pub,0.50000,,,0.50000,,0.05559,0.99000,-33.33050,-34.22897,-4.62676,36.53006,16.29096,1.15105,-35.32087,-31.49248,-5.16071,12.31850,22.80825,24.35733,0.29546,95.50962,45.42305,53.24182,63.86416,78.41763,72.37803,10.80679,12.73454,15.95661,5.14981,True,True,True,True,4,False,P2_grid,0.00698,0.00649
P2,pub,0.50000,,,1.00000,,0.07344,0.99000,-39.25721,-40.21212,-4.62138,31.66669,21.15434,1.35100,-35.77769,-32.06216,-6.00296,11.00581,19.11488,18.93578,0.45339,88.87337,46.65444,54.29680,64.67948,78.90458,72.37803,12.09248,14.87273,19.85234,7.75987,True,True,True,True,4,False,P2_grid,0.00663,0.00397
P2,pub,0.50000,,,1.50000,,0.08688,0.99000,-44.50972,-45.10534,-4.83875,29.10148,23.71954,1.42224,-37.54801,-33.23021,-7.02183,9.97135,17.47949,16.57656,0.59892,81.25886,48.00063,55.45013,65.57080,79.43693,72.37803,11.68000,14.85365,20.62640,8.94640,True,True,True,True,4,False,P2_grid,0.00946,0.00121
P2,pub,0.50000,,,2.00000,,0.09547,0.99000,-48.51641,-48.38115,-5.41881,27.78371,25.03731,1.37550,-39.09320,-34.32026,-7.97753,9.19236,16.88591,15.05106,0.70899,74.39990,49.15637,56.44030,66.33603,79.89397,72.37803,10.27322,13.49854,19.58522,9.31200,True,True,True,True,4,False,P2_grid,0.01046,0.00032
P,pub,0.02000,126.32269,0.00979,0.00000,,0.03232,0.99000,-32.51114,-27.29657,-10.28474,43.12297,9.69805,0.92607,-35.33026,-31.04781,-4.23167,14.11832,27.88131,29.90312,0.14494,101.26992,44.30716,52.28579,63.12532,77.97635,72.37803,8.85162,9.77271,11.03406,2.18244,True,True,True,False,3,False,P_free,,
R,pub,,,0.01263,0.92861,0.00068,0.00500,0.03082,-16.71202,-19.14913,-2.65675,52.48443,0.33659,0.68464,-35.80799,-30.56898,-5.25659,16.78777,35.69667,29.72766,0.12723,99.05935,44.74074,52.65726,63.41240,78.14781,72.37803,6.53834,6.53834,6.53834,0.00000,True,True,True,False,3,False,R_free,,
N1,t2,,,0.00708,0.50000,,0.05761,0.99000,-32.13273,-34.94668,-2.74047,36.05188,16.76915,1.16842,-35.50687,-31.59927,-5.25711,12.16808,22.46045,23.61112,0.31985,94.30169,44.19875,52.07290,62.80569,77.59901,73.69345,10.91054,12.90860,16.25135,5.34081,True,True,True,True,4,False,N1_nu0.5,,
N1,t2,,,0.00545,1.00000,,0.07544,0.99000,-38.10042,-40.89656,-2.74739,31.13786,21.68316,1.37460,-35.83117,-32.11896,-6.09314,10.86306,18.71754,17.88528,0.47944,87.65056,45.45537,53.15220,63.64329,78.10347,73.69345,12.25878,15.11924,20.24427,7.98549,True,True,True,True,4,False,N1_nu1.0,,
P,t2,0.20000,150.00000,0.01161,0.50000,,0.03960,0.99000,-34.65682,-30.56739,-9.48584,42.06627,10.75475,0.95097,-37.21476,-32.08177,-4.48855,13.53508,27.23978,26.40887,0.26876,94.08612,44.24038,52.10866,62.83345,77.61573,73.69345,8.91068,10.04137,11.71619,2.80551,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,150.00000,0.01003,1.00000,,0.04515,0.99000,-35.86084,-31.90391,-9.42911,40.36515,12.45587,1.00295,-36.83246,-31.98884,-4.74326,13.10797,25.91028,25.25821,0.29398,93.39542,44.37337,52.22288,62.92209,77.66911,73.69345,9.10999,10.38562,12.33322,3.22323,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,150.00000,0.00859,1.50000,,0.05023,0.99000,-37.16433,-33.19074,-9.49384,38.69293,14.12809,1.05436,-36.40871,-31.89668,-4.97149,12.71580,24.58783,24.35663,0.31195,93.19076,44.41265,52.25662,62.94827,77.68488,73.69345,9.23502,10.60101,12.67951,3.44450,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,300.00000,0.02480,0.50000,,0.06972,0.99000,-44.67101,-40.93757,-9.24787,37.80535,15.01568,0.77393,-41.98243,-35.69159,-6.71002,11.02119,25.17824,21.31102,0.56750,73.03907,48.02659,55.36059,65.35714,79.13567,73.69345,6.79391,7.73540,9.10621,2.31230,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,300.00000,0.01938,1.00000,,0.00500,0.99000,-87.59282,-83.97707,-9.11266,45.70377,7.11725,0.80812,-57.61723,-60.61324,-15.11187,12.66385,33.04832,19.13366,0.60748,71.19506,48.33396,55.62459,65.56202,79.25906,73.69345,6.90918,7.92378,9.44909,2.53991,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,300.00000,0.02131,1.50000,,0.07067,0.99000,-44.95970,-41.25690,-9.19575,37.16410,15.65692,0.85829,-41.69730,-35.42549,-6.78009,10.94928,24.60169,18.86856,0.60863,72.21524,48.16436,55.47892,65.44897,79.19098,73.69345,6.92790,8.00391,9.59589,2.66799,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,463.00000,0.50000,0.50000,,0.09951,0.99000,-58.25391,-51.14305,-12.24004,27.95672,24.86430,0.71926,-41.40149,-36.27702,-8.76461,7.94439,18.28064,27.96805,0.57440,73.21729,47.99669,55.33491,65.33721,79.12367,73.69345,4.91247,5.92899,7.20543,2.29296,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,463.00000,0.02208,1.00000,,0.50000,0.98248,-107.44724,-103.74077,-9.00379,-14.65023,67.47125,0.69418,-34.50917,-38.14928,-20.55219,-8.49719,-7.81876,16.19713,0.77392,59.17301,50.25206,57.27202,66.84052,80.02907,73.69345,5.69238,6.59821,7.95798,2.26560,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,463.00000,0.02636,1.50000,,0.08880,0.99000,-50.60415,-46.78109,-9.12413,33.68915,19.13187,0.74279,-43.09468,-36.84776,-8.05760,9.54537,22.45709,16.21234,0.76998,60.55083,50.03948,57.08945,66.69883,79.94373,73.69345,5.68491,6.64850,8.06501,2.38010,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,700.00000,0.03523,0.50000,,0.10314,0.99000,-55.18946,-50.90180,-9.57235,30.83641,21.98461,0.58867,-43.83373,-37.87868,-8.93411,8.50590,20.60938,17.23921,0.84181,53.32677,51.13426,58.02974,67.42856,80.38322,73.69345,4.63157,5.42486,6.55328,1.92171,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,700.00000,0.50000,1.00000,,0.11124,0.99000,-61.69192,-54.50774,-12.49654,25.97564,26.84538,0.66751,-42.33072,-37.11710,-9.53361,7.28811,16.93156,24.31678,0.71928,63.40847,49.59276,56.70576,66.40107,79.76440,73.69345,4.07351,5.00885,6.19845,2.12494,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,700.00000,0.02972,1.50000,,0.10203,0.99000,-55.11099,-50.72222,-9.48790,31.00243,21.81859,0.65614,-43.86296,-37.75058,-8.93898,8.55963,20.72178,14.39547,0.88662,52.04464,51.32357,58.19233,67.55474,80.45922,73.69345,4.74094,5.63188,6.93559,2.19465,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,1000.00000,0.50000,0.50000,,0.11909,0.99000,-65.17652,-56.60446,-13.84209,24.88748,27.93354,0.57169,-42.98987,-37.77969,-10.06484,6.73558,16.38438,24.26073,0.77971,58.19275,50.40219,57.40097,66.94060,80.08934,73.69345,3.38591,4.28359,5.39126,2.00534,True,True,True,False,3,False,P_grid,,
P,t2,0.20000,1000.00000,0.00010,1.00000,,0.14682,0.99000,-75.62982,-63.41086,-15.31904,21.52146,31.29956,0.16672,-44.98865,-40.24894,-10.81727,5.61163,14.12923,3.45601,1.33900,15.69247,56.14104,62.33001,70.76582,82.39315,73.69345,1.84642,1.99040,2.22524,0.37881,False,False,False,False,0,False,P_grid,,
P,t2,0.20000,1000.00000,0.03184,1.50000,,0.11042,0.99000,-59.05249,-53.18776,-10.81058,29.28980,23.53122,0.59938,-44.29948,-38.29105,-9.48368,7.94805,19.60427,13.28374,0.96102,46.58778,52.11313,58.87048,68.08102,80.77618,73.69345,4.11412,4.96157,6.19762,2.08350,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,150.00000,0.01022,0.50000,,0.04258,0.99000,-34.96245,-30.95056,-9.40429,40.90455,11.91647,0.99043,-36.54736,-31.79444,-4.60856,13.31155,26.28546,26.49132,0.25903,95.29886,44.00534,51.90679,62.67678,77.52137,73.69345,9.22506,10.48649,12.40167,3.17661,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,150.00000,0.00842,1.00000,,0.04999,0.99000,-36.85572,-33.00242,-9.36019,38.68836,14.13266,1.06311,-36.26087,-31.80774,-4.94663,12.74235,24.56512,24.64814,0.30268,93.79053,44.29737,52.15761,62.87143,77.63861,73.69345,9.55545,11.04542,13.40531,3.84986,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,150.00000,0.00671,1.50000,,0.05669,0.99000,-38.84527,-34.96361,-9.45035,36.58798,16.23304,1.13440,-35.96597,-31.82789,-5.24807,12.23067,22.92081,23.12137,0.33834,92.79010,44.48940,52.32254,62.99942,77.71569,73.69345,9.78069,11.42054,14.01589,4.23520,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,300.00000,0.01989,0.50000,,0.06151,0.99000,-41.83769,-38.23527,-9.09538,39.19034,13.63069,0.86829,-41.09329,-34.91091,-6.22095,11.65899,25.97374,23.59687,0.47590,80.13771,46.80841,54.31431,64.54516,78.64664,73.69345,7.46389,8.61912,10.34028,2.87639,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,300.00000,0.01822,1.00000,,0.06425,0.99000,-42.43170,-38.95297,-9.01693,38.04475,14.77627,0.94117,-40.68099,-34.64121,-6.33548,11.47229,25.00038,21.63955,0.51240,79.22107,46.96891,54.45217,64.65215,78.71107,73.69345,7.62910,8.93327,10.92215,3.29305,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,300.00000,0.01597,1.50000,,0.06755,0.99000,-43.36057,-39.85456,-9.04463,36.60346,16.21756,1.00528,-40.14024,-34.34888,-6.46018,11.23717,23.77928,19.89878,0.54292,78.61881,47.07384,54.54229,64.72209,78.75320,73.69345,7.73552,9.13121,11.25003,3.51451,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,463.00000,0.50000,0.50000,,0.10519,0.99000,-62.59347,-54.16492,-12.16004,22.17864,30.64238,0.88991,-38.55156,-34.85598,-8.86847,6.60367,13.82714,37.52552,0.34241,91.01242,44.82736,52.61281,63.22469,77.85136,73.69345,5.36623,6.75014,8.46324,3.09701,False,True,True,False,2,False,P_grid,,
P,t2,0.30000,463.00000,0.02266,1.00000,,0.07857,0.99000,-46.96654,-43.51647,-8.93250,35.63447,17.18655,0.85454,-42.28840,-36.03304,-7.49944,10.30161,23.68148,20.05063,0.63816,70.21525,48.49580,55.76360,65.66989,79.32403,73.69345,6.52892,7.74869,9.58539,3.05647,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,463.00000,0.02016,1.50000,,0.07986,0.99000,-47.46805,-43.95978,-8.95153,34.88489,17.93613,0.91287,-41.97898,-35.80936,-7.55675,10.20652,23.02031,18.22694,0.66842,69.58072,48.60008,55.85315,65.73940,79.36589,73.69345,6.61614,7.91531,9.86628,3.25014,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,700.00000,0.50000,0.50000,,0.11300,0.99000,-64.62721,-56.25533,-12.47209,21.67922,31.14180,0.81165,-39.76259,-35.73223,-9.51875,6.21310,13.69573,35.50245,0.45247,82.97353,46.30565,53.88250,64.21005,78.44481,73.69345,4.56474,5.88360,7.50461,2.93986,False,True,True,False,2,False,P_grid,,
P,t2,0.30000,700.00000,0.02568,1.00000,,0.08975,0.99000,-50.82231,-46.94273,-9.29015,33.48594,19.33508,0.78640,-43.15929,-36.90951,-8.33488,9.42813,22.36622,18.89041,0.73197,63.42570,49.59004,56.70343,66.39926,79.76331,73.69345,5.69151,6.85504,8.59293,2.90143,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,700.00000,0.02294,1.50000,,0.09021,0.99000,-51.14848,-47.18432,-9.30427,33.05696,19.76406,0.84108,-42.97091,-36.73207,-8.37206,9.38604,21.97517,17.00598,0.76239,62.74079,49.69785,56.79602,66.47112,79.80659,73.69345,5.77120,7.00783,8.85288,3.08168,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,1000.00000,0.02904,0.50000,,0.09736,0.99000,-54.42040,-49.13126,-10.68744,32.06910,20.75192,0.67852,-43.65131,-37.54423,-8.82923,8.86477,21.49445,20.21119,0.75827,59.87610,50.14381,57.17905,66.76837,79.98561,73.69345,5.03159,6.05513,7.53887,2.50728,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,1000.00000,0.02757,1.00000,,0.09700,0.99000,-54.38941,-49.13117,-10.60929,32.04456,20.77646,0.74089,-43.63829,-37.42998,-8.85520,8.87544,21.45760,18.16015,0.79261,59.00815,50.27737,57.29376,66.85740,80.03923,73.69345,5.13556,6.26505,7.94353,2.80797,True,True,True,False,3,False,P_grid,,
P,t2,0.30000,1000.00000,0.50000,1.50000,,0.12264,0.99000,-68.22773,-59.28244,-13.76209,19.00176,33.81926,0.88909,-39.78358,-35.86693,-9.90563,5.86087,11.35119,30.68863,0.57276,76.42619,47.45237,54.86740,64.97439,78.90516,73.69345,4.21927,5.49121,7.11553,2.89626,False,True,True,False,2,False,P_grid,,
P,t2,0.40000,150.00000,0.00925,0.50000,,0.04517,0.99000,-35.53499,-31.45550,-9.48810,39.97262,12.84840,1.02261,-36.14999,-31.65065,-4.71656,13.11400,25.53387,26.28580,0.25903,95.79683,43.90825,51.82340,62.61206,77.48240,73.69345,9.50763,10.88653,13.02408,3.51644,True,True,True,False,3,False,P_grid,,
P,t2,0.40000,150.00000,0.00740,1.00000,,0.05422,0.99000,-38.07616,-34.16497,-9.45721,37.33092,15.49010,1.11419,-35.99602,-31.77099,-5.12953,12.42322,23.49485,23.78215,0.32169,93.40125,44.37225,52.22192,62.92134,77.66866,73.69345,9.97584,11.67036,14.43574,4.45991,True,True,True,False,3,False,P_grid,,
P,t2,0.40000,150.00000,0.00562,1.50000,,0.06232,0.99000,-40.69459,-36.71940,-9.57338,34.93086,17.89016,1.20190,-35.88375,-31.91192,-5.49815,11.81509,21.63690,21.65403,0.37678,91.43313,44.74775,52.54443,63.17163,77.81940,73.69345,10.30487,12.21376,15.33516,5.03029,True,True,True,True,4,False,P_grid,,
