transient,anchor,phi,tau_s,kappa,nu,rmax,sigma,rho,logJ,ll_flow,ll_prior,flow_win,flow_win_deficit,rate_modern_mm_yr,flow_1900_1919,flow_1920_1949,flow_1950_1979,flow_1980_1999,flow_2000_2023,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass,feasible,arm,kappa_f,kappa_s
P,pub,0.20000,1000.00000,0.02953,1.50000,,0.10942,0.99000,-58.63329,-52.87471,-10.77498,29.48726,23.33376,0.59894,-44.22889,-38.23804,-9.41016,8.01789,19.73445,13.95084,0.94211,47.67827,53.20807,59.91155,69.01869,81.49621,72.37803,4.13983,4.97315,6.18514,2.04531,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,150.00000,0.00913,0.50000,,0.04020,0.99000,-34.11060,-30.03038,-9.40897,41.30927,11.51175,0.98067,-36.08958,-31.54258,-4.50162,13.49882,26.54265,27.32987,0.22659,97.11356,45.11685,52.97949,63.66143,78.29654,72.37803,9.19681,10.40984,12.24966,3.05285,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,150.00000,0.00738,1.00000,,0.04772,0.99000,-36.05982,-32.14398,-9.37762,39.12038,13.70064,1.05166,-35.89071,-31.60640,-4.83328,12.91794,24.85189,25.51168,0.27112,95.50982,45.42301,53.24179,63.86414,78.41761,72.37803,9.55576,11.00701,13.31534,3.75958,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,150.00000,0.00575,1.50000,,0.05449,0.99000,-38.09415,-34.14761,-9.48721,37.05963,15.76139,1.12169,-35.67502,-31.66885,-5.13340,12.40024,23.24691,23.98162,0.30836,94.36723,45.63906,53.42689,64.00719,78.50305,72.37803,9.80619,11.41824,13.98580,4.17961,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,300.00000,0.01405,0.50000,,0.00500,0.99000,-66.02383,-62.53337,-9.02500,46.76820,6.05283,0.82744,-51.62451,-50.93922,-9.42380,14.29451,32.10379,22.25055,0.49044,78.49395,48.47278,55.85465,65.88342,79.62364,72.37803,7.46917,8.53017,10.14470,2.67553,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,300.00000,0.01674,1.00000,,0.06146,0.99000,-41.53351,-38.06624,-8.99823,38.61152,14.20950,0.93711,-40.44854,-34.46923,-6.13137,11.68836,25.36980,22.53983,0.48018,81.07565,48.03218,55.47717,65.59169,79.44941,72.37803,7.66715,8.94522,10.89584,3.22868,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,300.00000,0.01454,1.50000,,0.06503,0.99000,-42.48962,-39.01151,-9.02957,37.10005,15.72097,1.00297,-39.88998,-34.16871,-6.26993,11.43610,24.09354,20.80614,0.51108,80.45974,48.13798,55.56781,65.66174,79.49125,72.37803,7.78364,9.15736,11.24219,3.45855,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,463.00000,0.02229,0.50000,,0.07581,0.99000,-46.11166,-42.60164,-8.98250,36.48190,16.33913,0.77893,-42.28915,-36.09781,-7.28385,10.50451,24.34137,22.76881,0.57663,72.52043,49.46415,56.70399,66.53981,80.01568,72.37803,6.42300,7.48371,9.04710,2.62410,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,463.00000,0.02090,1.00000,,0.07649,0.99000,-46.26916,-42.85737,-8.90662,36.08233,16.73869,0.85015,-42.15133,-35.92697,-7.34454,10.45642,23.98425,20.87901,0.61067,71.76282,49.58716,56.80938,66.62126,80.06432,72.37803,6.56345,7.75896,9.55978,2.99633,True,True,True,False,3,False,P_grid,,
P,pub,0.30000,463.00000,0.01852,1.50000,,0.07780,0.99000,-46.75091,-43.29763,-8.92887,35.33370,17.48732,0.91073,-41.84398,-35.70087,-7.40743,10.36161,23.32331,19.08612,0.64080,71.15947,49.68470,56.89294,66.68584,80.10289,72.37803,6.65720,7.93561,9.85310,3.19590,True,True,True,False,3,False,P_grid,,
