component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.6057894366119612,0.028288866638438437,true,true
glaciers,1900,-5.824837998517957,-5.56945000272875,0.25538799578920646,true,true
gis,1900,-4.130332357233222,-4.076458366202814,0.05387399103040735,true,true
te,1900,-3.6098928928375242,-4.082663631862521,-0.47277073902499644,false,true
total,1900,-13.937918849348069,-12.965206680957788,0.9727121683902809,true,false
ais,1950,-0.36264223185452554,-0.37162435271927874,-0.008982120864753196,true,true
glaciers,1950,-2.3993281562446596,-2.5501716692007594,-0.15084351295609988,true,true
gis,1950,-1.3604312723333192,-1.318700541016839,0.041730731316480085,true,true
te,1950,-2.815257120132446,-2.559738136322765,0.2555189838096812,false,true
total,1950,-5.985805844939225,-5.358200659308428,0.6276051856307969,false,false
ais,2000,0.0017998782071199648,-0.008540931022961495,-0.01034080923008146,false,true
glaciers,2000,-0.00850888165561,-0.0005807027925444075,0.007928178863065592,false,true
gis,2000,-0.04322274381464186,-0.04884185685429987,-0.005619113039658008,false,true
te,2000,-0.23769707679748553,-0.015206332731928063,0.22249074406555747,false,true
total,2000,-0.2893630562230687,-0.3015788381019877,-0.01221578187891903,false,false
ais,2018,0.696409138766202,0.5686481009720438,-0.12776103779415826,false,true
glaciers,2018,1.20556921092,1.1320901323640435,-0.07347907855595648,true,true
gis,2018,1.2730523759668522,1.2699779277227385,-0.0030744482441136256,true,true
te,2018,2.074393606185913,2.608408557528975,0.5340149513430617,false,true
total,2018,5.965000044906917,6.168473255562349,0.20347321065543156,true,false
ais,2025,0.7663673305319003,0.8486113701224647,0.08224403959056437,true,true
glaciers,2023,1.63055217082,1.4698917963168512,-0.16066037450314874,true,true
gis,2025,1.6502983936827973,1.660991949779154,0.010693556096356804,true,true
te,2025,3.2329575871586798,3.8288234991501433,0.5958659119914635,false,true
total,2024,8.225314682835013,8.323803665379184,0.09848898254417193,true,false
ais,2019,0.6917651205871491,0.6068683692760197,-0.08489675131112939,false,true
ais,2020,0.7446601482114583,0.6451656949958801,-0.09949445321557826,false,true
ais,2022,0.7131118056700219,0.7240359781996271,0.010924172529605203,true,true
ais,2024,0.7646276896479223,0.8060047101425727,0.04137702049465042,true,true
ais,2025,0.7663673305319003,0.8486113701224647,0.08224403959056437,true,true
